study,sample_id,celltype,cells
GSE132771,GSM3891620,Activated T cells,0
GSE132771,GSM3891620,Alveolar macrophages,74
GSE132771,GSM3891620,Alveolar type I cells,47
GSE132771,GSM3891620,Alveolar type II cells,36
GSE132771,GSM3891620,Basophils,0
GSE132771,GSM3891620,CD4+ memory T cells,1
GSE132771,GSM3891620,CD8+ effector T cells,1
GSE132771,GSM3891620,Ciliated cells,0
GSE132771,GSM3891620,Classical monocytes,6
GSE132771,GSM3891620,Club cells,49
GSE132771,GSM3891620,Endothelial tip cells,0
GSE132771,GSM3891620,Follicular B cells,0
GSE132771,GSM3891620,Goblet cells,0
GSE132771,GSM3891620,Mast cells,25
GSE132771,GSM3891620,Myofibroblasts,7429
GSE132771,GSM3891620,Neutrophils,0
GSE132771,GSM3891620,Non-classical monocytes,5
GSE132771,GSM3891620,Pericytes,0
GSE132771,GSM3891620,Plasma cells,0
GSE132771,GSM3891620,Smooth muscle cells,2593
GSE132771,GSM3891620,Vascular endothelial cells,63
GSE132771,GSM3891621,Activated T cells,0
GSE132771,GSM3891621,Alveolar macrophages,1243
GSE132771,GSM3891621,Alveolar type I cells,379
GSE132771,GSM3891621,Alveolar type II cells,567
GSE132771,GSM3891621,Basophils,0
GSE132771,GSM3891621,CD4+ memory T cells,28
GSE132771,GSM3891621,CD8+ effector T cells,5
GSE132771,GSM3891621,Ciliated cells,9
GSE132771,GSM3891621,Classical monocytes,898
GSE132771,GSM3891621,Club cells,22
GSE132771,GSM3891621,Endothelial tip cells,6
GSE132771,GSM3891621,Follicular B cells,0
GSE132771,GSM3891621,Goblet cells,0
GSE132771,GSM3891621,Mast cells,229
GSE132771,GSM3891621,Myofibroblasts,626
GSE132771,GSM3891621,Neutrophils,0
GSE132771,GSM3891621,Non-classical monocytes,7
GSE132771,GSM3891621,Pericytes,0
GSE132771,GSM3891621,Plasma cells,14
GSE132771,GSM3891621,Smooth muscle cells,266
GSE132771,GSM3891621,Vascular endothelial cells,2001
GSE132771,GSM3891622,Activated T cells,0
GSE132771,GSM3891622,Alveolar macrophages,5
GSE132771,GSM3891622,Alveolar type I cells,86
GSE132771,GSM3891622,Alveolar type II cells,85
GSE132771,GSM3891622,Basophils,0
GSE132771,GSM3891622,CD4+ memory T cells,4
GSE132771,GSM3891622,CD8+ effector T cells,0
GSE132771,GSM3891622,Ciliated cells,2
GSE132771,GSM3891622,Classical monocytes,5
GSE132771,GSM3891622,Club cells,47
GSE132771,GSM3891622,Endothelial tip cells,1
GSE132771,GSM3891622,Follicular B cells,0
GSE132771,GSM3891622,Goblet cells,0
GSE132771,GSM3891622,Mast cells,1
GSE132771,GSM3891622,Myofibroblasts,235
GSE132771,GSM3891622,Neutrophils,0
GSE132771,GSM3891622,Non-classical monocytes,0
GSE132771,GSM3891622,Pericytes,0
GSE132771,GSM3891622,Plasma cells,2
GSE132771,GSM3891622,Smooth muscle cells,1337
GSE132771,GSM3891622,Vascular endothelial cells,3469
GSE132771,GSM3891623,Activated T cells,28
GSE132771,GSM3891623,Alveolar macrophages,23
GSE132771,GSM3891623,Alveolar type I cells,114
GSE132771,GSM3891623,Alveolar type II cells,565
GSE132771,GSM3891623,Basophils,0
GSE132771,GSM3891623,CD4+ memory T cells,1118
GSE132771,GSM3891623,CD8+ effector T cells,89
GSE132771,GSM3891623,Ciliated cells,15
GSE132771,GSM3891623,Classical monocytes,1480
GSE132771,GSM3891623,Club cells,27
GSE132771,GSM3891623,Endothelial tip cells,53
GSE132771,GSM3891623,Follicular B cells,0
GSE132771,GSM3891623,Goblet cells,0
GSE132771,GSM3891623,Mast cells,57
GSE132771,GSM3891623,Myofibroblasts,59
GSE132771,GSM3891623,Neutrophils,0
GSE132771,GSM3891623,Non-classical monocytes,14
GSE132771,GSM3891623,Pericytes,0
GSE132771,GSM3891623,Plasma cells,29
GSE132771,GSM3891623,Smooth muscle cells,420
GSE132771,GSM3891623,Vascular endothelial cells,1771
GSE132771,GSM3891624,Activated T cells,0
GSE132771,GSM3891624,Alveolar macrophages,13
GSE132771,GSM3891624,Alveolar type I cells,28
GSE132771,GSM3891624,Alveolar type II cells,236
GSE132771,GSM3891624,Basophils,0
GSE132771,GSM3891624,CD4+ memory T cells,2
GSE132771,GSM3891624,CD8+ effector T cells,0
GSE132771,GSM3891624,Ciliated cells,0
GSE132771,GSM3891624,Classical monocytes,13
GSE132771,GSM3891624,Club cells,85
GSE132771,GSM3891624,Endothelial tip cells,0
GSE132771,GSM3891624,Follicular B cells,0
GSE132771,GSM3891624,Goblet cells,0
GSE132771,GSM3891624,Mast cells,0
GSE132771,GSM3891624,Myofibroblasts,952
GSE132771,GSM3891624,Neutrophils,0
GSE132771,GSM3891624,Non-classical monocytes,0
GSE132771,GSM3891624,Pericytes,0
GSE132771,GSM3891624,Plasma cells,1
GSE132771,GSM3891624,Smooth muscle cells,969
GSE132771,GSM3891624,Vascular endothelial cells,43
GSE132771,GSM3891625,Activated T cells,2
GSE132771,GSM3891625,Alveolar macrophages,195
GSE132771,GSM3891625,Alveolar type I cells,28
GSE132771,GSM3891625,Alveolar type II cells,213
GSE132771,GSM3891625,Basophils,0
GSE132771,GSM3891625,CD4+ memory T cells,958
GSE132771,GSM3891625,CD8+ effector T cells,38
GSE132771,GSM3891625,Ciliated cells,4
GSE132771,GSM3891625,Classical monocytes,2207
GSE132771,GSM3891625,Club cells,27
GSE132771,GSM3891625,Endothelial tip cells,20
GSE132771,GSM3891625,Follicular B cells,0
GSE132771,GSM3891625,Goblet cells,0
GSE132771,GSM3891625,Mast cells,9
GSE132771,GSM3891625,Myofibroblasts,29
GSE132771,GSM3891625,Neutrophils,0
GSE132771,GSM3891625,Non-classical monocytes,18
GSE132771,GSM3891625,Pericytes,0
GSE132771,GSM3891625,Plasma cells,23
GSE132771,GSM3891625,Smooth muscle cells,71
GSE132771,GSM3891625,Vascular endothelial cells,429
GSE132771,GSM4827167,Activated T cells,0
GSE132771,GSM4827167,Alveolar macrophages,0
GSE132771,GSM4827167,Alveolar type I cells,0
GSE132771,GSM4827167,Alveolar type II cells,0
GSE132771,GSM4827167,Basophils,0
GSE132771,GSM4827167,CD4+ memory T cells,0
GSE132771,GSM4827167,CD8+ effector T cells,0
GSE132771,GSM4827167,Ciliated cells,0
GSE132771,GSM4827167,Classical monocytes,0
GSE132771,GSM4827167,Club cells,0
GSE132771,GSM4827167,Endothelial tip cells,0
GSE132771,GSM4827167,Follicular B cells,0
GSE132771,GSM4827167,Goblet cells,0
GSE132771,GSM4827167,Mast cells,0
GSE132771,GSM4827167,Myofibroblasts,0
GSE132771,GSM4827167,Neutrophils,0
GSE132771,GSM4827167,Non-classical monocytes,0
GSE132771,GSM4827167,Pericytes,0
GSE132771,GSM4827167,Plasma cells,0
GSE132771,GSM4827167,Smooth muscle cells,0
GSE132771,GSM4827167,Vascular endothelial cells,0
GSE132771,GSM4827184,Activated T cells,0
GSE132771,GSM4827184,Alveolar macrophages,0
GSE132771,GSM4827184,Alveolar type I cells,0
GSE132771,GSM4827184,Alveolar type II cells,0
GSE132771,GSM4827184,Basophils,0
GSE132771,GSM4827184,CD4+ memory T cells,0
GSE132771,GSM4827184,CD8+ effector T cells,0
GSE132771,GSM4827184,Ciliated cells,0
GSE132771,GSM4827184,Classical monocytes,0
GSE132771,GSM4827184,Club cells,0
GSE132771,GSM4827184,Endothelial tip cells,0
GSE132771,GSM4827184,Follicular B cells,0
GSE132771,GSM4827184,Goblet cells,0
GSE132771,GSM4827184,Mast cells,0
GSE132771,GSM4827184,Myofibroblasts,0
GSE132771,GSM4827184,Neutrophils,0
GSE132771,GSM4827184,Non-classical monocytes,0
GSE132771,GSM4827184,Pericytes,0
GSE132771,GSM4827184,Plasma cells,0
GSE132771,GSM4827184,Smooth muscle cells,0
GSE132771,GSM4827184,Vascular endothelial cells,0
GSE132771,GSM4827185,Activated T cells,0
GSE132771,GSM4827185,Alveolar macrophages,0
GSE132771,GSM4827185,Alveolar type I cells,0
GSE132771,GSM4827185,Alveolar type II cells,0
GSE132771,GSM4827185,Basophils,0
GSE132771,GSM4827185,CD4+ memory T cells,0
GSE132771,GSM4827185,CD8+ effector T cells,0
GSE132771,GSM4827185,Ciliated cells,0
GSE132771,GSM4827185,Classical monocytes,0
GSE132771,GSM4827185,Club cells,0
GSE132771,GSM4827185,Endothelial tip cells,0
GSE132771,GSM4827185,Follicular B cells,0
GSE132771,GSM4827185,Goblet cells,0
GSE132771,GSM4827185,Mast cells,0
GSE132771,GSM4827185,Myofibroblasts,0
GSE132771,GSM4827185,Neutrophils,0
GSE132771,GSM4827185,Non-classical monocytes,0
GSE132771,GSM4827185,Pericytes,0
GSE132771,GSM4827185,Plasma cells,0
GSE132771,GSM4827185,Smooth muscle cells,0
GSE132771,GSM4827185,Vascular endothelial cells,0
GSE132771,GSM4827199,Activated T cells,0
GSE132771,GSM4827199,Alveolar macrophages,0
GSE132771,GSM4827199,Alveolar type I cells,0
GSE132771,GSM4827199,Alveolar type II cells,0
GSE132771,GSM4827199,Basophils,0
GSE132771,GSM4827199,CD4+ memory T cells,0
GSE132771,GSM4827199,CD8+ effector T cells,0
GSE132771,GSM4827199,Ciliated cells,0
GSE132771,GSM4827199,Classical monocytes,0
GSE132771,GSM4827199,Club cells,0
GSE132771,GSM4827199,Endothelial tip cells,0
GSE132771,GSM4827199,Follicular B cells,0
GSE132771,GSM4827199,Goblet cells,0
GSE132771,GSM4827199,Mast cells,0
GSE132771,GSM4827199,Myofibroblasts,0
GSE132771,GSM4827199,Neutrophils,0
GSE132771,GSM4827199,Non-classical monocytes,0
GSE132771,GSM4827199,Pericytes,0
GSE132771,GSM4827199,Plasma cells,0
GSE132771,GSM4827199,Smooth muscle cells,0
GSE132771,GSM4827199,Vascular endothelial cells,0
GSE132771,GSM4827200,Activated T cells,0
GSE132771,GSM4827200,Alveolar macrophages,0
GSE132771,GSM4827200,Alveolar type I cells,0
GSE132771,GSM4827200,Alveolar type II cells,0
GSE132771,GSM4827200,Basophils,0
GSE132771,GSM4827200,CD4+ memory T cells,0
GSE132771,GSM4827200,CD8+ effector T cells,0
GSE132771,GSM4827200,Ciliated cells,0
GSE132771,GSM4827200,Classical monocytes,0
GSE132771,GSM4827200,Club cells,0
GSE132771,GSM4827200,Endothelial tip cells,0
GSE132771,GSM4827200,Follicular B cells,0
GSE132771,GSM4827200,Goblet cells,0
GSE132771,GSM4827200,Mast cells,0
GSE132771,GSM4827200,Myofibroblasts,0
GSE132771,GSM4827200,Neutrophils,0
GSE132771,GSM4827200,Non-classical monocytes,0
GSE132771,GSM4827200,Pericytes,0
GSE132771,GSM4827200,Plasma cells,0
GSE132771,GSM4827200,Smooth muscle cells,0
GSE132771,GSM4827200,Vascular endothelial cells,0
GSE132771,GSM5226574,Activated T cells,0
GSE132771,GSM5226574,Alveolar macrophages,0
GSE132771,GSM5226574,Alveolar type I cells,0
GSE132771,GSM5226574,Alveolar type II cells,0
GSE132771,GSM5226574,Basophils,0
GSE132771,GSM5226574,CD4+ memory T cells,0
GSE132771,GSM5226574,CD8+ effector T cells,0
GSE132771,GSM5226574,Ciliated cells,0
GSE132771,GSM5226574,Classical monocytes,0
GSE132771,GSM5226574,Club cells,0
GSE132771,GSM5226574,Endothelial tip cells,0
GSE132771,GSM5226574,Follicular B cells,0
GSE132771,GSM5226574,Goblet cells,0
GSE132771,GSM5226574,Mast cells,0
GSE132771,GSM5226574,Myofibroblasts,0
GSE132771,GSM5226574,Neutrophils,0
GSE132771,GSM5226574,Non-classical monocytes,0
GSE132771,GSM5226574,Pericytes,0
GSE132771,GSM5226574,Plasma cells,0
GSE132771,GSM5226574,Smooth muscle cells,0
GSE132771,GSM5226574,Vascular endothelial cells,0
GSE132771,GSM5226575,Activated T cells,0
GSE132771,GSM5226575,Alveolar macrophages,0
GSE132771,GSM5226575,Alveolar type I cells,0
GSE132771,GSM5226575,Alveolar type II cells,0
GSE132771,GSM5226575,Basophils,0
GSE132771,GSM5226575,CD4+ memory T cells,0
GSE132771,GSM5226575,CD8+ effector T cells,0
GSE132771,GSM5226575,Ciliated cells,0
GSE132771,GSM5226575,Classical monocytes,0
GSE132771,GSM5226575,Club cells,0
GSE132771,GSM5226575,Endothelial tip cells,0
GSE132771,GSM5226575,Follicular B cells,0
GSE132771,GSM5226575,Goblet cells,0
GSE132771,GSM5226575,Mast cells,0
GSE132771,GSM5226575,Myofibroblasts,0
GSE132771,GSM5226575,Neutrophils,0
GSE132771,GSM5226575,Non-classical monocytes,0
GSE132771,GSM5226575,Pericytes,0
GSE132771,GSM5226575,Plasma cells,0
GSE132771,GSM5226575,Smooth muscle cells,0
GSE132771,GSM5226575,Vascular endothelial cells,0
GSE132771,GSM5226576,Activated T cells,0
GSE132771,GSM5226576,Alveolar macrophages,0
GSE132771,GSM5226576,Alveolar type I cells,0
GSE132771,GSM5226576,Alveolar type II cells,0
GSE132771,GSM5226576,Basophils,0
GSE132771,GSM5226576,CD4+ memory T cells,0
GSE132771,GSM5226576,CD8+ effector T cells,0
GSE132771,GSM5226576,Ciliated cells,0
GSE132771,GSM5226576,Classical monocytes,0
GSE132771,GSM5226576,Club cells,0
GSE132771,GSM5226576,Endothelial tip cells,0
GSE132771,GSM5226576,Follicular B cells,0
GSE132771,GSM5226576,Goblet cells,0
GSE132771,GSM5226576,Mast cells,0
GSE132771,GSM5226576,Myofibroblasts,0
GSE132771,GSM5226576,Neutrophils,0
GSE132771,GSM5226576,Non-classical monocytes,0
GSE132771,GSM5226576,Pericytes,0
GSE132771,GSM5226576,Plasma cells,0
GSE132771,GSM5226576,Smooth muscle cells,0
GSE132771,GSM5226576,Vascular endothelial cells,0
GSE132771,GSM5226577,Activated T cells,0
GSE132771,GSM5226577,Alveolar macrophages,0
GSE132771,GSM5226577,Alveolar type I cells,0
GSE132771,GSM5226577,Alveolar type II cells,0
GSE132771,GSM5226577,Basophils,0
GSE132771,GSM5226577,CD4+ memory T cells,0
GSE132771,GSM5226577,CD8+ effector T cells,0
GSE132771,GSM5226577,Ciliated cells,0
GSE132771,GSM5226577,Classical monocytes,0
GSE132771,GSM5226577,Club cells,0
GSE132771,GSM5226577,Endothelial tip cells,0
GSE132771,GSM5226577,Follicular B cells,0
GSE132771,GSM5226577,Goblet cells,0
GSE132771,GSM5226577,Mast cells,0
GSE132771,GSM5226577,Myofibroblasts,0
GSE132771,GSM5226577,Neutrophils,0
GSE132771,GSM5226577,Non-classical monocytes,0
GSE132771,GSM5226577,Pericytes,0
GSE132771,GSM5226577,Plasma cells,0
GSE132771,GSM5226577,Smooth muscle cells,0
GSE132771,GSM5226577,Vascular endothelial cells,0
GSE132771,GSM5226578,Activated T cells,0
GSE132771,GSM5226578,Alveolar macrophages,0
