gene,log2fc,statistic,pvalue,fdr,method,group1,group2
SIK3,-11.619196110697535,-47.928048282600635,1.1337907500209954e-06,0.0003848840883243813,logCPM_Welch_ttest,GSE132771,GSE171524
TRPM7,-10.485311934669218,-38.89243672210358,2.6108322263803824e-06,0.0003848840883243813,logCPM_Welch_ttest,GSE132771,GSE171524
LRBA,-11.108026825303472,-38.483553653532674,2.7233165081160253e-06,0.0003848840883243813,logCPM_Welch_ttest,GSE132771,GSE171524
PPP1R16B,-10.54966052440422,-37.424457581327175,3.0441413765401812e-06,0.0003848840883243813,logCPM_Welch_ttest,GSE132771,GSE171524
TTC17,-10.168573258182127,-37.15504634072666,3.1331821420646093e-06,0.0003848840883243813,logCPM_Welch_ttest,GSE132771,GSE171524
SLC9A9,-10.285470449397286,-37.082205782197555,3.157813002681891e-06,0.0003848840883243813,logCPM_Welch_ttest,GSE132771,GSE171524
EXOC4,-10.568272511251482,-36.808314443239425,3.2526217573884375e-06,0.0003848840883243813,logCPM_Welch_ttest,GSE132771,GSE171524
PIAS1,-10.40237651995975,-36.120394056129975,3.506916522317825e-06,0.0003848840883243813,logCPM_Welch_ttest,GSE132771,GSE171524
VTI1A,-10.033103461314848,-33.84892812720388,4.544109593461821e-06,0.00044330313589549763,logCPM_Welch_ttest,GSE132771,GSE171524
ZNF407,-10.485350179233667,-31.588484370807137,5.986046250095426e-06,0.0005255748607583784,logCPM_Welch_ttest,GSE132771,GSE171524
MT-ATP8,-10.963534487424772,-27.12169788429468,1.0988993992554482e-05,0.0008771215204966213,logCPM_Welch_ttest,GSE132771,GSE171524
IGF2R,-10.168721006276979,-24.420244343429363,1.668444341946771e-05,0.00114192691567201,logCPM_Welch_ttest,GSE132771,GSE171524
THEMIS,-11.30242795164401,-24.338738169417127,1.6907801712683517e-05,0.00114192691567201,logCPM_Welch_ttest,GSE132771,GSE171524
TBC1D5,-10.43286943861834,-22.273880376856564,2.4052173827285817e-05,0.0015084149014540677,logCPM_Welch_ttest,GSE132771,GSE171524
HERC4,-10.660214981790775,-21.811713280599097,2.614151615071216e-05,0.0015301500786883517,logCPM_Welch_ttest,GSE132771,GSE171524
ADAM19,-10.763738172084361,-21.42025995505372,2.8091071538605944e-05,0.0015414975506810012,logCPM_Welch_ttest,GSE132771,GSE171524
ZBTB20,-11.246510572147866,-19.68655082258043,3.926800594974499e-05,0.001987340089500191,logCPM_Welch_ttest,GSE132771,GSE171524
DENND4A,-10.602452818851182,-19.5043775088647,4.074273532004947e-05,0.001987340089500191,logCPM_Welch_ttest,GSE132771,GSE171524
EPB41,-10.285772859962043,-15.98353898803921,8.957990066647191e-05,0.0041395343571138075,logCPM_Welch_ttest,GSE132771,GSE171524
AC079793.1,-11.363518312825029,-15.039999774442997,0.00011388526023816675,0.00499956292445552,logCPM_Welch_ttest,GSE132771,GSE171524
JUN,10.994450979321885,7.879548238088595,0.001275570665066798,0.05333100209184041,logCPM_Welch_ttest,GSE132771,GSE171524
DUSP1,12.262083381710546,400.0094901787412,0.0015915083561138144,0.06351565166672404,logCPM_Welch_ttest,GSE132771,GSE171524
MCL1,9.260410935863511,6.152418644996404,0.0017407126743389997,0.06644981426389747,logCPM_Welch_ttest,GSE132771,GSE171524
JUNB,10.353467062454222,6.508397494813492,0.002759944605591106,0.10096797348787463,logCPM_Welch_ttest,GSE132771,GSE171524
NR4A2,8.99545311834589,5.5308135517054255,0.002931597642538379,0.10295770920594788,logCPM_Welch_ttest,GSE132771,GSE171524
IER2,9.211245296488107,5.601403005559928,0.003439077618859661,0.11613500574456856,logCPM_Welch_ttest,GSE132771,GSE171524
SAT1,9.09467335176939,5.069753854037327,0.00459581153933844,0.14820640847970873,logCPM_Welch_ttest,GSE132771,GSE171524
DNAJA1,9.138346610154507,5.231218079805744,0.004937225117668111,0.14820640847970873,logCPM_Welch_ttest,GSE132771,GSE171524
SEPT7,10.14791509876721,120.21662419482017,0.005295482997741832,0.14820640847970873,logCPM_Welch_ttest,GSE132771,GSE171524
RPL31,8.296933637584626,5.108798806003476,0.00550336826642027,0.14820640847970873,logCPM_Welch_ttest,GSE132771,GSE171524
AC114760.2,8.37283784717963,5.202371898830599,0.00558765658290964,0.14820640847970873,logCPM_Welch_ttest,GSE132771,GSE171524
ZFP36,11.340710286578156,104.06097173197013,0.006117569018914748,0.14820640847970873,logCPM_Welch_ttest,GSE132771,GSE171524
HSP90AB1,9.766648376965021,5.010126256636598,0.007328872246298021,0.14820640847970873,logCPM_Welch_ttest,GSE132771,GSE171524
RPL32,9.089015002313515,4.6513277227100405,0.0074676575514621545,0.14820640847970873,logCPM_Welch_ttest,GSE132771,GSE171524
