gene,log2fc,statistic,pvalue,fdr,method,group1,group2
STX12,6.82621562992978,252.10884408675258,1.8633320260218146e-11,2.244569758545878e-07,logCPM_Welch_ttest,GSE132771,GSE227691
SEC62,7.659367930409495,201.38217618129912,5.729068077406195e-11,3.4506177030217515e-07,logCPM_Welch_ttest,GSE132771,GSE227691
EIF3I,6.992441794814167,170.13473705414134,1.3310002902927916e-10,3.6920873798737506e-07,logCPM_Welch_ttest,GSE132771,GSE227691
DRAP1,7.5138087021931375,164.61306136064437,1.5696784623728835e-10,3.6920873798737506e-07,logCPM_Welch_ttest,GSE132771,GSE227691
UPP1,8.007895505075096,161.57884756735803,1.722674074491046e-10,3.6920873798737506e-07,logCPM_Welch_ttest,GSE132771,GSE227691
MRPL20,6.929514308032933,157.8916735132745,1.93339722043928e-10,3.6920873798737506e-07,logCPM_Welch_ttest,GSE132771,GSE227691
MDH2,7.18103003731477,154.63807273385657,2.1454932474776902e-10,3.6920873798737506e-07,logCPM_Welch_ttest,GSE132771,GSE227691
ECH1,8.044221428891769,138.8224505272788,3.67928906352154e-10,5.493142594409647e-07,logCPM_Welch_ttest,GSE132771,GSE227691
NDUFA12,6.8507146519027105,135.8207818496258,4.104124468677306e-10,5.493142594409647e-07,logCPM_Welch_ttest,GSE132771,GSE227691
TMEM14B,6.97992023265711,131.29030235986926,4.862624207747579e-10,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
FUOM,6.510463671152608,127.2475050026699,5.685519471794082e-10,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
DPY30,6.537702185841759,127.07767703028439,5.723601970405434e-10,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
EXOSC8,5.033556890213917,121.69808398800112,7.105113635213238e-10,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
EIF3G,7.488815180548516,120.15652933688607,7.572595239017676e-10,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
SURF1,6.320516550758416,119.84301060278696,7.672137557638219e-10,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
CHMP2B,6.50015605539692,118.68800192047215,8.052662654993928e-10,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
RBMX2,5.400507777441483,115.13283830946261,9.374688278704386e-10,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
ATG4A,4.079951999928457,113.83792443666505,9.919962245040334e-10,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
VDAC2,8.087425586627957,112.99725895908276,1.0294374405650575e-09,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
RDX,6.158641442497701,112.62603911726016,1.0465091812544723e-09,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
ATP6V0D1,8.09854826855937,112.59169992022774,1.0481054825177684e-09,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
CDC123,5.504432294322096,112.10867645623121,1.0708720372740323e-09,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
AASDHPPT,4.846699270957633,111.77139612185859,1.0871215125469333e-09,5.693680756582764e-07,logCPM_Welch_ttest,GSE132771,GSE227691
PA2G4,6.99910077621461,110.51686020958898,1.1502183108990172e-09,5.773137405453984e-07,logCPM_Welch_ttest,GSE132771,GSE227691
GABARAPL2,7.262912357513262,109.21377798516068,1.220468773661399e-09,5.880706739010085e-07,logCPM_Welch_ttest,GSE132771,GSE227691
CAMLG,6.289006765894758,105.05301651970225,1.4819709424746972e-09,6.734829695467669e-07,logCPM_Welch_ttest,GSE132771,GSE227691
PARVB,5.594894347976594,104.66617086985235,1.5095500728675665e-09,6.734829695467669e-07,logCPM_Welch_ttest,GSE132771,GSE227691
FCGR2A,8.134973242179361,103.09769087833264,1.627876658854276e-09,6.760850130046909e-07,logCPM_Welch_ttest,GSE132771,GSE227691
PDIA6,7.1135811845727135,101.48990757581393,1.760913119097981e-09,6.760850130046909e-07,logCPM_Welch_ttest,GSE132771,GSE227691
BLVRA,7.5051494302615644,101.122908829899,1.7930861746776958e-09,6.760850130046909e-07,logCPM_Welch_ttest,GSE132771,GSE227691
NDUFB10,7.500063781108248,101.10836155785981,1.7943759336734916e-09,6.760850130046909e-07,logCPM_Welch_ttest,GSE132771,GSE227691
LSM4,6.937079636598014,100.33225276624493,1.8648285782429356e-09,6.760850130046909e-07,logCPM_Welch_ttest,GSE132771,GSE227691
PSMD14,6.36011279647775,99.98206513449298,1.8977018350056635e-09,6.760850130046909e-07,logCPM_Welch_ttest,GSE132771,GSE227691
TRAPPC2L,6.459088636852093,99.51276731361256,1.9428535966148023e-09,6.760850130046909e-07,logCPM_Welch_ttest,GSE132771,GSE227691
FIS1,7.3335712128592405,99.0190411361205,1.9917545401448524e-09,6.760850130046909e-07,logCPM_Welch_ttest,GSE132771,GSE227691
RILPL2,6.576502907983894,98.71802157586588,2.0222939651325944e-09,6.760850130046909e-07,logCPM_Welch_ttest,GSE132771,GSE227691
EID1,7.376122495802856,98.19564951941796,2.076635022511503e-09,6.760850130046909e-07,logCPM_Welch_ttest,GSE132771,GSE227691
ACADVL,7.291576998092949,97.26898029503386,2.177410739832728e-09,6.902392045269749e-07,logCPM_Welch_ttest,GSE132771,GSE227691
EIF3L,7.651062651003692,96.6668316945462,2.2460458102462867e-09,6.937402007750454e-07,logCPM_Welch_ttest,GSE132771,GSE227691
PLEK,6.154311479407106,96.02322445077456,2.322297804060059e-09,6.993599836926868e-07,logCPM_Welch_ttest,GSE132771,GSE227691
ADSS,5.474886247799663,95.01680101811849,2.4478599885481396e-09,7.191932054158754e-07,logCPM_Welch_ttest,GSE132771,GSE227691
GLUD1,5.994232104172549,93.90143849125583,2.5966598356812194e-09,7.447467709670469e-07,logCPM_Welch_ttest,GSE132771,GSE227691
MLEC,5.524600065752019,91.78283622829872,2.9103437490778455e-09,8.036165558678879e-07,logCPM_Welch_ttest,GSE132771,GSE227691
APIP,7.309296415373439,91.62589172230626,2.9353418942542807e-09,8.036165558678879e-07,logCPM_Welch_ttest,GSE132771,GSE227691
AIMP1,6.624527407128574,90.5527869557393,3.113346455080594e-09,8.334082532866852e-07,logCPM_Welch_ttest,GSE132771,GSE227691
THOC7,6.288886600088714,87.70863857156449,3.651634752655969e-09,9.173539498082082e-07,logCPM_Welch_ttest,GSE132771,GSE227691
