gene,log2fc,statistic,pvalue,fdr,method,group1,group2
LMO4,6.464988431477155,73.2555487273596,8.97913557366466e-09,4.2943277387013904e-05,logCPM_Welch_ttest,GSE132771,GSE227691
BOLA3,5.600307224256544,69.37698415463497,1.178312560582736e-08,4.2943277387013904e-05,logCPM_Welch_ttest,GSE132771,GSE227691
S100A13,6.736016032611574,64.246813945886,1.7294946871766428e-08,4.2943277387013904e-05,logCPM_Welch_ttest,GSE132771,GSE227691
CINP,5.315036062344834,63.74966806158346,1.7979182494039732e-08,4.2943277387013904e-05,logCPM_Welch_ttest,GSE132771,GSE227691
GADD45GIP1,7.98720297528849,59.95059002996328,2.4436710825975324e-08,4.669366704627365e-05,logCPM_Welch_ttest,GSE132771,GSE227691
NOP56,5.857631697097787,56.17714874897671,3.3808981138208565e-08,5.3835167632407435e-05,logCPM_Welch_ttest,GSE132771,GSE227691
CLPTM1L,6.811432216787995,51.557914658011576,5.1889353349992954e-08,7.08215545579761e-05,logCPM_Welch_ttest,GSE132771,GSE227691
PRELID3B,6.205298162560663,46.76343413343639,8.445909257088774e-08,8.299124598978101e-05,logCPM_Welch_ttest,GSE132771,GSE227691
MRPS23,6.6622146603789245,45.86137566035551,9.308049146914167e-08,8.299124598978101e-05,logCPM_Welch_ttest,GSE132771,GSE227691
TP53RK,4.338554225775593,44.03061229634929,1.1405992476792479e-07,8.299124598978101e-05,logCPM_Welch_ttest,GSE132771,GSE227691
GPKOW,4.413052866660414,43.62369831140496,1.1946740406404043e-07,8.299124598978101e-05,logCPM_Welch_ttest,GSE132771,GSE227691
TMEM14B,6.926362578113675,43.023385783814184,1.28017804610368e-07,8.299124598978101e-05,logCPM_Welch_ttest,GSE132771,GSE227691
STK25,5.752332657501893,42.80415024400735,1.313222003926547e-07,8.299124598978101e-05,logCPM_Welch_ttest,GSE132771,GSE227691
SUMO3,7.108278499536085,42.32377058187789,1.389274192830449e-07,8.299124598978101e-05,logCPM_Welch_ttest,GSE132771,GSE227691
SAYSD1,4.607836567586074,41.914382413553085,1.4582887201857897e-07,8.299124598978101e-05,logCPM_Welch_ttest,GSE132771,GSE227691
ERAL1,4.712226509930498,41.84109236826578,1.4710740702837551e-07,8.299124598978101e-05,logCPM_Welch_ttest,GSE132771,GSE227691
CDK9,4.570728419239159,41.80901296728559,1.4767125620957475e-07,8.299124598978101e-05,logCPM_Welch_ttest,GSE132771,GSE227691
MB21D2,4.808444424611971,40.418852297776816,1.7479939555785784e-07,8.945023063463475e-05,logCPM_Welch_ttest,GSE132771,GSE227691
OARD1,6.012404882357624,39.65965563322098,1.921345023984074e-07,8.945023063463475e-05,logCPM_Welch_ttest,GSE132771,GSE227691
DAG1,5.6749086211975595,39.51795105716335,1.9559455939250547e-07,8.945023063463475e-05,logCPM_Welch_ttest,GSE132771,GSE227691
RNPEP,5.75575751452817,39.47675333388043,1.9661449061412286e-07,8.945023063463475e-05,logCPM_Welch_ttest,GSE132771,GSE227691
EMC6,6.803958224053548,38.776013478806455,2.1498013225694542e-07,9.201162774893973e-05,logCPM_Welch_ttest,GSE132771,GSE227691
TSPAN15,6.638507512577838,38.544135995105464,2.2150590728758775e-07,9.201162774893973e-05,logCPM_Welch_ttest,GSE132771,GSE227691
LRRN4,4.902645964413922,37.892762433254994,2.411500218960007e-07,9.544941844905477e-05,logCPM_Welch_ttest,GSE132771,GSE227691
TRAPPC2L,6.737883204294142,37.626944925212165,2.49762974798657e-07,9.544941844905477e-05,logCPM_Welch_ttest,GSE132771,GSE227691
C8orf33,5.468399928896594,35.56380420472478,3.308192863773919e-07,0.00011361396183846632,logCPM_Welch_ttest,GSE132771,GSE227691
C2orf74,4.729016215645599,35.34814440415654,3.409996358635042e-07,0.00011361396183846632,logCPM_Welch_ttest,GSE132771,GSE227691
SUPT5H,5.036727502050468,35.33465475884363,3.4164881836746496e-07,0.00011361396183846632,logCPM_Welch_ttest,GSE132771,GSE227691
MRPL36,6.205676806022564,35.26835060533949,3.448613034661423e-07,0.00011361396183846632,logCPM_Welch_ttest,GSE132771,GSE227691
EXOC3,4.741078797968483,34.963855127964905,3.6008784894964365e-07,0.00011467597696216318,logCPM_Welch_ttest,GSE132771,GSE227691
RNF41,4.96980471766856,34.379433350220054,3.916349749698428e-07,0.00011528182049408845,logCPM_Welch_ttest,GSE132771,GSE227691
MPG,6.0953652041166135,34.34437828627878,3.9363049629643237e-07,0.00011528182049408845,logCPM_Welch_ttest,GSE132771,GSE227691
MSANTD3,4.514930234333778,34.265088679424785,3.981892480955536e-07,0.00011528182049408845,logCPM_Welch_ttest,GSE132771,GSE227691
CIAPIN1,5.189567885718893,33.60837836171829,4.384855645200159e-07,0.00012007836875176866,logCPM_Welch_ttest,GSE132771,GSE227691
COMMD8,5.930989033350752,33.58675480950627,4.3989354263260443e-07,0.00012007836875176866,logCPM_Welch_ttest,GSE132771,GSE227691
DCUN1D5,5.210539486822017,33.271337254360276,4.610608880986481e-07,0.00012236043680262455,logCPM_Welch_ttest,GSE132771,GSE227691
DHRS7,6.406624187114502,32.75360622130305,4.985177237217474e-07,0.00012692046360685466,logCPM_Welch_ttest,GSE132771,GSE227691
TFPT,4.228685859281204,32.31313355262673,5.332886359985989e-07,0.00012692046360685466,logCPM_Welch_ttest,GSE132771,GSE227691
MPHOSPH6,4.639225474820623,32.22785683378298,5.403523850038391e-07,0.00012692046360685466,logCPM_Welch_ttest,GSE132771,GSE227691
ISOC2,5.467674624400956,32.18166497550727,5.442254462843117e-07,0.00012692046360685466,logCPM_Welch_ttest,GSE132771,GSE227691
HEXB,5.767663707573316,32.08030294622295,5.528416856145818e-07,0.00012692046360685466,logCPM_Welch_ttest,GSE132771,GSE227691
PYCARD,5.846791296742226,32.02109249477764,5.579505412903387e-07,0.00012692046360685466,logCPM_Welch_ttest,GSE132771,GSE227691
TCEAL8,6.461414024670717,31.702254988096588,5.864545354515254e-07,0.0001289253429813129,logCPM_Welch_ttest,GSE132771,GSE227691
C1orf21,5.47413949009123,31.56040691440103,5.996952966688283e-07,0.0001289253429813129,logCPM_Welch_ttest,GSE132771,GSE227691
DCXR,7.08751309314481,31.403547359444158,6.147570392611102e-07,0.0001289253429813129,logCPM_Welch_ttest,GSE132771,GSE227691
UBE2V2,6.2028892331240835,31.342495419676943,6.207416555516425e-07,0.0001289253429813129,logCPM_Welch_ttest,GSE132771,GSE227691
ABRACL,5.79516683879677,31.181320988384343,6.368796069904434e-07,0.00012946271840822758,logCPM_Welch_ttest,GSE132771,GSE227691
FH,5.281937750633575,30.877845941058705,6.68653081644033e-07,0.00013200806567429052,logCPM_Welch_ttest,GSE132771,GSE227691
NOLC1,4.970060461400746,30.800660567678506,6.77035296005886e-07,0.00013200806567429052,logCPM_Welch_ttest,GSE132771,GSE227691
KDM3A,4.693504085848685,30.154401670041555,7.523960319744832e-07,0.00014175959800702192,logCPM_Welch_ttest,GSE132771,GSE227691
LENG1,5.324035546023289,29.861273815022397,7.898743382173714e-07,0.00014175959800702192,logCPM_Welch_ttest,GSE132771,GSE227691
PURB,5.273991161671332,29.798216966585418,7.982267441639206e-07,0.00014175959800702192,logCPM_Welch_ttest,GSE132771,GSE227691
RANGRF,5.149778385553936,29.742627727785283,8.056779675398328e-07,0.00014175959800702192,logCPM_Welch_ttest,GSE132771,GSE227691
MRPL43,6.540785092102194,29.557743116325177,8.310672421052367e-07,0.00014175959800702192,logCPM_Welch_ttest,GSE132771,GSE227691
MRPL17,5.40820768626514,29.549038100316466,8.322861256889959e-07,0.00014175959800702192,logCPM_Welch_ttest,GSE132771,GSE227691
ACBD4,4.33076375058219,29.457027515607255,8.453014877224978e-07,0.00014175959800702192,logCPM_Welch_ttest,GSE132771,GSE227691
SEPHS2,5.147320844455593,29.45388597576415,8.457501660456615e-07,0.00014175959800702192,logCPM_Welch_ttest,GSE132771,GSE227691
THYN1,5.276499386386323,29.121260186561212,8.949148975956062e-07,0.00014646745360932567,logCPM_Welch_ttest,GSE132771,GSE227691
GFM1,5.0952290022953335,29.058972117449997,9.044986145018018e-07,0.00014646745360932567,logCPM_Welch_ttest,GSE132771,GSE227691
RING1,5.336633241002031,28.9609144310704,9.19836481959491e-07,0.00014646862914401628,logCPM_Welch_ttest,GSE132771,GSE227691
UQCC2,6.185372811774816,28.843644239679303,9.38591005254823e-07,0.00014700489285581275,logCPM_Welch_ttest,GSE132771,GSE227691
IER3IP1,6.6915577826131605,28.540246979536178,9.892807477812087e-07,0.0001524449720048656,logCPM_Welch_ttest,GSE132771,GSE227691
