gene,log2fc,statistic,pvalue,fdr,method,group1,group2
MRPL51,-6.295756107243853,-40.01926619703056,3.795846101326112e-11,6.21000422176952e-07,logCPM_Welch_ttest,GSE171524,GSE227691
RAPGEF6,7.757075683650501,93.49806935246289,1.0085692431577908e-10,6.784433965692802e-07,logCPM_Welch_ttest,GSE171524,GSE227691
CLCN6,5.761394058571048,86.80285449057652,1.574679844378983e-10,6.784433965692802e-07,logCPM_Welch_ttest,GSE171524,GSE227691
AP003086.1,9.134595162845228,86.05280268382884,1.6587858106828366e-10,6.784433965692802e-07,logCPM_Welch_ttest,GSE171524,GSE227691
TSPO,-6.872032745076474,-35.756223174802564,3.8612433653418313e-10,1.2633988291398472e-06,logCPM_Welch_ttest,GSE171524,GSE227691
CETN2,-5.570553066848397,-27.361462474073782,5.712514700255871e-10,1.4353192596851647e-06,logCPM_Welch_ttest,GSE171524,GSE227691
ADIRF,-8.718498225884552,-27.878910087369537,6.141341575670019e-10,1.4353192596851647e-06,logCPM_Welch_ttest,GSE171524,GSE227691
CAPN12,6.5698031964518995,64.29137979780714,9.522119134282076e-10,1.7845224857595037e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AL354733.3,5.59529497031247,63.36956240162942,1.0382869974593735e-09,1.7845224857595037e-06,logCPM_Welch_ttest,GSE171524,GSE227691
LINC00960,5.271997748579476,62.85007268530557,1.090783915500919e-09,1.7845224857595037e-06,logCPM_Welch_ttest,GSE171524,GSE227691
ARHGEF18,6.820730093793807,60.27335039865454,1.4017496128775454e-09,2.0847839696978765e-06,logCPM_Welch_ttest,GSE171524,GSE227691
GCN1,5.22520792219007,58.04513126064258,1.756631124489138e-09,2.2627997651509706e-06,logCPM_Welch_ttest,GSE171524,GSE227691
SLC1A1,7.132586572390601,57.81966318169628,1.7980682730417248e-09,2.2627997651509706e-06,logCPM_Welch_ttest,GSE171524,GSE227691
CAPN3,7.591976841240774,56.36106913904132,2.095449055378307e-09,2.333587271812528e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC087286.3,4.402706049287234,56.06505834885257,2.1625990958839965e-09,2.333587271812528e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AP002075.1,5.78545003163418,55.19522656788854,2.3749341270787217e-09,2.333587271812528e-06,logCPM_Welch_ttest,GSE171524,GSE227691
GOLGA1,5.366566418010568,55.00378373201172,2.424876749438446e-09,2.333587271812528e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC019117.2,8.417431837717048,50.73222915434813,3.935006650261534e-09,3.576483822126594e-06,logCPM_Welch_ttest,GSE171524,GSE227691
MFSD4B,7.994728553221892,50.05507736695204,4.264696165620976e-09,3.672127856292588e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AKNAD1,4.595699618089994,49.15988880644587,4.75128927260438e-09,3.806001832668625e-06,logCPM_Welch_ttest,GSE171524,GSE227691
ZGPAT,4.202471584553183,48.63230108876887,5.0683467086232826e-09,3.806001832668625e-06,logCPM_Welch_ttest,GSE171524,GSE227691
MRPL41,-5.925679774908161,-39.7900227896625,5.232633784799104e-09,3.806001832668625e-06,logCPM_Welch_ttest,GSE171524,GSE227691
HDAC6,4.164052712646884,48.193835925439274,5.350736072822639e-09,3.806001832668625e-06,logCPM_Welch_ttest,GSE171524,GSE227691
GTPBP10,5.157352270892052,47.799509140311805,5.620477466685896e-09,3.831292139790885e-06,logCPM_Welch_ttest,GSE171524,GSE227691
CDRT4,6.181793381517244,47.2639774820722,6.012625864361219e-09,3.934662365637982e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC022872.1,6.242901820834855,46.2021018737046,6.8886384986991496e-09,4.319801339947008e-06,logCPM_Welch_ttest,GSE171524,GSE227691
FAM76B,4.696704199977679,45.920388630265165,7.145475539428512e-09,4.319801339947008e-06,logCPM_Welch_ttest,GSE171524,GSE227691
MINDY4,5.40593850223065,45.65953478003896,7.393303026804171e-09,4.319801339947008e-06,logCPM_Welch_ttest,GSE171524,GSE227691
C15orf41,4.765766519089821,44.046156871034334,9.169279733980612e-09,5.172738498204234e-06,logCPM_Welch_ttest,GSE171524,GSE227691
TTLL3,5.2014943150211,43.252553959546596,1.022310077074344e-08,5.276133859852457e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC069272.1,5.059875153504935,43.048634335955654,1.051628378731145e-08,5.276133859852457e-06,logCPM_Welch_ttest,GSE171524,GSE227691
COX5B,-7.179558687544831,-21.38100646195973,1.0963003490005011e-08,5.276133859852457e-06,logCPM_Welch_ttest,GSE171524,GSE227691
LRRC4,4.416561057190201,42.363845201724416,1.157514466417168e-08,5.276133859852457e-06,logCPM_Welch_ttest,GSE171524,GSE227691
SELENOI,5.377361739926293,42.31966298588819,1.1647628828620974e-08,5.276133859852457e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC053513.1,6.058462366246443,42.217440270133515,1.1817371340574385e-08,5.276133859852457e-06,logCPM_Welch_ttest,GSE171524,GSE227691
EIF2B4,4.3152566233381675,42.15541316033015,1.1921774489074977e-08,5.276133859852457e-06,logCPM_Welch_ttest,GSE171524,GSE227691
POLR2I,-6.383124897118671,-37.6676988653053,1.1932576577905922e-08,5.276133859852457e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC018362.1,6.113243426703709,41.573679142470304,1.2955140624005656e-08,5.577528963387698e-06,logCPM_Welch_ttest,GSE171524,GSE227691
FBXL18,5.431033746490797,41.326184080205906,1.3426217337280771e-08,5.616734612545884e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC068282.1,6.912463129611126,41.170465454016096,1.3732847463437369e-08,5.616734612545884e-06,logCPM_Welch_ttest,GSE171524,GSE227691
ANO5,5.37609133704423,40.57711438298047,1.497855212672435e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
HEMK1,4.664948310990569,40.4430566511565,1.5277963604524375e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
MASTL,4.152421505805037,40.155431941953395,1.5944231196971812e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
DLGAP4-AS1,4.906526117202027,40.08168014674239,1.612049292489989e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
ACAD11,5.56179762658144,39.79886126800939,1.6817810073969363e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC003681.1,5.388262751342755,39.793738730910995,1.683076078291463e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
PRH1,6.313035951265307,39.61993022330162,1.7277151175004466e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
RTEL1,4.26197659119628,39.40811440181112,1.7839950573131106e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
ZNF10,5.629343447095373,39.19861608517307,1.84177317932281e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
ARHGAP39,3.198136649687552,39.132915741883615,1.860340327071314e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC046195.2,7.885817174990661,39.11840011090826,1.8644718810144297e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
COX6B1,-7.550689393775614,-21.269415670390007,1.8676603050632915e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
LMLN,5.313864218749528,38.936110708872015,1.9172782434257472e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
ASMTL-AS1,5.777235730167235,38.90091894644352,1.9276725048133897e-08,5.84013373680501e-06,logCPM_Welch_ttest,GSE171524,GSE227691
DENND2D,4.745561817276312,38.742076149759306,1.975413772785312e-08,5.875958058685037e-06,logCPM_Welch_ttest,GSE171524,GSE227691
CUL9,4.321363192273606,38.31784844759011,2.1098309500346988e-08,5.881719844435765e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AP000857.2,5.0625051836625286,38.23978667374303,2.1357116778287324e-08,5.881719844435765e-06,logCPM_Welch_ttest,GSE171524,GSE227691
WWC3-AS1,5.733156274625482,38.19527302728777,2.1506354919705986e-08,5.881719844435765e-06,logCPM_Welch_ttest,GSE171524,GSE227691
FLVCR1,5.515246181008359,38.13529528807773,2.1709365944868723e-08,5.881719844435765e-06,logCPM_Welch_ttest,GSE171524,GSE227691
SNHG22,4.4439673022963015,38.03873758408518,2.204090570003239e-08,5.881719844435765e-06,logCPM_Welch_ttest,GSE171524,GSE227691
TRIM37,5.241441127157818,37.97619139601783,2.2258815087375192e-08,5.881719844435765e-06,logCPM_Welch_ttest,GSE171524,GSE227691
NPIPB5,5.87906409342482,37.937957412855695,2.2393258461362482e-08,5.881719844435765e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AL138787.2,4.8838393788546215,37.81607010359078,2.282821919167095e-08,5.881719844435765e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC022540.1,6.118523712156649,37.75546316910339,2.3048161057225487e-08,5.881719844435765e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AMT,4.2188392036366915,37.66833536273964,2.336869131346728e-08,5.881719844435765e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC234582.1,4.258156099577299,37.49698390354995,2.401435719677304e-08,5.952649753624348e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC100830.1,4.22771039034616,37.26648205475364,2.491600931028318e-08,6.083968840540788e-06,logCPM_Welch_ttest,GSE171524,GSE227691
LUCAT1,6.328988051544535,36.590427013784385,2.7797203414777187e-08,6.687680115672865e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AL031587.2,4.311182925899199,36.406647954306486,2.864641787754167e-08,6.7921071953127785e-06,logCPM_Welch_ttest,GSE171524,GSE227691
UQCR11,-7.971971189915521,-17.58906624912119,2.9520433070055416e-08,6.89934692894438e-06,logCPM_Welch_ttest,GSE171524,GSE227691
ZBTB8A,5.0742261877168335,36.09779596190247,3.014269506809216e-08,6.945556215689967e-06,logCPM_Welch_ttest,GSE171524,GSE227691
LINC01118,3.9805966447543084,35.84273182898128,3.1447414037069745e-08,7.106268252418725e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC107029.2,4.659691203096927,35.79309732881859,3.1708898681330496e-08,7.106268252418725e-06,logCPM_Welch_ttest,GSE171524,GSE227691
SLC25A21,4.935274425483331,35.707221896733884,3.2167319854115174e-08,7.111585848828707e-06,logCPM_Welch_ttest,GSE171524,GSE227691
TPCN2,3.688960953729861,35.60346455398872,3.273154573268952e-08,7.139841175824007e-06,logCPM_Welch_ttest,GSE171524,GSE227691
PABPC1L,4.963060252186972,35.322517158424574,3.431819450344917e-08,7.387442922058269e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC021851.1,4.291009104030369,34.61205945657507,3.874747122886979e-08,8.179551121174116e-06,logCPM_Welch_ttest,GSE171524,GSE227691
GCNT7,3.500897851926703,34.574759010266085,3.899785986867855e-08,8.179551121174116e-06,logCPM_Welch_ttest,GSE171524,GSE227691
PAK5,4.886337529441396,34.492132419451906,3.955926037150841e-08,8.192272147821237e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC023590.1,7.699643696324677,34.39390466110472,4.0238965526406485e-08,8.228868450150126e-06,logCPM_Welch_ttest,GSE171524,GSE227691
DLG5,5.529320316114175,34.10178932625953,4.234222836822645e-08,8.552084643261538e-06,logCPM_Welch_ttest,GSE171524,GSE227691
ZNF337-AS1,5.892348061058797,33.82285167745802,4.447116051230546e-08,8.678572619770743e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC131571.1,5.5143063410152475,33.77686186101651,4.483403153042796e-08,8.678572619770743e-06,logCPM_Welch_ttest,GSE171524,GSE227691
OXA1L,-5.539689827523504,-17.1629635027683,4.5000404483500577e-08,8.678572619770743e-06,logCPM_Welch_ttest,GSE171524,GSE227691
THAP6,4.758101195578988,33.744632951638124,4.5090383415679296e-08,8.678572619770743e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC087521.2,5.113550213081012,33.61440928119617,4.6143749863465614e-08,8.768605742299156e-06,logCPM_Welch_ttest,GSE171524,GSE227691
APRT,-6.4549427319466695,-17.623539284450352,4.663011611124857e-08,8.768605742299156e-06,logCPM_Welch_ttest,GSE171524,GSE227691
MATR3.1,4.073639800118322,33.456033316010085,4.746373892269951e-08,8.823940554265499e-06,logCPM_Welch_ttest,GSE171524,GSE227691
RAPGEF2,1.764238650042187,18.33614648295958,4.849789295204125e-08,8.914893580847132e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC092535.4,5.514140782625375,33.25969931170242,4.9161682781216414e-08,8.936501447785561e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AL158152.1,6.20683613134001,33.15847179855198,5.006474400197952e-08,9.000650679916318e-06,logCPM_Welch_ttest,GSE171524,GSE227691
RNF217-AS1,5.021535512458145,33.07746595153265,5.080135622680364e-08,9.033806389896822e-06,logCPM_Welch_ttest,GSE171524,GSE227691
WDR83OS,-7.5983353985775715,-19.269426658101132,5.19230158080918e-08,9.133984286240665e-06,logCPM_Welch_ttest,GSE171524,GSE227691
HINFP,3.352944570778803,32.73142996744817,5.409369491050653e-08,9.327046232610314e-06,logCPM_Welch_ttest,GSE171524,GSE227691
PRDX5,-7.648764198671174,-17.139405462900726,5.416072078838508e-08,9.327046232610314e-06,logCPM_Welch_ttest,GSE171524,GSE227691
TIMM8B,-5.652585862894686,-16.259987474861443,5.6244900322690846e-08,9.585068429991898e-06,logCPM_Welch_ttest,GSE171524,GSE227691
BRCC3,4.577359165400532,32.36695098021991,5.783383262588813e-08,9.645189223317974e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AP000317.1,2.8340736625505056,32.25576257458725,5.90342420978458e-08,9.645189223317974e-06,logCPM_Welch_ttest,GSE171524,GSE227691
ORMDL2,-5.326696740429378,-17.563611746304318,5.94133398582392e-08,9.645189223317974e-06,logCPM_Welch_ttest,GSE171524,GSE227691
FKTN,4.947477658971262,32.17722480199322,5.989966786276291e-08,9.645189223317974e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC005154.4,3.425242563281643,32.15234141429156,6.017694291466759e-08,9.645189223317974e-06,logCPM_Welch_ttest,GSE171524,GSE227691
ERCC5,5.551794775970088,32.121436505356165,6.052340157971342e-08,9.645189223317974e-06,logCPM_Welch_ttest,GSE171524,GSE227691
TMEM234,2.753386303440286,32.10358347323175,6.072460207834666e-08,9.645189223317974e-06,logCPM_Welch_ttest,GSE171524,GSE227691
UFC1,-6.136647950793426,-17.195175828986635,6.250190124871958e-08,9.783695072123067e-06,logCPM_Welch_ttest,GSE171524,GSE227691
HPN-AS1,5.488847479694655,31.923982453401432,6.279266397145001e-08,9.783695072123067e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC107072.2,7.326471262197921,31.785206817094004,6.444699039816835e-08,9.93861995486527e-06,logCPM_Welch_ttest,GSE171524,GSE227691
AC009690.2,4.845491974456897,31.739578873335592,6.500197647741954e-08,9.93861995486527e-06,logCPM_Welch_ttest,GSE171524,GSE227691
DDB2,4.380829106299717,31.59103221634503,6.684778032985676e-08,1.0126200798115337e-05,logCPM_Welch_ttest,GSE171524,GSE227691
CCT6B,4.250062410738193,31.53681302455248,6.753666647926394e-08,1.013669599633723e-05,logCPM_Welch_ttest,GSE171524,GSE227691
SNCAIP,6.175687684783739,31.43812056629469,6.881197055178875e-08,1.0234216711156945e-05,logCPM_Welch_ttest,GSE171524,GSE227691
AC008735.2,6.214973162028826,31.235231337153124,7.152295010851202e-08,1.0541580754732041e-05,logCPM_Welch_ttest,GSE171524,GSE227691
P4HA3,4.90585823823172,31.06449906148856,7.390108908175468e-08,1.0736416082978758e-05,logCPM_Welch_ttest,GSE171524,GSE227691
ABCA10,5.36921723955367,31.04648122000698,7.415739715015891e-08,1.0736416082978758e-05,logCPM_Welch_ttest,GSE171524,GSE227691
ZFAT,5.042045099313081,30.993932262949514,7.491085794501098e-08,1.0750365227898067e-05,logCPM_Welch_ttest,GSE171524,GSE227691
FLG-AS1,4.695501606114042,30.826044179043297,7.737858264338076e-08,1.1007944452571385e-05,logCPM_Welch_ttest,GSE171524,GSE227691
AL049637.1,3.2455836568480128,30.736862247227172,7.872792222222629e-08,1.1103351789272604e-05,logCPM_Welch_ttest,GSE171524,GSE227691
CERNA1,5.74731653854222,30.636896611235763,8.027315187610112e-08,1.122451935635055e-05,logCPM_Welch_ttest,GSE171524,GSE227691
AL590999.1,2.7909909095551693,30.52892315112299,8.198203783533009e-08,1.1366323211745765e-05,logCPM_Welch_ttest,GSE171524,GSE227691
DHDDS,4.815912883592383,30.35286062618767,8.486038635737239e-08,1.1584580790367972e-05,logCPM_Welch_ttest,GSE171524,GSE227691
SNRPE,-4.186962170855966,-18.589987381029168,8.533263357689566e-08,1.1584580790367972e-05,logCPM_Welch_ttest,GSE171524,GSE227691
SH3BP5-AS1,4.417152316172141,30.26250356415857,8.638324783396997e-08,1.1584580790367972e-05,logCPM_Welch_ttest,GSE171524,GSE227691
AC107959.1,5.637961277548422,30.262184399872023,8.638868315555578e-08,1.1584580790367972e-05,logCPM_Welch_ttest,GSE171524,GSE227691
AC002463.1,6.413472629708297,30.198092213630062,8.748828749932001e-08,1.1622607776186629e-05,logCPM_Welch_ttest,GSE171524,GSE227691
RPS13,-9.32629392163776,-15.576279147478692,8.843604753317428e-08,1.1622607776186629e-05,logCPM_Welch_ttest,GSE171524,GSE227691
AP000442.1,5.118700020971819,30.087607531337113,8.942237280547431e-08,1.1622607776186629e-05,logCPM_Welch_ttest,GSE171524,GSE227691
LRRC8D,5.84845797970888,30.082444178542453,8.951397187038601e-08,1.1622607776186629e-05,logCPM_Welch_ttest,GSE171524,GSE227691
AC079807.1,4.321879530223946,29.84431146149509,9.385984728301877e-08,1.2090922059450291e-05,logCPM_Welch_ttest,GSE171524,GSE227691
RFLNA,4.572133867045453,29.684009927418856,9.692396986227301e-08,1.2388094898021769e-05,logCPM_Welch_ttest,GSE171524,GSE227691
HEATR5A,6.253606065996633,29.410833584960653,1.0241856531157357e-07,1.290107263519353e-05,logCPM_Welch_ttest,GSE171524,GSE227691
CCDC180,4.601445807458674,29.353913474966156,1.0360868017003412e-07,1.290107263519353e-05,logCPM_Welch_ttest,GSE171524,GSE227691
AF127577.2,3.991252400513695,29.31947761958826,1.0433650811641186e-07,1.290107263519353e-05,logCPM_Welch_ttest,GSE171524,GSE227691
MTMR9,4.651413562653551,29.273180328174057,1.0532445015047298e-07,1.290107263519353e-05,logCPM_Welch_ttest,GSE171524,GSE227691
TRMT112,-7.0452877061691215,-20.29719461199755,1.0590793806481549e-07,1.290107263519353e-05,logCPM_Welch_ttest,GSE171524,GSE227691
ZNF587B,4.3524609019300735,29.229970837647784,1.0625635158170938e-07,1.290107263519353e-05,logCPM_Welch_ttest,GSE171524,GSE227691
PRR26,2.873267302510768,29.205259197505228,1.0679362806083864e-07,1.290107263519353e-05,logCPM_Welch_ttest,GSE171524,GSE227691
TMEM265,3.4608041841345103,29.16925310887309,1.0758214563511475e-07,1.290107263519353e-05,logCPM_Welch_ttest,GSE171524,GSE227691
