gene,log2fc,statistic,pvalue,fdr,method,group1,group2
UQCR10,-7.01813571603715,-420.8333947464879,1.4378931368567841e-12,2.0964481935371912e-08,logCPM_Welch_ttest,GSE171524,GSE173896
EEF1A1,-12.963353326379215,-311.07558929565016,6.515175437802924e-12,4.7495628941583315e-08,logCPM_Welch_ttest,GSE171524,GSE173896
FTH1,-13.265241595134219,-224.972253616581,3.2928135125338793e-11,1.0867813403043976e-07,logCPM_Welch_ttest,GSE171524,GSE173896
EDF1,-8.061308759260834,-220.90541394071624,3.607253928126485e-11,1.0867813403043976e-07,logCPM_Welch_ttest,GSE171524,GSE173896
AC053513.1,7.344741330772417,30.477173139250613,3.7269593288902524e-11,1.0867813403043976e-07,logCPM_Welch_ttest,GSE171524,GSE173896
TMA7,-8.547819565902532,-203.12266609911902,5.487811019288894e-11,1.099757716521638e-07,logCPM_Welch_ttest,GSE171524,GSE173896
AC002463.1,6.98178387245859,25.293422623071397,6.157521319107291e-11,1.099757716521638e-07,logCPM_Welch_ttest,GSE171524,GSE173896
WDR83OS,-7.663256397152374,-198.11872145083439,6.216668898312519e-11,1.099757716521638e-07,logCPM_Welch_ttest,GSE171524,GSE173896
SNRPF,-6.482324971098071,-194.6613871579942,6.788627879763197e-11,1.099757716521638e-07,logCPM_Welch_ttest,GSE171524,GSE173896
TMSB10,-10.732112761652589,-190.5262256275891,7.557912588520483e-11,1.1019436554062864e-07,logCPM_Welch_ttest,GSE171524,GSE173896
RPL15,-10.892933683323156,-175.9087323725087,1.1264618925391184e-10,1.3757061087632393e-07,logCPM_Welch_ttest,GSE171524,GSE173896
UQCRB,-8.864825145523234,-174.1965345795983,1.1829134620828258e-10,1.3757061087632393e-07,logCPM_Welch_ttest,GSE171524,GSE173896
UBB,-9.81264251833687,-166.57976461860898,1.4791934244577705e-10,1.3757061087632393e-07,logCPM_Welch_ttest,GSE171524,GSE173896
RPS29,-11.387323790091747,-164.7029637294592,1.5653998025454475e-10,1.3757061087632393e-07,logCPM_Welch_ttest,GSE171524,GSE173896
RPL9,-11.062156207604174,-163.74728067541028,1.611609635120161e-10,1.3757061087632393e-07,logCPM_Welch_ttest,GSE171524,GSE173896
NDUFA1,-7.630406842081423,-163.11319730098896,1.643173726864357e-10,1.3757061087632393e-07,logCPM_Welch_ttest,GSE171524,GSE173896
COX6A1,-7.672473404098706,-161.94456440991365,1.703313445310489e-10,1.3757061087632393e-07,logCPM_Welch_ttest,GSE171524,GSE173896
