gene,log2fc,statistic,pvalue,fdr,method,group1,group2
AC010894.3,-8.012231984182254,-120.50540401054123,2.2018802479668513e-11,2.993896573160528e-07,logCPM_Welch_ttest,GSE159354,GSE171524
FTH1,12.617869197829492,34.19527920065139,1.3716306057932884e-10,8.644614419217781e-07,logCPM_Welch_ttest,GSE159354,GSE171524
TMLHE-AS1,-7.062170459049841,-84.07214100649145,1.9073209721007093e-10,8.644614419217781e-07,logCPM_Welch_ttest,GSE159354,GSE171524
AP002336.2,-7.139119826640341,-73.50448689412688,4.267321323337095e-10,1.3492677427891169e-06,logCPM_Welch_ttest,GSE159354,GSE171524
AC079793.1,-10.215578387845365,-71.67890481509622,4.961637650912396e-10,1.3492677427891169e-06,logCPM_Welch_ttest,GSE159354,GSE171524
S100A4,9.169142818077379,33.824727633303524,7.785641114755598e-10,1.620715570253122e-06,logCPM_Welch_ttest,GSE159354,GSE171524
FTL,11.257002876066228,26.578996374316176,8.634350187269422e-10,1.620715570253122e-06,logCPM_Welch_ttest,GSE159354,GSE171524
ANKUB1,-8.24267646212125,-63.04113029556366,1.071124487914992e-09,1.620715570253122e-06,logCPM_Welch_ttest,GSE159354,GSE171524
C11orf65,-7.160547133934413,-62.707580278967605,1.1057203617679163e-09,1.620715570253122e-06,logCPM_Welch_ttest,GSE159354,GSE171524
AC068888.1,-6.591986967240226,-61.58477799386723,1.2321437347198017e-09,1.620715570253122e-06,logCPM_Welch_ttest,GSE159354,GSE171524
AC005856.1,-4.939915320746266,-60.94918719691874,1.3111621146417843e-09,1.620715570253122e-06,logCPM_Welch_ttest,GSE159354,GSE171524
CUBN,-6.222063717418399,-59.63772976816613,1.4936730454808724e-09,1.6924560332836186e-06,logCPM_Welch_ttest,GSE159354,GSE171524
ANKRD23,-6.222323376275979,-55.01200998463275,2.422705694986049e-09,2.226800073231429e-06,logCPM_Welch_ttest,GSE159354,GSE171524
AC009313.1,-6.698585464168613,-54.99048855392666,2.4283903828724097e-09,2.226800073231429e-06,logCPM_Welch_ttest,GSE159354,GSE171524
AC025682.1,-5.202445632590271,-54.87784771069111,2.4583984570872397e-09,2.226800073231429e-06,logCPM_Welch_ttest,GSE159354,GSE171524
MEF2B,-5.40017478448115,-54.29643256289633,2.6203428088330417e-09,2.226800073231429e-06,logCPM_Welch_ttest,GSE159354,GSE171524
AC068282.1,-7.723485914754024,-52.53988776980462,3.1907562905440583e-09,2.474597106995269e-06,logCPM_Welch_ttest,GSE159354,GSE171524
AC010609.1,-8.471430608752835,-52.01992830423498,3.386571944019866e-09,2.474597106995269e-06,logCPM_Welch_ttest,GSE159354,GSE171524
AC053513.1,-7.682789098900865,-51.83912895927653,3.4579204995888885e-09,2.474597106995269e-06,logCPM_Welch_ttest,GSE159354,GSE171524
ZNF451-AS1,-6.619512510697036,-50.804049160778725,3.901814960589884e-09,2.4839325202708446e-06,logCPM_Welch_ttest,GSE159354,GSE171524
AC092652.2,-7.284474830922954,-50.621323978106034,3.9869107480883534e-09,2.4839325202708446e-06,logCPM_Welch_ttest,GSE159354,GSE171524
AC009554.1,-7.169891651461915,-50.553570220896525,4.0190126826475385e-09,2.4839325202708446e-06,logCPM_Welch_ttest,GSE159354,GSE171524
Z94721.1,-6.937637796913243,-49.74507078457128,4.426317327531172e-09,2.616723334888754e-06,logCPM_Welch_ttest,GSE159354,GSE171524
AL359706.1,-5.467720859465402,-48.93904998682467,4.881104178132286e-09,2.7653488962526957e-06,logCPM_Welch_ttest,GSE159354,GSE171524
