gene,log2fc,statistic,pvalue,fdr,method,group1,group2
ORC2,-5.717399424336221,-354.6406901129629,3.3831717683890254e-12,3.447333555653066e-08,logCPM_Welch_ttest,GSE159354,GSE173896
MPPE1,-5.710943899454982,-347.1001836967363,3.766960122005208e-12,3.447333555653066e-08,logCPM_Welch_ttest,GSE159354,GSE173896
ZNF302,-4.978360104583409,-296.45986531505525,8.287458840204633e-12,5.0561786384088464e-08,logCPM_Welch_ttest,GSE159354,GSE173896
PCSK5,-5.270064601468113,-226.85394139448604,3.1585066977891814e-11,1.4452537022408847e-07,logCPM_Welch_ttest,GSE159354,GSE173896
TRAPPC13,-4.623805777142065,-209.26736694587856,4.72813713229656e-11,1.7307818786484788e-07,logCPM_Welch_ttest,GSE159354,GSE173896
USP38,-5.319533542643147,-177.56234835184733,1.074983717340267e-10,3.279237829746484e-07,logCPM_Welch_ttest,GSE159354,GSE173896
GTDC1,-6.745483145233863,-166.96138376700657,1.462368340030206e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
SAMM50,-5.015060927187591,-156.42714688975613,2.0255972459115116e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
SHPRH,-5.679891045810052,-153.55146847165872,2.2224738529606688e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
ZNF652,-7.497657311541544,-148.01757513872053,2.670084929706348e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
DECR1,-7.216651291164688,-147.59676157250772,2.708358468893127e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
DPP9,-5.7802551169100544,-146.53797000938897,2.807607133604145e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
CNOT6,-5.114105435074136,-144.89919378627116,2.969972434697345e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
IDH2,-6.737786047520154,-142.11286851632966,3.2727020003375487e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
GRHPR,-4.998686869097186,-141.32294840636578,3.365173502434138e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
UNKL,-4.562817826964582,-138.24863923506564,3.756263992525512e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
LMAN1,-5.727942807778117,-138.0353219624394,3.7853715862852936e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
ISCA2,-4.482535147980772,-136.18111200768936,4.050126669099836e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
MYO19,-4.849699907147088,-133.59587560409227,4.4573622557128964e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
AKT1,-5.916109191259928,-133.16882422236128,4.5292749369257157e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
SRSF4,-7.476966804090569,-132.00216605878708,4.732946165498935e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
TTC1,-6.322508161975271,-131.31114256475666,4.85876768976414e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
COPB1,-6.391642624218757,-129.3185171426495,5.244717224366492e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
VAMP4,-4.917082454450861,-129.20450519546353,5.267892217789303e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
CHD8,-6.079013047555866,-129.00850122458826,5.308021464842315e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
AP2A1,-5.623498540157754,-126.46472920660818,5.863620710764681e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
CPSF7,-5.231267744726955,-126.06981896302642,5.956011001479738e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
VRK3,-5.239243867563032,-125.55760747997397,6.078460328307576e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
TSTA3,-4.893604923487222,-124.78730483408573,6.268347517291557e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
TMEM183A,-5.338864855896486,-124.7239345875892,6.284283551775726e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
UBN1,-5.984565872310843,-124.46030021880622,6.351105064676037e-10,3.7498153547988874e-07,logCPM_Welch_ttest,GSE159354,GSE173896
CDC5L,-6.03431779545787,-122.84810764734837,6.778806385866437e-10,3.764208601948639e-07,logCPM_Welch_ttest,GSE159354,GSE173896
SFSWAP,-6.315331417967414,-122.81913073342018,6.786804560143424e-10,3.764208601948639e-07,logCPM_Welch_ttest,GSE159354,GSE173896
FAM50A,-5.544604643721609,-121.8340695734818,7.065561446720874e-10,3.803557975274475e-07,logCPM_Welch_ttest,GSE159354,GSE173896
LEMD2,-4.879722558649511,-120.23001530520759,7.549488069119461e-10,3.943206626301939e-07,logCPM_Welch_ttest,GSE159354,GSE173896
PPP1CA,-7.626006834455836,-119.58308512299806,7.755856337587816e-10,3.943206626301939e-07,logCPM_Welch_ttest,GSE159354,GSE173896
ZNF131,-6.903434732556536,-118.36269124775026,8.163899038464356e-10,3.977980789214415e-07,logCPM_Welch_ttest,GSE159354,GSE173896
PTPN12,-8.822014312627191,-118.08894656999502,8.258934053988296e-10,3.977980789214415e-07,logCPM_Welch_ttest,GSE159354,GSE173896
KIAA1551,-7.376194506073678,-116.20547128052088,8.950070542991538e-10,4.1619302885233383e-07,logCPM_Welch_ttest,GSE159354,GSE173896
CAPN7,-6.071088606203947,-115.83103027341868,9.095624298799842e-10,4.1619302885233383e-07,logCPM_Welch_ttest,GSE159354,GSE173896
POLM,-4.432223075052241,-113.73485618779982,9.964976950675804e-10,4.2612681452107005e-07,logCPM_Welch_ttest,GSE159354,GSE173896
