gene,log2fc,statistic,pvalue,fdr,method,group1,group2
SENP2,-5.834833731851285,-128.3536851652499,2.2097449985379656e-08,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
DYNLT3,-5.4412940225383135,-97.21469422331346,6.713010037131207e-08,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
REV3L,-8.25967565200583,-88.52445812343373,9.761774551205279e-08,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
LINC00513,-6.20317341943384,-77.88895466161239,1.6284358512443817e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
DCST2,-4.059636053832168,-76.72237186369864,1.7297026860263754e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
QTRT2,-4.059636053832168,-76.72237186369864,1.7297026860263754e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
RNMT,-5.491124500484793,-76.54136610595566,1.7461131277935345e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
ZMYM4,-6.595138183166012,-68.18475801595044,2.771912621823016e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
KATNAL2,-6.3375930363231125,-66.33034669303082,3.094884195916949e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
AC002070.1,-5.3453895221526135,-66.31095661955688,3.098502956753633e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
BMPR2,-6.482087517449729,-64.11174110644936,3.545658429703294e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
RORA,-7.089096127931621,-63.306631408397486,3.729343161307866e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
SEC24B,-6.592674336002391,-62.2547635696636,3.9876241750486916e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
DHRSX,-7.278297394648341,-61.93630772494714,4.0701988898599116e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
SGSM1,-5.2025735774463335,-60.8808492648941,4.3596106100319287e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
LDLRAD4,-8.866433137866034,-60.29638873613567,4.53095865469328e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
ERICH3-AS1,-5.838830517307615,-60.07623482072387,4.597678955277975e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
NEMF,-6.490915339882898,-59.099152107645715,4.909053330887396e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
EHBP1,-6.262209765596643,-57.80500285488051,5.363194556787789e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
ATG10,-5.7370011473872795,-57.55229014214988,5.457920464378182e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
OLA1,-5.964584143109861,-57.44384353317597,5.499210958223533e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
NXN,-7.153115037227866,-57.0039236883502,5.670766478504196e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
AC016907.2,-4.373525118040349,-56.60450633289326,5.832357427058525e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
AQP4-AS1,-8.46431736643363,-56.020246264237876,6.079238486399455e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
LMNTD1,-9.909687443908354,-55.811439179652346,6.170629079535102e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
LARP4B,-6.981891412725247,-55.70174027446586,6.219330152381179e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
TCF3,-3.2005754055068096,-55.61924303376317,6.256271756814387e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
TMEM268,-3.2005754055068096,-55.61924303376317,6.256271756814387e-07,0.0002539347838464987,logCPM_Welch_ttest,GSE159354,GSE173896
