gene,log2fc,statistic,pvalue,fdr,method,group1,group2
PYURF,6.841377270465205,60.63082111796454,2.3097855392131868e-08,0.00028905696588713453,logCPM_Welch_ttest,GSE132771,GSE227691
PDCD10,6.372096315782369,48.54576785300296,7.007684960365665e-08,0.00028905696588713453,logCPM_Welch_ttest,GSE132771,GSE227691
ASGR1,6.06827649731652,42.76159281637679,1.3197544553525962e-07,0.00028905696588713453,logCPM_Welch_ttest,GSE132771,GSE227691
TWF2,6.491772816740659,42.570489879118995,1.3495731488707565e-07,0.00028905696588713453,logCPM_Welch_ttest,GSE132771,GSE227691
SRSF2,7.656430997318942,41.613967247967175,1.511558623837995e-07,0.00028905696588713453,logCPM_Welch_ttest,GSE132771,GSE227691
DNAJA2,6.027008445182627,41.107969639463846,1.6066604272354797e-07,0.00028905696588713453,logCPM_Welch_ttest,GSE132771,GSE227691
RPL22L1,7.146180051830052,41.02142060677501,1.6236377973479055e-07,0.00028905696588713453,logCPM_Welch_ttest,GSE132771,GSE227691
FNIP1,6.149882957160521,40.2898668239395,1.7760796675092752e-07,0.00028905696588713453,logCPM_Welch_ttest,GSE132771,GSE227691
CTDNEP1,5.85704804910426,36.669489597657176,2.8400452468188143e-07,0.00037572825047971025,logCPM_Welch_ttest,GSE132771,GSE227691
TLR4,6.671073370492722,36.394816987597366,2.9484899019284157e-07,0.00037572825047971025,logCPM_Welch_ttest,GSE132771,GSE227691
IRS2,7.23046365646901,35.85975464246977,3.1743554187993953e-07,0.00037572825047971025,logCPM_Welch_ttest,GSE132771,GSE227691
CTBS,5.7626456974638645,35.05392288761824,3.5550142854404483e-07,0.0003857190499702886,logCPM_Welch_ttest,GSE132771,GSE227691
MTPN,7.07970142833738,34.045610850289165,4.111422659891204e-07,0.0004022580528712632,logCPM_Welch_ttest,GSE132771,GSE227691
LACTB,6.591252006344958,33.70068639005744,4.325355407217884e-07,0.0004022580528712632,logCPM_Welch_ttest,GSE132771,GSE227691
GRSF1,5.592603739324893,32.743605117572834,4.992764845264338e-07,0.0004078170425279333,logCPM_Welch_ttest,GSE132771,GSE227691
SUCLG1,6.011497180091882,32.564729555867764,5.130841626206995e-07,0.0004078170425279333,logCPM_Welch_ttest,GSE132771,GSE227691
ZNF622,5.614666851823018,32.32298200146056,5.324800094450742e-07,0.0004078170425279333,logCPM_Welch_ttest,GSE132771,GSE227691
LSM8,6.739461337478136,30.56774786409832,7.031040587247073e-07,0.0005085786024775383,logCPM_Welch_ttest,GSE132771,GSE227691
KRT10,6.483436623183721,29.6942210444907,8.12234455253128e-07,0.0005447818986487136,logCPM_Welch_ttest,GSE132771,GSE227691
LYAR,5.886933846873499,29.384054149133462,8.557977442052767e-07,0.0005447818986487136,logCPM_Welch_ttest,GSE132771,GSE227691
MAP7D1,5.879513550728681,29.2286204394179,8.786804816914736e-07,0.0005447818986487136,logCPM_Welch_ttest,GSE132771,GSE227691
HTATIP2,5.929155827126735,27.247783466390175,1.2456640793131667e-06,0.0007372066505753378,logCPM_Welch_ttest,GSE132771,GSE227691
EIF4E,6.8253892659588296,26.521692659712798,1.4246398859949734e-06,0.0007562035245813577,logCPM_Welch_ttest,GSE132771,GSE227691
THBS1,9.217556909283482,26.4588080566615,1.4415464605959517e-06,0.0007562035245813577,logCPM_Welch_ttest,GSE132771,GSE227691
CLTC,6.5156929316454075,26.348715070081255,1.4717279611239513e-06,0.0007562035245813577,logCPM_Welch_ttest,GSE132771,GSE227691
MPP1,6.857377827927898,26.11429849198975,1.5385545645764564e-06,0.0007562035245813577,logCPM_Welch_ttest,GSE132771,GSE227691
SNHG15,6.6731030281959605,26.01430407633374,1.5681639910673315e-06,0.0007562035245813577,logCPM_Welch_ttest,GSE132771,GSE227691
PMPCB,5.929383617818125,25.696705252978127,1.666846239013164e-06,0.0007750835011411212,logCPM_Welch_ttest,GSE132771,GSE227691
RRP7A,5.549880637400875,25.02156591052644,1.902513731420379e-06,0.0008541630614859771,logCPM_Welch_ttest,GSE132771,GSE227691
WDR13,5.5025519911866665,24.65507370328469,2.047141373872861e-06,0.0008884593562608217,logCPM_Welch_ttest,GSE132771,GSE227691
GLTP,5.664895237656354,24.265566155287285,2.215549647459783e-06,0.0009305308519331089,logCPM_Welch_ttest,GSE132771,GSE227691
EIF4EBP2,5.664970799439011,23.24554140977976,2.7417798861678237e-06,0.0010948806935866778,logCPM_Welch_ttest,GSE132771,GSE227691
SEPT9,5.609154109093896,23.144670955495016,2.8015688973790664e-06,0.0010948806935866778,logCPM_Welch_ttest,GSE132771,GSE227691
ACSL4,5.702028595490938,23.049958527960616,2.8591354517624455e-06,0.0010948806935866778,logCPM_Welch_ttest,GSE132771,GSE227691
GTF2F1,5.430687806999118,22.544402473888375,3.1915253074363853e-06,0.0011872474143663353,logCPM_Welch_ttest,GSE132771,GSE227691
CDC26,5.500097946298712,22.23118919482018,3.4207485972407243e-06,0.0012371707426687287,logCPM_Welch_ttest,GSE132771,GSE227691
RPA3,5.951991349954661,21.92882238149492,3.6609957296066817e-06,0.0012882747134994323,logCPM_Welch_ttest,GSE132771,GSE227691
FNTA,5.45974309879898,21.047722113804927,4.485715709024328e-06,0.0015369478560920199,logCPM_Welch_ttest,GSE132771,GSE227691
UTP11,5.298296769255274,20.90823474141244,4.635870869037874e-06,0.001547667659355721,logCPM_Welch_ttest,GSE132771,GSE227691
OGFRL1,6.2697060832140705,20.555016950953213,5.04387270344506e-06,0.0016417805649713668,logCPM_Welch_ttest,GSE132771,GSE227691
SLC16A6,5.7568938610730465,20.40527428311815,5.229747833533745e-06,0.0016607638242099845,logCPM_Welch_ttest,GSE132771,GSE227691
FABP4,10.635113514112861,20.219184349127847,5.472307765998312e-06,0.001696415407459477,logCPM_Welch_ttest,GSE132771,GSE227691
PHF20L1,5.709443426330751,19.9000072926361,5.920506053096235e-06,0.0017926741584026276,logCPM_Welch_ttest,GSE132771,GSE227691
MFF,5.4620045530188746,19.526920543897273,6.501424135920249e-06,0.0018888062430677973,logCPM_Welch_ttest,GSE132771,GSE227691
SORT1,5.281420638546089,19.455435524249346,6.620393388356407e-06,0.0018888062430677973,logCPM_Welch_ttest,GSE132771,GSE227691
RPA2,5.181556955869551,19.424195945593627,6.673201780423861e-06,0.0018888062430677973,logCPM_Welch_ttest,GSE132771,GSE227691
OLA1,6.057821525460319,18.948848291090474,7.5425297525895e-06,0.0020894412208237296,logCPM_Welch_ttest,GSE132771,GSE227691
MRPL42,5.329151397199179,18.845929771207864,7.748243351399125e-06,0.002101711009067013,logCPM_Welch_ttest,GSE132771,GSE227691
PANK2,5.497044299010077,18.739451755442385,7.96818487767008e-06,0.0021164309049817275,logCPM_Welch_ttest,GSE132771,GSE227691
SLC25A36,5.652874845291212,18.65628899863614,8.145180726835967e-06,0.0021164309049817275,logCPM_Welch_ttest,GSE132771,GSE227691
MRPL36,5.315482340308834,18.589762476544692,8.290167139329348e-06,0.0021164309049817275,logCPM_Welch_ttest,GSE132771,GSE227691
SAP30,5.705553903435913,18.44482556766347,8.616883962198358e-06,0.0021575351766888965,logCPM_Welch_ttest,GSE132771,GSE227691
ZNF330,5.84133268771026,18.29527406565597,8.970302012458977e-06,0.0022036477774002995,logCPM_Welch_ttest,GSE132771,GSE227691
