gene,log2fc,statistic,pvalue,fdr,method,group1,group2
AKAP10,-4.232631937428317,-127.0499255705501,1.0751044291213857e-06,0.011933659163247382,logCPM_Welch_ttest,GSE159354,GSE227691
PLEKHG1,-6.4380297509501085,-94.08559947612608,2.6468216889059777e-06,0.014689860373428176,logCPM_Welch_ttest,GSE159354,GSE227691
SUPT3H,-6.421229111186709,-73.30381211995713,5.5950011603587724e-06,0.0199014766254625,logCPM_Welch_ttest,GSE159354,GSE227691
AC011511.2,-6.976822273403419,-62.300214096061055,9.111700966975e-06,0.0199014766254625,logCPM_Welch_ttest,GSE159354,GSE227691
DIP2C,-4.986205275298456,-57.58516088010719,1.1536331068651664e-05,0.0199014766254625,logCPM_Welch_ttest,GSE159354,GSE227691
PARD3B,-7.290570731115748,-53.00221575434822,1.4792187598928008e-05,0.0199014766254625,logCPM_Welch_ttest,GSE159354,GSE227691
AC016831.7,-8.660334155693942,-50.74792291138452,1.6850359798839248e-05,0.0199014766254625,logCPM_Welch_ttest,GSE159354,GSE227691
AGPAT4,-4.073033631072647,-50.13944432383023,1.747071325164025e-05,0.0199014766254625,logCPM_Welch_ttest,GSE159354,GSE227691
DROSHA,-4.04264751073065,-49.880740970192434,1.7743693874607866e-05,0.0199014766254625,logCPM_Welch_ttest,GSE159354,GSE227691
AC104365.1,-3.4166464682506903,-49.707891687209404,1.7929258221137388e-05,0.0199014766254625,logCPM_Welch_ttest,GSE159354,GSE227691
TLL1,-5.2660994532472305,-41.97340652443246,2.97619488596643e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
AC005920.2,-4.15098342889401,-41.48904755703428,3.081504568561674e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
PRELID2,-4.18064171447546,-40.12096596385928,3.407110172803515e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
ARL15,-5.780799350913035,-39.916228519616695,3.459727126144602e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
AGK,-4.259346992947987,-38.73167969053587,3.78643516745913e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
GRIP1,-6.632141833921657,-38.537681332838,3.8438132254256687e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
ABHD15-AS1,-3.4589166423559323,-36.81028640274848,4.409714895444981e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
HIRA,-3.3516322919752746,-36.599426034620144,4.4862345050404975e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
ZYG11B,-3.569696856186918,-36.110857846387326,4.670459921699918e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
AC104123.1,-4.81210824939207,-35.26739047922004,5.012970858067886e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
SERF2,0.737989895961384,9.970731250106047,5.9176880413462455e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
AC007216.4,-4.325683097123942,-33.31652565329873,5.944083294937026e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
DANT2,-6.323144368872276,-33.28008247993517,5.963589518892237e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
KIAA1958,-5.347734891849178,-33.27624097334076,5.965650654114941e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
AC008537.1,-5.01797807710732,-33.018272352583544,6.106262511404571e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
AC026202.2,-4.548201908656916,-32.727122545301846,6.270316698843229e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
RANBP17,-6.120490883585877,-32.70602721027445,6.282430382130338e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
TOM1L1,-5.124244556381388,-32.064285600893925,6.666339522958003e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
FBXL4,-4.025272384409101,-31.55882579151814,6.991021853410216e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
DLEU2,-6.35513945993711,-31.21137103982086,7.226526225814867e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
USP32,-5.1217150037837955,-31.086332443363865,7.313862004625898e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
WDPCP,-5.743939370754488,-31.03370169723195,7.351043679005991e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
NR3C2,-5.592269309436906,-30.68267875924246,7.605586003011576e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
TBC1D14,-4.597289057299694,-30.643714452952487,7.634560961442188e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
LCLAT1,-4.608548246708504,-30.62158893400572,7.65107961987185e-05,0.02426485250873644,logCPM_Welch_ttest,GSE159354,GSE227691
ATR,-5.02951922625994,-29.6819449502584,8.398890437757024e-05,0.02492976586861811,logCPM_Welch_ttest,GSE159354,GSE227691
GFM2,-3.4249466210333903,-29.523445509047153,8.534514441508904e-05,0.02492976586861811,logCPM_Welch_ttest,GSE159354,GSE227691
GLRX2,-3.4249466210333903,-29.523445509047153,8.534514441508904e-05,0.02492976586861811,logCPM_Welch_ttest,GSE159354,GSE227691
MBOAT1,-4.528144220121521,-29.263970396600612,8.7629098947351e-05,0.0249405897003999,logCPM_Welch_ttest,GSE159354,GSE227691
RBM14-RBM4,-4.070777700232196,-28.555781594852384,9.429193983694223e-05,0.02586085822543415,logCPM_Welch_ttest,GSE159354,GSE227691
LINC02256,-4.437064689958103,-28.32180419715226,9.664119194048163e-05,0.02586085822543415,logCPM_Welch_ttest,GSE159354,GSE227691
CA1,-4.636442503203848,-27.91150897252328,0.00010095261127719892,0.02586085822543415,logCPM_Welch_ttest,GSE159354,GSE227691
IFI44,-3.550860556544639,-27.75699575546634,0.00010264263796563136,0.02586085822543415,logCPM_Welch_ttest,GSE159354,GSE227691
UTP4,-3.614488340746291,-27.62337705830711,0.0001041346496685562,0.02586085822543415,logCPM_Welch_ttest,GSE159354,GSE227691
ISG20,1.4091583834634545,9.297685425635729,0.00010484131713013846,0.02586085822543415,logCPM_Welch_ttest,GSE159354,GSE227691
FBXL7,-5.750233644691986,-26.833925130210226,0.00011356672324671092,0.02697917670962856,logCPM_Welch_ttest,GSE159354,GSE227691
AUH,-4.968572743104747,-26.601368483807047,0.00011656114085164544,0.02697917670962856,logCPM_Welch_ttest,GSE159354,GSE227691
ACOXL,-6.0266966046705255,-26.519040511542187,0.00011764639447357416,0.02697917670962856,logCPM_Welch_ttest,GSE159354,GSE227691
TNIK,-4.725493566888824,-26.297235180491338,0.00012063803712089935,0.02697917670962856,logCPM_Welch_ttest,GSE159354,GSE227691
