gene,log2fc,statistic,pvalue,fdr,method,group1,group2
USP6NL,2.81556133270806,13.316081346832119,2.1347573011037525e-06,0.014607136801385142,logCPM_Welch_ttest,GSE173896,GSE227691
INTS6,2.0397622844345777,11.148251565351874,3.751405487088312e-06,0.014607136801385142,logCPM_Welch_ttest,GSE173896,GSE227691
EEF1G,-5.133847783877871,-11.351115536608114,3.8040949679172657e-06,0.014607136801385142,logCPM_Welch_ttest,GSE173896,GSE227691
MTRNR2L8,6.913124811261208,21.115655686494367,4.4146994488508175e-06,0.014607136801385142,logCPM_Welch_ttest,GSE173896,GSE227691
RPS17,-3.407528509999951,-9.688682544599423,1.5441667122128586e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
SINHCAF,1.3735747442559338,10.139606258237599,1.8901436433215052e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
MAP3K1,2.0989653245033084,9.885570014086298,1.9391268972431423e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
LINC00486,-5.823449301342468,-9.106201760418232,2.2048119159239787e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
GALNT10,1.9174488903932936,9.416633750139768,2.6558229051389955e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
MTRNR2L12,9.002210430227244,17.614541351363634,2.732670315642103e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
UQCRQ,-1.4671612960420957,-8.650760146724313,2.7423380924779026e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
COX7B,-1.266086865658525,-8.749408268700085,2.7621134297032152e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
RPL30,1.0053322408138516,13.724757896934534,3.167987680256974e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
UBL5,-1.0423067231367975,-8.25899174421602,3.796752842690007e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
MT1X,-7.488372259448638,-8.186249308343623,3.826075246265485e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
RPL7,-1.6197932347768127,-8.131437857932047,3.897642176608549e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
RPS21,0.8557852910886172,8.115950969525743,3.94117553203484e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
NUCKS1,1.1392258317818325,8.225063407934233,3.949951337652633e-05,0.029043114418795885,logCPM_Welch_ttest,GSE173896,GSE227691
ATP5MPL,-1.7420976510230881,-8.474718529783338,4.402716607458493e-05,0.0302416429850862,logCPM_Welch_ttest,GSE173896,GSE227691
SERF2,-1.4305697612021788,-7.96896796652564,4.5699498277425306e-05,0.0302416429850862,logCPM_Welch_ttest,GSE173896,GSE227691
SECISBP2,0.8926349980129888,8.44537060493482,5.482832129635782e-05,0.03419850161577189,logCPM_Welch_ttest,GSE173896,GSE227691
UQCR11,-1.4001531924057051,-8.047713237104684,5.923206453929061e-05,0.03419850161577189,logCPM_Welch_ttest,GSE173896,GSE227691
PSMA2,-1.6452385204405742,-7.937977722035899,5.9430716823781904e-05,0.03419850161577189,logCPM_Welch_ttest,GSE173896,GSE227691
PET100,-1.5363222454434426,-7.542507358278935,6.66187498317293e-05,0.03494544398146529,logCPM_Welch_ttest,GSE173896,GSE227691
TIAM2,1.344952906590306,11.175480193268578,6.947189624787062e-05,0.03494544398146529,logCPM_Welch_ttest,GSE173896,GSE227691
ST6GAL1,2.101776878754177,9.15696263728972,7.252072901040794e-05,0.03494544398146529,logCPM_Welch_ttest,GSE173896,GSE227691
POLR2L,-1.723715578482297,-8.608243378296127,7.501913109093733e-05,0.03494544398146529,logCPM_Welch_ttest,GSE173896,GSE227691
CCNY,1.2611904040710034,7.798326712804332,7.585537278379113e-05,0.03494544398146529,logCPM_Welch_ttest,GSE173896,GSE227691
RSBN1L,1.5572775094038303,7.407837240402099,7.65710521694366e-05,0.03494544398146529,logCPM_Welch_ttest,GSE173896,GSE227691
ADD1,1.5151963899144594,9.268811043263947,7.967676668361738e-05,0.03505082576142804,logCPM_Welch_ttest,GSE173896,GSE227691
ROCK1,0.8159242124346449,7.338883381245734,8.26840091730774e-05,0.03505082576142804,logCPM_Welch_ttest,GSE173896,GSE227691
OAZ1,-0.7836244842285538,-7.464438468123256,8.589070489219074e-05,0.03505082576142804,logCPM_Welch_ttest,GSE173896,GSE227691
LPP,1.2210830459629705,7.86046614314413,8.900195736617616e-05,0.03505082576142804,logCPM_Welch_ttest,GSE173896,GSE227691
FBXW4,1.1950209544094532,7.169992025899737,9.60605390679952e-05,0.03505082576142804,logCPM_Welch_ttest,GSE173896,GSE227691
MACF1,0.8598475333066586,7.16236391698112,9.647721593726247e-05,0.03505082576142804,logCPM_Welch_ttest,GSE173896,GSE227691
DOCK8,1.1366415290650762,7.469542154073884,9.85658475633499e-05,0.03505082576142804,logCPM_Welch_ttest,GSE173896,GSE227691
RIF1,1.2823609483942784,7.502228657516248,9.926647800678144e-05,0.03505082576142804,logCPM_Welch_ttest,GSE173896,GSE227691
SSPN,2.286804889501558,7.634777384500566,0.00010063705167618176,0.03505082576142804,logCPM_Welch_ttest,GSE173896,GSE227691
BMP2K,2.577548624861411,10.211980164674877,0.00010872746484071314,0.03689764095299586,logCPM_Welch_ttest,GSE173896,GSE227691
RPL13A,-0.6844945546858767,-7.522096821430986,0.0001358317222593797,0.044622868821941,logCPM_Welch_ttest,GSE173896,GSE227691
GABARAPL2,-1.2724621753956376,-6.969217113155068,0.00014367058762731075,0.044622868821941,logCPM_Welch_ttest,GSE173896,GSE227691
RBM26,1.616709464787185,6.754812855912676,0.00014453900670696697,0.044622868821941,logCPM_Welch_ttest,GSE173896,GSE227691
CAPG,-0.8734937943809653,-6.97482003995166,0.00014559115232474305,0.044622868821941,logCPM_Welch_ttest,GSE173896,GSE227691
CALM2,-1.4151276650000524,-6.83282323688983,0.00014834954500683067,0.044622868821941,logCPM_Welch_ttest,GSE173896,GSE227691
AC009554.1,5.124090110908525,10.158551906303693,0.00015851836551875926,0.04582750876057627,logCPM_Welch_ttest,GSE173896,GSE227691
MICAL3,2.1978865597841812,8.392718586359198,0.0001626552502886768,0.04582750876057627,logCPM_Welch_ttest,GSE173896,GSE227691
PHF21A,1.5717766079038027,6.813261169476045,0.0001627421920473808,0.04582750876057627,logCPM_Welch_ttest,GSE173896,GSE227691
MYL6,-1.5291153600773715,-8.736671443074988,0.0001663985645603125,0.045880937540744494,logCPM_Welch_ttest,GSE173896,GSE227691
CARS2,2.0751539095902336,8.667002095044941,0.00017069809620323567,0.04603563485580884,logCPM_Welch_ttest,GSE173896,GSE227691
KIAA1211L,-2.5930510389624883,-8.048121171837956,0.0001739162631500145,0.04603563485580884,logCPM_Welch_ttest,GSE173896,GSE227691
RPL36A,-1.6287597482031,-7.293997179514264,0.00017856890172474879,0.04634038067307941,logCPM_Welch_ttest,GSE173896,GSE227691
SUB1,-1.3152533827507007,-7.227584185054275,0.00018362501978995194,0.04673609878692334,logCPM_Welch_ttest,GSE173896,GSE227691
MT-ATP8,3.2887246442692692,6.473951786584906,0.00019532357309205644,0.048775613016478626,logCPM_Welch_ttest,GSE173896,GSE227691
MCL1,-1.6982664432739556,-7.663411655394125,0.00020145865775015855,0.049376024728210156,logCPM_Welch_ttest,GSE173896,GSE227691
FLI1,1.7585069665661317,6.551846905913408,0.0002080493986115964,0.05006425073862688,logCPM_Welch_ttest,GSE173896,GSE227691
MTFP1,-3.1678363696884055,-6.448537875109603,0.00021870807576725778,0.051160190335103016,logCPM_Welch_ttest,GSE173896,GSE227691
PRDX5,-1.1111164926825365,-6.5494705241759075,0.00022033478270501485,0.051160190335103016,logCPM_Welch_ttest,GSE173896,GSE227691
MBNL1,1.4933546458194833,6.387278786722355,0.0002328710489180141,0.05313876435223994,logCPM_Welch_ttest,GSE173896,GSE227691
TRNAU1AP,1.675213856398348,6.977460872524827,0.0002556683064799848,0.05735203451292541,logCPM_Welch_ttest,GSE173896,GSE227691
TRDC,-3.0543492481006584,-6.384247433480137,0.0002657940589577985,0.05862973950510773,logCPM_Welch_ttest,GSE173896,GSE227691
UBR3,1.5183434876027828,8.966744001134849,0.00027929223831183353,0.060597258591100274,logCPM_Welch_ttest,GSE173896,GSE227691
ATF7IP,1.4288660103229684,8.158556596738038,0.00029642648327469026,0.06123188398561711,logCPM_Welch_ttest,GSE173896,GSE227691
FTH1,-1.9009921143128583,-7.415119925669783,0.00030102505392759016,0.06123188398561711,logCPM_Welch_ttest,GSE173896,GSE227691
RPL17,-2.4955878595673635,-6.122911564007631,0.0003043932234882722,0.06123188398561711,logCPM_Welch_ttest,GSE173896,GSE227691
COX7A2,-1.4486341732988643,-6.409104591862831,0.000304522259411921,0.06123188398561711,logCPM_Welch_ttest,GSE173896,GSE227691
PHLDA1,-2.370068068082526,-6.260365652550495,0.00030534978035895194,0.06123188398561711,logCPM_Welch_ttest,GSE173896,GSE227691
YME1L1,1.1108268582748835,6.660963125759224,0.0003232731897536826,0.06385851740880581,logCPM_Welch_ttest,GSE173896,GSE227691
NR3C1,-1.9884204780686172,-5.955449205587312,0.00034029856695751853,0.06493972539411393,logCPM_Welch_ttest,GSE173896,GSE227691
PHKB,1.448338881983826,7.411005142310113,0.00035370786013559424,0.06493972539411393,logCPM_Welch_ttest,GSE173896,GSE227691
MT2A,-5.988772354571147,-6.800603416549047,0.00035500185634690964,0.06493972539411393,logCPM_Welch_ttest,GSE173896,GSE227691
SELENOK,-1.5339137894653545,-7.793189328825081,0.0003571428326660986,0.06493972539411393,logCPM_Welch_ttest,GSE173896,GSE227691
PIP4K2A,1.0949730291178685,6.901856975765504,0.00035763698244259195,0.06493972539411393,logCPM_Welch_ttest,GSE173896,GSE227691
NDUFA11,-1.3860099690511634,-7.594913414829042,0.00035818662287648783,0.06493972539411393,logCPM_Welch_ttest,GSE173896,GSE227691
NOP2,-2.9551496278166685,-8.596863288584487,0.0003635967946687783,0.06502977807353082,logCPM_Welch_ttest,GSE173896,GSE227691
MARCH1,1.9152410353195197,5.905320357352091,0.0003805265198074357,0.0671502465286855,logCPM_Welch_ttest,GSE173896,GSE227691
TBC1D5,1.3282334412716494,6.438119947014745,0.00039784595130109164,0.06928277849302562,logCPM_Welch_ttest,GSE173896,GSE227691
NPPC,-3.649505031700693,-6.667542624698268,0.00041614005353886004,0.07152744946216641,logCPM_Welch_ttest,GSE173896,GSE227691
TP53BP2,1.7200911116177382,5.787822042577358,0.00042254602553112224,0.07169739292185132,logCPM_Welch_ttest,GSE173896,GSE227691
TMA7,-1.0795229897398233,-5.931551232755578,0.000451286240949219,0.07552589047760001,logCPM_Welch_ttest,GSE173896,GSE227691
N4BP2L1,-1.8420166112629586,-5.9272985697172444,0.0004565221940466944,0.07552589047760001,logCPM_Welch_ttest,GSE173896,GSE227691
WNK1,1.1739738021110906,5.67096811057834,0.0004708703237599074,0.07566661763730928,logCPM_Welch_ttest,GSE173896,GSE227691
CXCL8,-3.3373810715652192,-6.083164563416874,0.00047276399057018747,0.07566661763730928,logCPM_Welch_ttest,GSE173896,GSE227691
