gene,log2fc,statistic,pvalue,fdr,method,group1,group2
RAC1,8.443626598411807,125.77892364934813,2.3962756008405276e-08,3.151402004729614e-05,logCPM_Welch_ttest,GSE159354,GSE227691
COX5B,8.624514294353759,124.19166231797519,2.5211216037836915e-08,3.151402004729614e-05,logCPM_Welch_ttest,GSE159354,GSE227691
ARL6IP4,8.553337869913385,100.159062614344,5.9580163323325423e-08,4.9370461952778496e-05,logCPM_Welch_ttest,GSE159354,GSE227691
LRRFIP1,8.293124589909223,93.33788453061398,7.89927391244456e-08,4.9370461952778496e-05,logCPM_Welch_ttest,GSE159354,GSE227691
TMEM258,8.444538487866405,81.82041672271808,1.3374333305149362e-07,6.503068072666719e-05,logCPM_Welch_ttest,GSE159354,GSE227691
TSPO,8.0368313950435,71.57730020728593,2.2828905261855713e-07,6.503068072666719e-05,logCPM_Welch_ttest,GSE159354,GSE227691
NDUFA4,9.735059738469994,70.04049063617356,2.4898006059626546e-07,6.503068072666719e-05,logCPM_Welch_ttest,GSE159354,GSE227691
RHBDD2,9.036052832455802,68.41471794409132,2.7348578821095987e-07,6.503068072666719e-05,logCPM_Welch_ttest,GSE159354,GSE227691
HNRNPA0,8.414247429287688,67.42365641623468,2.899114843953362e-07,6.503068072666719e-05,logCPM_Welch_ttest,GSE159354,GSE227691
COX6A1,8.518340445047025,66.69501603110841,3.027799532099971e-07,6.503068072666719e-05,logCPM_Welch_ttest,GSE159354,GSE227691
HNRNPU,8.827998265558415,65.85299730741092,3.185530143612759e-07,6.503068072666719e-05,logCPM_Welch_ttest,GSE159354,GSE227691
RSRC2,8.490413502449362,64.7348357544353,3.4112100428717267e-07,6.503068072666719e-05,logCPM_Welch_ttest,GSE159354,GSE227691
MTDH,8.240016475216713,63.73701776114785,3.629709979261209e-07,6.503068072666719e-05,logCPM_Welch_ttest,GSE159354,GSE227691
CD83,9.052914184533,63.00020193987978,3.802369899873681e-07,6.503068072666719e-05,logCPM_Welch_ttest,GSE159354,GSE227691
UQCRQ,9.009736888394889,62.59444240112129,3.9018408436000315e-07,6.503068072666719e-05,logCPM_Welch_ttest,GSE159354,GSE227691
EIF5B,8.376952998053145,56.38384112348414,5.924100898445843e-07,9.256407653821629e-05,logCPM_Welch_ttest,GSE159354,GSE227691
BATF,9.320244227726857,54.24485048348913,6.914071526743123e-07,0.00010167752245210475,logCPM_Welch_ttest,GSE159354,GSE227691
MRPL18,8.401736063346611,51.63590281643991,8.418971358773035e-07,0.0001169301577607366,logCPM_Welch_ttest,GSE159354,GSE227691
CRIP1,9.388576687050486,49.94896596040842,9.613591117449164e-07,0.00012649461996643637,logCPM_Welch_ttest,GSE159354,GSE227691
CD9,9.156050296961286,48.21974183371183,1.1066429975109683e-06,0.00013833037468887103,logCPM_Welch_ttest,GSE159354,GSE227691
ELF1,8.726777122277351,47.624017596502725,1.1629783998387725e-06,0.00013844980950461575,logCPM_Welch_ttest,GSE159354,GSE227691
RBM39,9.734882674953976,46.78294502471793,1.248760937305624e-06,0.00014190465196654817,logCPM_Welch_ttest,GSE159354,GSE227691
CMPK1,8.102201928232358,45.83458884094631,1.3551924247394701e-06,0.0001433677762095681,logCPM_Welch_ttest,GSE159354,GSE227691
