gene,log2fc,statistic,pvalue,fdr,method,group1,group2
NDUFB11,7.587901498578992,69.74672719967565,5.02576213635147e-15,9.431345225077168e-11,logCPM_Welch_ttest,GSE132771,GSE171524
PRKG1,-6.866734846685513,-45.22981969768456,7.77710535588631e-14,7.297257955428125e-10,logCPM_Welch_ttest,GSE132771,GSE171524
SPIDR,-5.66689934759731,-47.354893589271434,8.349752035627857e-13,5.223048223353078e-09,logCPM_Welch_ttest,GSE132771,GSE171524
CACNA1C,-6.879784217542948,-34.46293508373382,1.7498213424069251e-12,8.209286827902089e-09,logCPM_Welch_ttest,GSE132771,GSE171524
SPDYE3,-4.839917334997123,-32.93825287580267,5.162731899713642e-12,1.5973190387165474e-08,logCPM_Welch_ttest,GSE132771,GSE171524
AC093535.1,-5.940151282283307,-55.86866158724742,5.215976923424772e-12,1.5973190387165474e-08,logCPM_Welch_ttest,GSE132771,GSE171524
AL356108.1,-5.296691939159661,-29.91019908613386,6.8882792404869215e-12,1.5973190387165474e-08,logCPM_Welch_ttest,GSE132771,GSE171524
DBI,7.438440673127151,78.7348076291274,7.369665091894672e-12,1.5973190387165474e-08,logCPM_Welch_ttest,GSE132771,GSE171524
ST3GAL3,-3.723584182666234,-30.563453565187654,7.660594345331412e-12,1.5973190387165474e-08,logCPM_Welch_ttest,GSE132771,GSE171524
AC114763.1,-4.948191430069333,-27.916937470849266,1.475421675485132e-11,2.7687763162153986e-08,logCPM_Welch_ttest,GSE132771,GSE171524
NDUFA2,6.706096055473719,38.657498253625654,1.96509147927572e-11,3.352446063644378e-08,logCPM_Welch_ttest,GSE132771,GSE171524
MAP3K5,-5.3603269200714525,-27.27726016682452,2.2606217367155205e-11,3.404722254255123e-08,logCPM_Welch_ttest,GSE132771,GSE171524
ANKHD1,-3.8259442464773157,-26.893108805564164,2.5150748473974792e-11,3.404722254255123e-08,logCPM_Welch_ttest,GSE132771,GSE171524
SLC25A5,7.233974806109337,30.257805606860252,2.540025128400923e-11,3.404722254255123e-08,logCPM_Welch_ttest,GSE132771,GSE171524
STX18-AS1,-5.780806379159204,-29.076421508683392,2.978671818921492e-11,3.501622996165174e-08,logCPM_Welch_ttest,GSE132771,GSE171524
CDKAL1,-5.6567212690008155,-49.39200873298719,2.985503993319982e-11,3.501622996165174e-08,logCPM_Welch_ttest,GSE132771,GSE171524
ASMTL-AS1,-5.675935274915933,-38.11441521788898,3.64267781869792e-11,3.826740807862093e-08,logCPM_Welch_ttest,GSE132771,GSE171524
LINC00894,-7.108854289782737,-27.22586894383555,3.670538982282728e-11,3.826740807862093e-08,logCPM_Welch_ttest,GSE132771,GSE171524
ASAP1,-4.247388337648313,-25.52100312673852,4.517236907824498e-11,4.2410950431076453e-08,logCPM_Welch_ttest,GSE132771,GSE171524
YAP1,-4.07963642797928,-27.115288181433566,4.586370873686443e-11,4.2410950431076453e-08,logCPM_Welch_ttest,GSE132771,GSE171524
STXBP5,-5.879255179836139,-25.49365999318062,4.873834580469797e-11,4.2410950431076453e-08,logCPM_Welch_ttest,GSE132771,GSE171524
METTL24,-5.87565961789386,-27.72337694861928,4.971975431544719e-11,4.2410950431076453e-08,logCPM_Welch_ttest,GSE132771,GSE171524
FOXJ3,-4.00656654621509,-36.24076807279829,5.500784556442027e-11,4.3726029591162224e-08,logCPM_Welch_ttest,GSE132771,GSE171524
LINC00922,-8.003680770213426,-26.484145656059123,5.592159811296459e-11,4.3726029591162224e-08,logCPM_Welch_ttest,GSE132771,GSE171524
COX6A1,7.9153342309999495,27.29196523906842,6.425649518974487e-11,4.643397369827476e-08,logCPM_Welch_ttest,GSE132771,GSE171524
