gene,log2fc,statistic,pvalue,fdr,method,group1,group2
ZHX2,8.773189887924133,286.94209752084856,9.756094668412278e-12,5.964876280267267e-08,logCPM_Welch_ttest,GSE173896,GSE227691
AL049651.1,8.72884583200252,171.17002651489986,1.2912385098292215e-10,3.94731612454793e-07,logCPM_Welch_ttest,GSE173896,GSE227691
YPEL5,8.980666916718658,150.0356992805198,2.495307900681605e-10,5.085437501589111e-07,logCPM_Welch_ttest,GSE173896,GSE227691
ZNF292,7.959105779458724,125.34870269214251,6.129267028216329e-10,9.368584652628659e-07,logCPM_Welch_ttest,GSE173896,GSE227691
CDC42,8.69268701674738,118.79196923929867,8.017496297944204e-10,9.803794473126173e-07,logCPM_Welch_ttest,GSE173896,GSE227691
ATG7,8.955171382949732,104.08511668884763,1.552141402091989e-09,1.5073197264590037e-06,logCPM_Welch_ttest,GSE173896,GSE227691
CPD,9.970777298975733,99.89919507397501,1.9055825839384553e-09,1.5073197264590037e-06,logCPM_Welch_ttest,GSE173896,GSE227691
MAP2K4,8.416325332422256,99.21384130227943,1.9722861975256836e-09,1.5073197264590037e-06,logCPM_Welch_ttest,GSE173896,GSE227691
MYH9,8.517968576846366,90.07441186514832,3.1968579739601833e-09,2.1717321836436183e-06,logCPM_Welch_ttest,GSE173896,GSE227691
BEST1,6.728420106023858,86.9556441530542,3.812411609436768e-09,2.33090845800964e-06,logCPM_Welch_ttest,GSE173896,GSE227691
CMTM6,8.53182360425373,81.17678738101708,5.375745413668789e-09,2.6158807241413628e-06,logCPM_Welch_ttest,GSE173896,GSE227691
NFE2L2,10.418730330209927,80.09431557148785,5.748708908326218e-09,2.6158807241413628e-06,logCPM_Welch_ttest,GSE173896,GSE227691
MXD1,10.675393821689397,79.08703103940744,6.123981214793629e-09,2.6158807241413628e-06,logCPM_Welch_ttest,GSE173896,GSE227691
CMIP,8.743881322934504,78.97895527618543,6.165967794227599e-09,2.6158807241413628e-06,logCPM_Welch_ttest,GSE173896,GSE227691
ARIH1,10.262742902002685,78.34882269832488,6.417764288864972e-09,2.6158807241413628e-06,logCPM_Welch_ttest,GSE173896,GSE227691
CPQ,9.776761798215958,76.87254818816831,7.057654266951843e-09,2.696906136758973e-06,logCPM_Welch_ttest,GSE173896,GSE227691
RPS6KA5,8.041493004789384,73.88971193396594,8.600666298456226e-09,3.0932043381624335e-06,logCPM_Welch_ttest,GSE173896,GSE227691
PTPRE,8.928020098037946,72.08311420503608,9.732872677055344e-09,3.2753133632381443e-06,logCPM_Welch_ttest,GSE173896,GSE227691
RALY,7.956712786615349,70.27180881856575,1.1052394270854865e-08,3.2753133632381443e-06,logCPM_Welch_ttest,GSE173896,GSE227691
TRMO,8.365972022876504,70.18723310994059,1.1119087576903776e-08,3.2753133632381443e-06,logCPM_Welch_ttest,GSE173896,GSE227691
TNRC6B,9.995561650040257,70.0231628603598,1.124984962839402e-08,3.2753133632381443e-06,logCPM_Welch_ttest,GSE173896,GSE227691
COP1,9.781919740792409,68.7502231226042,1.2329610095347334e-08,3.4265107328615275e-06,logCPM_Welch_ttest,GSE173896,GSE227691
RAB1A,9.827934084243788,67.52259516047346,1.3490815098320198e-08,3.439279253670649e-06,logCPM_Welch_ttest,GSE173896,GSE227691
FPR1,9.785632071499096,67.51278986097242,1.3500605509992735e-08,3.439279253670649e-06,logCPM_Welch_ttest,GSE173896,GSE227691
TMCC3,9.565300452982392,65.61861901261716,1.5562822618679646e-08,3.6092532675338585e-06,logCPM_Welch_ttest,GSE173896,GSE227691
ERGIC1,8.411045557935404,65.24372366865836,1.601465764893302e-08,3.6092532675338585e-06,logCPM_Welch_ttest,GSE173896,GSE227691
