gene,log2fc,statistic,pvalue,fdr,method,group1,group2
RHOG,8.034427681567886,201.98460073170142,2.675947844670492e-07,0.0002941403797372164,logCPM_Welch_ttest,GSE132771,GSE171524
PRR13,8.753304286144255,171.29862097209684,4.386881129563257e-07,0.0002941403797372164,logCPM_Welch_ttest,GSE132771,GSE171524
PARK7,8.229088768754695,97.85699222780596,2.3525123521013566e-06,0.0008627997251494339,logCPM_Welch_ttest,GSE132771,GSE171524
C9orf16,9.11201683549313,94.96977408772983,2.5736009698715404e-06,0.0008627997251494339,logCPM_Welch_ttest,GSE132771,GSE171524
NENF,8.37487738746541,78.06050759092442,4.6336167688169775e-06,0.0012427360173967133,logCPM_Welch_ttest,GSE132771,GSE171524
ISCU,7.72453323516031,65.89951065499193,7.69953110077367e-06,0.0013027572633165408,logCPM_Welch_ttest,GSE132771,GSE171524
COX7A2,8.824616648710258,65.44573023357889,7.860712029673696e-06,0.0013027572633165408,logCPM_Welch_ttest,GSE132771,GSE171524
SLC25A5,9.106368851043456,64.17481485279407,8.336761470257149e-06,0.0013027572633165408,logCPM_Welch_ttest,GSE132771,GSE171524
ACP5,9.800700471604365,59.917570884486615,1.024171843899703e-05,0.0013027572633165408,logCPM_Welch_ttest,GSE132771,GSE171524
ISG15,7.185206664357871,56.90404765750578,1.195524943158778e-05,0.0013027572633165408,logCPM_Welch_ttest,GSE132771,GSE171524
ATP5PF,8.06669628332045,56.82158745966682,1.2007335084163606e-05,0.0013027572633165408,logCPM_Welch_ttest,GSE132771,GSE171524
ETFB,7.330497082048467,55.133870996525296,1.3143202174953344e-05,0.0013027572633165408,logCPM_Welch_ttest,GSE132771,GSE171524
COA6,7.185216452011778,54.50805337677102,1.3600746969747629e-05,0.0013027572633165408,logCPM_Welch_ttest,GSE132771,GSE171524
SNF8,7.185216452011778,54.50805337677102,1.3600746969747629e-05,0.0013027572633165408,logCPM_Welch_ttest,GSE132771,GSE171524
GCA,8.132259126658191,44.32635968179464,2.5274897048244756e-05,0.0021586413090676354,logCPM_Welch_ttest,GSE132771,GSE171524
TMED2,8.091563267362279,41.81767610179186,3.009523397631017e-05,0.0021586413090676354,logCPM_Welch_ttest,GSE132771,GSE171524
RPLP1,1.9549425858152762,16.068075958385243,3.27482723911294e-05,0.0021586413090676354,logCPM_Welch_ttest,GSE132771,GSE171524
ERH,8.56516496732775,40.63481062413106,3.279668630000142e-05,0.0021586413090676354,logCPM_Welch_ttest,GSE132771,GSE171524
ATP5F1C,7.579169196337496,39.13739940756672,3.670076212582967e-05,0.0021586413090676354,logCPM_Welch_ttest,GSE132771,GSE171524
PSMB6,7.579169196337496,39.13739940756672,3.670076212582967e-05,0.0021586413090676354,logCPM_Welch_ttest,GSE132771,GSE171524
ARL4A,8.659565997667599,38.64263778236444,3.8126279571659504e-05,0.0021586413090676354,logCPM_Welch_ttest,GSE132771,GSE171524
COX5A,8.607560833830098,38.40167160929596,3.884733011598103e-05,0.0021586413090676354,logCPM_Welch_ttest,GSE132771,GSE171524
SUMO1,8.278042976843748,38.37201467127349,3.8937325942629044e-05,0.0021586413090676354,logCPM_Welch_ttest,GSE132771,GSE171524
SMDT1,8.028926428263318,38.28772851556578,3.9194619385835316e-05,0.0021586413090676354,logCPM_Welch_ttest,GSE132771,GSE171524
LAMTOR1,8.693497733138313,37.481479074921296,4.177426433777981e-05,0.0021586413090676354,logCPM_Welch_ttest,GSE132771,GSE171524
CYB5A,8.174636825143008,37.45796455789351,4.18528516299467e-05,0.0021586413090676354,logCPM_Welch_ttest,GSE132771,GSE171524
NDUFB7,8.119260312177957,36.496752159947434,4.524135229488756e-05,0.002166737622408722,logCPM_Welch_ttest,GSE132771,GSE171524
SNHG8,8.119260312177957,36.496752159947434,4.524135229488756e-05,0.002166737622408722,logCPM_Welch_ttest,GSE132771,GSE171524
FABP4,12.021556665358817,35.919714313358504,4.7452781948489045e-05,0.0021756826424402026,logCPM_Welch_ttest,GSE132771,GSE171524
SNRPG,7.433775499396022,35.61644201860769,4.8672989763762917e-05,0.0021756826424402026,logCPM_Welch_ttest,GSE132771,GSE171524
HNRNPDL,8.191405829031291,34.579659504874236,5.317440524896229e-05,0.0022526480834221922,logCPM_Welch_ttest,GSE132771,GSE171524
PSMA1,7.5792185640672205,34.454576281245856,5.3754465823646645e-05,0.0022526480834221922,logCPM_Welch_ttest,GSE132771,GSE171524
SUMO2,9.35431480953373,33.97877056203336,5.603962938873276e-05,0.002277246757887595,logCPM_Welch_ttest,GSE132771,GSE171524
AVPI1,7.579252605123621,33.365105423113114,5.9182129415049244e-05,0.0023342128101641484,logCPM_Welch_ttest,GSE132771,GSE171524
NDUFB5,7.724750211448485,32.97784929899294,6.128695037686834e-05,0.002348165727296584,logCPM_Welch_ttest,GSE132771,GSE171524
JTB,7.682501894732368,31.85312351220916,6.79948286237547e-05,0.002430674861562308,logCPM_Welch_ttest,GSE132771,GSE171524
DSTN,8.187759911756501,31.768330152647636,6.853944509575882e-05,0.002430674861562308,logCPM_Welch_ttest,GSE132771,GSE171524
HMGN2,8.856992678098115,31.55784172007361,6.991674307389537e-05,0.002430674861562308,logCPM_Welch_ttest,GSE132771,GSE171524
TXN,9.37361373382015,31.321633631162108,7.150660423680735e-05,0.002430674861562308,logCPM_Welch_ttest,GSE132771,GSE171524
CACYBP,7.368485603492392,30.811239361067226,7.511017712914114e-05,0.002430674861562308,logCPM_Welch_ttest,GSE132771,GSE171524
NDUFA3,7.9736545522659,30.61621361850705,7.65509995785699e-05,0.002430674861562308,logCPM_Welch_ttest,GSE132771,GSE171524
MINOS1,8.326109148261882,30.585671303099485,7.67799686685646e-05,0.002430674861562308,logCPM_Welch_ttest,GSE132771,GSE171524
COX17,7.8427134909208105,30.398712266550973,7.820164040998456e-05,0.002430674861562308,logCPM_Welch_ttest,GSE132771,GSE171524
RAB13,8.960550722393794,30.199710810057084,7.975368673284231e-05,0.002430674861562308,logCPM_Welch_ttest,GSE132771,GSE171524
RPS27L,9.299896967287088,29.420579502892473,8.624099233304836e-05,0.00255736630631388,logCPM_Welch_ttest,GSE132771,GSE171524
SNRPE,7.737911460563231,29.03220058215515,8.973855183761438e-05,0.00255736630631388,logCPM_Welch_ttest,GSE132771,GSE171524
COX5B,9.373662031313676,28.75867048170426,9.231604211419839e-05,0.00255736630631388,logCPM_Welch_ttest,GSE132771,GSE171524
MRPL54,7.6825853035184934,28.578902603372807,9.40639410459767e-05,0.00255736630631388,logCPM_Welch_ttest,GSE132771,GSE171524
ATP5F1D,8.735946594967137,28.560351983413675,9.424681239417554e-05,0.00255736630631388,logCPM_Welch_ttest,GSE132771,GSE171524
RB1,-10.709600535305258,-102.40044809836336,9.535295698411183e-05,0.00255736630631388,logCPM_Welch_ttest,GSE132771,GSE171524
LAMTOR5,8.326175786362008,28.008445590930698,9.991122920221985e-05,0.0025625135608916016,logCPM_Welch_ttest,GSE132771,GSE171524
NUCB1,8.053880327638877,27.95057799080958,0.00010053116439059066,0.0025625135608916016,logCPM_Welch_ttest,GSE132771,GSE171524
SMS,7.227783783873663,27.881532862441944,0.00010127756802927284,0.0025625135608916016,logCPM_Welch_ttest,GSE132771,GSE171524
UBB,11.219751013128308,27.58908034151248,0.00010452226800406305,0.002595636322100899,logCPM_Welch_ttest,GSE132771,GSE171524
TREM1,8.718788509259898,27.171119060096856,0.00010940432225227045,0.002618130136189112,logCPM_Welch_ttest,GSE132771,GSE171524
TMEM258,8.091780526979084,27.103468600621525,0.00011022291455401323,0.002618130136189112,logCPM_Welch_ttest,GSE132771,GSE171524
C19orf53,7.818048913832489,27.01667219449587,0.00011128517357403384,0.002618130136189112,logCPM_Welch_ttest,GSE132771,GSE171524
RAN,7.4762109955477145,26.688769174893334,0.0001154235639376196,0.0026686724006956533,logCPM_Welch_ttest,GSE132771,GSE171524
NDUFS5,8.948633812040132,26.286197899324367,0.00012078953862340892,0.0026825343976477727,logCPM_Welch_ttest,GSE132771,GSE171524
LAMTOR2,9.178816963149902,26.184494164122057,0.00012219756079401368,0.0026825343976477727,logCPM_Welch_ttest,GSE132771,GSE171524
NDUFB4,7.762722756787753,26.17964717763435,0.000122265208783301,0.0026825343976477727,logCPM_Welch_ttest,GSE132771,GSE171524
POMP,9.50873080518205,26.054819980128535,0.0001240247074229395,0.0026825343976477727,logCPM_Welch_ttest,GSE132771,GSE171524
ATP6V0E1,8.816323987534485,25.371334365981802,0.00013428184278774927,0.0028407952846227374,logCPM_Welch_ttest,GSE132771,GSE171524
CIB1,7.908301158947931,25.28988343880111,0.00013557859673068992,0.0028407952846227374,logCPM_Welch_ttest,GSE132771,GSE171524
PYCARD,9.356135602788022,24.584371421271904,0.00014754096502835656,0.0030438836015850173,logCPM_Welch_ttest,GSE132771,GSE171524
ATP6V0D1,7.76281107889147,24.18425216064057,0.00015495516703848303,0.0031072181212596557,logCPM_Welch_ttest,GSE132771,GSE171524
DYNLL1,9.23137318117102,24.169128153896562,0.000155245051546903,0.0031072181212596557,logCPM_Welch_ttest,GSE132771,GSE171524
OASL,6.937759971489113,23.707812667987575,0.00016444535163491692,0.0032105486035131398,logCPM_Welch_ttest,GSE132771,GSE171524
GLRX,9.564988699978676,23.509275615015586,0.0001686286554823405,0.0032105486035131398,logCPM_Welch_ttest,GSE132771,GSE171524
SF3B5,7.931593755480021,23.36128633930766,0.0001718395364428188,0.0032105486035131398,logCPM_Welch_ttest,GSE132771,GSE171524
SSB,7.3310423697377445,23.348656272993967,0.00017211732620453328,0.0032105486035131398,logCPM_Welch_ttest,GSE132771,GSE171524
ALDH2,9.45981237874084,23.336808743858192,0.0001723784485107726,0.0032105486035131398,logCPM_Welch_ttest,GSE132771,GSE171524
MCEMP1,9.270967570990628,23.2254658150495,0.00017485844874311375,0.0032121257501988433,logCPM_Welch_ttest,GSE132771,GSE171524
APEX1,8.077187711248001,22.892755022971635,0.00018255819248533692,0.0033082504881464434,logCPM_Welch_ttest,GSE132771,GSE171524
GABARAPL2,7.659554852239798,22.714914378513672,0.00018685966026348144,0.0033410507255110483,logCPM_Welch_ttest,GSE132771,GSE171524
RGCC,8.939532752943741,21.923461499986963,0.0002077303807045717,0.003652781354906144,logCPM_Welch_ttest,GSE132771,GSE171524
UGP2,7.870637767379374,21.85279242385519,0.0002097421061355504,0.003652781354906144,logCPM_Welch_ttest,GSE132771,GSE171524
MRPS15,7.331150523324936,21.590865909058998,0.0002174286777310265,0.0037310557228702893,logCPM_Welch_ttest,GSE132771,GSE171524
GNG5,8.040654275486157,21.20105967222765,0.0002295781759583183,0.0037310557228702893,logCPM_Welch_ttest,GSE132771,GSE171524
SLC39A11,-10.464113437890129,-65.91289554091036,0.0002300961248551981,0.0037310557228702893,logCPM_Welch_ttest,GSE132771,GSE171524
SOD1,8.46213320177628,21.16684931413039,0.0002306871851356282,0.0037310557228702893,logCPM_Welch_ttest,GSE132771,GSE171524
EIF3L,8.186346762496123,21.124312085771827,0.00023207610101177927,0.0037310557228702893,logCPM_Welch_ttest,GSE132771,GSE171524
SKP1,8.677758961171376,21.12333184054824,0.00023210823884444517,0.0037310557228702893,logCPM_Welch_ttest,GSE132771,GSE171524
VDAC2,8.029395607355786,21.07462334818943,0.00023371266273012996,0.0037310557228702893,logCPM_Welch_ttest,GSE132771,GSE171524
ALOX5AP,10.436048097204534,20.976842552137068,0.00023697834779519257,0.0037386819340394497,logCPM_Welch_ttest,GSE132771,GSE171524
ATP6V1G1,8.10615362140956,20.838822766542567,0.00024169215923847335,0.0037687114597534043,logCPM_Welch_ttest,GSE132771,GSE171524
MAP1LC3B,7.988695884514083,20.520203848833077,0.00025306096509199015,0.0038727985882960675,logCPM_Welch_ttest,GSE132771,GSE171524
HSPD1,8.358769360725404,20.46499158881317,0.0002551029809713947,0.0038727985882960675,logCPM_Welch_ttest,GSE132771,GSE171524
CHCHD10,8.673513252089007,20.413388997341556,0.00025703137536043995,0.0038727985882960675,logCPM_Welch_ttest,GSE132771,GSE171524
BANF1,7.579642652556551,20.33086943901017,0.00026015567757417665,0.003876319595855232,logCPM_Welch_ttest,GSE132771,GSE171524
SERPINB1,8.180791929118573,19.88235076985296,0.0002780523615824921,0.004097452932770571,logCPM_Welch_ttest,GSE132771,GSE171524
UXT,8.011846752994922,19.748226052363496,0.0002837213337660215,0.004135546832393857,logCPM_Welch_ttest,GSE132771,GSE171524
COPS9,7.974071989141303,19.221536882943287,0.0003075323971302043,0.004434418758619397,logCPM_Welch_ttest,GSE132771,GSE171524
TXNDC17,7.041043302154262,18.845987377548578,0.0003261591013994019,0.004567126754065359,logCPM_Welch_ttest,GSE132771,GSE171524
CYP27A1,8.03519041187646,18.834718249740295,0.00032674095820294636,0.004567126754065359,logCPM_Welch_ttest,GSE132771,GSE171524
LSM7,7.659989627129475,18.83061534715247,0.0003269531457049027,0.004567126754065359,logCPM_Welch_ttest,GSE132771,GSE171524
AC026369.3,8.180903301403633,18.464211151068753,0.00034666618468090195,0.0047925706562586545,logCPM_Welch_ttest,GSE132771,GSE171524
RWDD1,7.974180142728495,18.353821913431254,0.00035291436998516627,0.004821442350497536,logCPM_Welch_ttest,GSE132771,GSE171524
TPI1,8.947765587521097,18.301203973620403,0.0003559454084259926,0.004821442350497536,logCPM_Welch_ttest,GSE132771,GSE171524
ATP5PD,8.115423766974688,18.191450899660815,0.0003623801027547958,0.004859517177941811,logCPM_Welch_ttest,GSE132771,GSE171524
NBDY,7.931907081211312,17.89330028202449,0.0003806603302877018,0.005054113890255526,logCPM_Welch_ttest,GSE132771,GSE171524
POLR2K,7.266061627604824,17.665972962055893,0.0003954311923028773,0.005197345672667883,logCPM_Welch_ttest,GSE132771,GSE171524
VAMP3,7.186397553323168,17.60978045750774,0.0003991995557679284,0.005197345672667883,logCPM_Welch_ttest,GSE132771,GSE171524
HSBP1,7.041364531515512,17.190970129907786,0.00042884896993093224,0.005451763429761391,logCPM_Welch_ttest,GSE132771,GSE171524
TRAPPC1,7.041364531515512,17.190970129907786,0.00042884896993093224,0.005451763429761391,logCPM_Welch_ttest,GSE132771,GSE171524
C6orf48,8.195694389329118,17.162930120095467,0.000430937303172787,0.005451763429761391,logCPM_Welch_ttest,GSE132771,GSE171524
UQCRQ,8.435811935362025,16.86786206839174,0.000453756400273285,0.005644450218983295,logCPM_Welch_ttest,GSE132771,GSE171524
HLA-DMB,8.39901739542379,16.764073904871996,0.0004621645303772699,0.005644450218983295,logCPM_Welch_ttest,GSE132771,GSE171524
AC020656.1,-3.7856221235267995,-8.531991551911387,0.000471552741573058,0.005644450218983295,logCPM_Welch_ttest,GSE132771,GSE171524
ESD,7.121350352330977,16.608319674854634,0.00047517594301547185,0.005644450218983295,logCPM_Welch_ttest,GSE132771,GSE171524
MRPL57,7.121350352330977,16.608319674854634,0.00047517594301547185,0.005644450218983295,logCPM_Welch_ttest,GSE132771,GSE171524
PSMB7,7.121350352330977,16.608319674854634,0.00047517594301547185,0.005644450218983295,logCPM_Welch_ttest,GSE132771,GSE171524
GSN,8.230004584060625,16.6029604019505,0.00047563227050343945,0.005644450218983295,logCPM_Welch_ttest,GSE132771,GSE171524
CDC37,7.18670955937436,16.322514589725447,0.0005003480026463478,0.00585015675583495,logCPM_Welch_ttest,GSE132771,GSE171524
RAD23A,7.538249719026467,16.307802373578596,0.0005016912952431165,0.00585015675583495,logCPM_Welch_ttest,GSE132771,GSE171524
ETHE1,7.331550358411773,16.2252519441401,0.0005093182034136942,0.005887894058429,logCPM_Welch_ttest,GSE132771,GSE171524
SPCS1,6.745950877372436,16.048448905258926,0.0005261798249309071,0.006030830301131166,logCPM_Welch_ttest,GSE132771,GSE171524
CSNK2B,7.870987563449491,15.996228595903201,0.0005313018298102543,0.0060379301167419585,logCPM_Welch_ttest,GSE132771,GSE171524
NOP10,9.055579340252576,15.813424909852255,0.0005497633477646505,0.006195232347499129,logCPM_Welch_ttest,GSE132771,GSE171524
STMN1,7.580271840430527,15.646386623348215,0.0005673861629787055,0.0063405403712870345,logCPM_Welch_ttest,GSE132771,GSE171524
GADD45B,7.744933981252719,15.349422815156707,0.0006006177498783167,0.006656433079229939,logCPM_Welch_ttest,GSE132771,GSE171524
SELENOW,7.843434237305821,15.161869691220183,0.000622949476163084,0.006847338094546686,logCPM_Welch_ttest,GSE132771,GSE171524
