gene,log2fc,statistic,pvalue,fdr,method,group1,group2
TRAPPC6A,-3.8426860847266595,-302.5561799942433,7.485535772276418e-12,8.642768580062094e-08,logCPM_Welch_ttest,GSE171524,GSE173896
EIF4G2,-7.917296860723076,-270.49164240542643,1.3106025597182643e-11,8.642768580062094e-08,logCPM_Welch_ttest,GSE171524,GSE173896
VIM,-10.779253623798935,-191.51634323293538,7.364576922860553e-11,2.1301527118521753e-07,logCPM_Welch_ttest,GSE171524,GSE173896
HADHA,-6.1399337402896945,-190.2501258381516,7.612907435353559e-11,2.1301527118521753e-07,logCPM_Welch_ttest,GSE171524,GSE173896
NRCAM,-8.477860157042599,-188.01853896459968,8.075489847039864e-11,2.1301527118521753e-07,logCPM_Welch_ttest,GSE171524,GSE173896
PSMB5,-6.126937962364298,-172.5337918723584,1.2410141238757987e-10,2.52980991454381e-07,logCPM_Welch_ttest,GSE171524,GSE173896
CD81,-9.514282588016984,-169.83754334504025,1.3426847677463545e-10,2.52980991454381e-07,logCPM_Welch_ttest,GSE171524,GSE173896
HSD17B12,-7.628798113003861,-156.6229800432032,2.0129675738246947e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
FOXJ3,-7.225268620102335,-152.0877088205259,2.3314823271609866e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
PPP6R3,-7.870165003647611,-150.92074262508498,2.423008426951369e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
RB1CC1,-7.366268916964167,-147.871303308715,2.683314502807734e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
REEP5,-7.064517225323967,-145.40841563193672,2.9183414331176735e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
LAMTOR4,-6.71341600548146,-144.78862654129574,2.9813274802831144e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
TRIP12,-7.434970763889911,-143.7176105165468,3.094059535257257e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
KAZN,-7.012326878005134,-140.16075568854453,3.506992826101032e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
GBF1,-6.645852257893311,-137.08004083660748,3.919089128155786e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
PSMD11,-5.889144132319093,-137.0140600631608,3.928532486864167e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
ROCK1,-8.573557653996483,-134.66393676444454,4.2834210887393415e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
PTGES3,-7.507930657837218,-132.98825800966657,4.560099418241942e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
SEC62,-7.6819643933807455,-132.96829189923764,4.56352326910873e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
LAMTOR5,-6.2292688334475805,-131.17378002606685,4.884254686205093e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
NOSIP,-5.297010580435415,-130.28776928323785,5.05256069391499e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
UBE3A,-7.329401461112948,-129.45683874591583,5.216764884536336e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
UBE2D2,-7.3928109066261,-129.28125409203273,5.252278131355192e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
C19orf70,-6.085315307542807,-127.48620398552991,5.63250590167806e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
SEPT7,-9.543861804079691,-127.04061858783669,5.731952653592844e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
ARPC5,-7.309122630311179,-126.89407731931178,5.765117538529142e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
ADNP,-6.974845850031983,-125.78246504366896,6.024337444034764e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
VPS29,-6.733947077960923,-125.56809152795711,6.075923898981452e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
TMEM50A,-7.16749693651832,-124.95832915559915,6.22558059404464e-10,2.7369727484951585e-07,logCPM_Welch_ttest,GSE171524,GSE173896
HNRNPDL,-8.069719971123265,-124.07800358569514,6.449524245900327e-10,2.7439604928767556e-07,logCPM_Welch_ttest,GSE171524,GSE173896
ATP5MPL,-6.6243751676103555,-123.20618477851998,6.680897782710174e-10,2.7535737767551403e-07,logCPM_Welch_ttest,GSE171524,GSE173896
SF3B1,-7.650968499539787,-121.6762607616738,7.111485758817811e-10,2.755046483974358e-07,logCPM_Welch_ttest,GSE171524,GSE173896
PRMT1,-6.368975980920465,-120.85745359971519,7.355600765283038e-10,2.755046483974358e-07,logCPM_Welch_ttest,GSE171524,GSE173896
STAG2,-7.437462768088654,-120.42053489976365,7.489973352621834e-10,2.755046483974358e-07,logCPM_Welch_ttest,GSE171524,GSE173896
HNRNPA2B1,-8.963534918741262,-119.37574613701442,7.823424533522258e-10,2.755046483974358e-07,logCPM_Welch_ttest,GSE171524,GSE173896
BOD1L1,-7.159855526397062,-119.09922457881474,7.914640734619436e-10,2.755046483974358e-07,logCPM_Welch_ttest,GSE171524,GSE173896
PSMB6,-6.463338610043276,-118.90620674759309,7.979068362162726e-10,2.755046483974358e-07,logCPM_Welch_ttest,GSE171524,GSE173896
DNAJC19,-5.621298976062519,-118.40402833892765,8.149662475405403e-10,2.755046483974358e-07,logCPM_Welch_ttest,GSE171524,GSE173896
TMEM263,-6.525156916489265,-117.81438648867504,8.355588699596203e-10,2.755046483974358e-07,logCPM_Welch_ttest,GSE171524,GSE173896
HNRNPC,-7.922385471358093,-117.0152868306556,8.644723037646863e-10,2.7649151928909066e-07,logCPM_Welch_ttest,GSE171524,GSE173896
PRPF38A,-4.883115178697899,-116.03514399801607,9.015931436135944e-10,2.7649151928909066e-07,logCPM_Welch_ttest,GSE171524,GSE173896
CAPZB,-7.713234255162305,-115.85748017882935,9.085249834544184e-10,2.7649151928909066e-07,logCPM_Welch_ttest,GSE171524,GSE173896
SRI,-6.088927263544949,-115.50652201051298,9.224070701887929e-10,2.7649151928909066e-07,logCPM_Welch_ttest,GSE171524,GSE173896
