gene,log2fc,statistic,pvalue,fdr,method,group1,group2
MRPL53,3.8533164841119385,8.029705308977103,2.3986066832414122e-05,0.1443531163258102,logCPM_Welch_ttest,GSE159354,GSE173896
THBS1,5.093233434830933,8.019505718951846,2.4159517376704633e-05,0.1443531163258102,logCPM_Welch_ttest,GSE159354,GSE173896
AC106028.4,3.6666137420282894,7.863838324205402,5.4220125227174576e-05,0.14809756444547897,logCPM_Welch_ttest,GSE159354,GSE173896
MT1X,7.35046024881567,7.0829835782254165,6.904872852370144e-05,0.14809756444547897,logCPM_Welch_ttest,GSE159354,GSE173896
CXCL2,4.947451828552528,7.000718109470047,7.028210667188374e-05,0.14809756444547897,logCPM_Welch_ttest,GSE159354,GSE173896
EEF1G,4.459289959737839,7.225582328713624,8.410708824841114e-05,0.14809756444547897,logCPM_Welch_ttest,GSE159354,GSE173896
NRROS,2.9807211036059993,7.434551033903013,8.675171139065714e-05,0.14809756444547897,logCPM_Welch_ttest,GSE159354,GSE173896
ZCCHC7,-6.0823153069408455,-6.709570647882508,0.0001191195735200902,0.17793486294563474,logCPM_Welch_ttest,GSE159354,GSE173896
ALDOA,3.5600486280316512,6.559350096314248,0.00014183791529791615,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
TNFAIP2,4.000127717514214,6.06990365562434,0.00020639127273180732,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
SLC2A8,2.477607784676735,6.105199997642608,0.00021013831884642996,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
IGHGP,-4.738382231443706,-7.8346442521039235,0.00022832370866109435,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
RFX3,-6.486639194604687,-6.869972338552398,0.00022864876753386066,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
FNDC3B,-4.020809347272553,-6.999887221647709,0.0002474821334949567,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
COCH,3.574141127826051,6.381147588115313,0.00025846322275035517,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
MAFK,2.618450410295412,5.703609744226779,0.00031565773862993044,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
GABARAP,3.993154888983476,5.634956561419589,0.00032325612739633714,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
OLR1,3.4545811351173596,6.382102620574698,0.0003373066407919943,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
THAP2,4.107453435655794,5.371886744093598,0.0005026342520776778,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
APOE,3.252409832821558,5.92330090981359,0.0005289862567361743,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
MT1E,5.865556987299557,7.059852088792877,0.0005351688465581335,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
HSPA6,7.603709970734116,5.176196160860006,0.0005917477807020878,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
AC004687.1,2.8228512230936618,5.360970162365879,0.0006237436955888269,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
ELMO1,-5.150730245048975,-5.182125593556566,0.0006403771162212953,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
COX16,3.1396491667909956,5.093108159519015,0.0006838987424339602,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
HIST2H2AA3,3.9704383391125226,9.471994970235643,0.000693081851681551,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
SPHK1,3.4917709804357253,7.828316917158507,0.000699893616248254,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
CAMK1D,-5.913934331368129,-5.253807371067414,0.0007228591415572427,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
CDKAL1,-5.265352042920378,-5.008424306966969,0.000765923027351729,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
IFITM1,3.771066950139024,6.0397862881873055,0.0008188218405614452,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
CHST2,3.64073001915076,5.308841109826021,0.0008279356361147261,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
NINJ1,3.648280452166658,6.166867611724585,0.0008285596384197224,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
FOLR2,3.040522945008991,7.074297115129074,0.0008916343523383015,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
AC015912.3,3.372708501331157,4.8918660845960655,0.0009093107920806364,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
PHLDA2,3.1450630169937233,5.290085882524749,0.0009103846310319705,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
CXCL8,3.8689420260622507,4.943630494827473,0.0009185524049276688,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
TBC1D22A,-5.248632462716926,-4.859870469691898,0.0009233338681334981,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
CCRL2,2.756591704548812,4.775046184581164,0.0010805657195911474,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
SARNP,2.590115096276625,4.967623799826614,0.001101717234709314,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
RTL8C,2.630748181956837,4.995687996469744,0.0011494809565625748,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
SLC30A1,2.260571930775832,4.6414040556013845,0.001237267028858659,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
AIF1,3.742405569445896,4.716509413077138,0.001251809446776053,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
COQ10A,2.4847395769923937,4.950565164117285,0.0012859368212271053,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
SIPA1L1,-5.172004887884929,-4.622723938188346,0.0013230974277186468,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
MT2A,6.669837371891981,5.7241229502722,0.0013236159121889155,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
SCFD2,-5.7719226856240216,-5.541551786836903,0.0013482528273140529,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
AC012615.1,2.982743975122142,6.727869149451519,0.001351799388973911,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
CBX6,3.081239111121987,4.856750322506159,0.001404371375085884,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
SERPINA1,2.7276870841048884,4.621770447915862,0.0014057049040719974,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
BOLA2B,3.6838996046514714,4.558896195520427,0.0014317890032796046,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
MTFP1,2.8378928311723133,5.109939073485241,0.0014554231311130943,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
STAG1,-4.749036437652977,-4.6522229076720985,0.0014957699395964081,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
CCDC91,-5.443609935476058,-4.5617374615184385,0.0015142730634638113,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
ANKRD40,2.371667181535204,4.869362660839537,0.0015220269308598143,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
RASA1,-5.325918640881388,-4.525069551000378,0.0015333043704926416,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
NDUFA7,3.0535465645424966,4.5535749847695195,0.0017059685373136365,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
RAP2C,2.9692789598738694,4.746387453388811,0.0017828978059876432,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
WWOX,-5.210824227049963,-4.54084603897473,0.0017856674638592218,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
XRN1,-3.845335247843105,-5.347563599829347,0.0018132507598424357,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
OSBPL10,-5.174162741877263,-4.366138274437396,0.0018135590862567914,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
FDX2,2.246090250752001,4.393244958639088,0.0018279472372377745,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
CXCL1,4.042469555570966,5.698050140165418,0.001958843356506191,0.1784336088219701,logCPM_Welch_ttest,GSE159354,GSE173896
