gene,log2fc,statistic,pvalue,fdr,method,group1,group2
RERG,6.921088576050825,253.62587835796487,1.8082717895213444e-11,1.3796078018336074e-07,logCPM_Welch_ttest,GSE132771,GSE159354
LINC00667,5.374434408403661,248.12335474543298,2.0178554948568195e-11,1.3796078018336074e-07,logCPM_Welch_ttest,GSE132771,GSE159354
VAMP5,7.285887124541888,228.52033605211673,3.045022398333586e-11,1.3879212091604485e-07,logCPM_Welch_ttest,GSE132771,GSE159354
SRP72,6.572117743930842,186.36579988064165,8.4399293372718e-11,2.3312004316588143e-07,logCPM_Welch_ttest,GSE132771,GSE159354
MRPL43,6.534789238019161,185.995768679021,8.524208101721567e-11,2.3312004316588143e-07,logCPM_Welch_ttest,GSE132771,GSE159354
TAF9,5.847319945366905,168.99077754898715,1.3766575371187306e-10,2.865036437642602e-07,logCPM_Welch_ttest,GSE132771,GSE159354
PDCD5,6.936568337504105,166.86330014910916,1.4666706935423586e-10,2.865036437642602e-07,logCPM_Welch_ttest,GSE132771,GSE159354
GRSF1,5.88662828285534,147.6083564874018,2.707295111789529e-10,4.191896001930044e-07,logCPM_Welch_ttest,GSE132771,GSE159354
CFAP36,6.05000033253284,147.05041455457032,2.759036420752552e-10,4.191896001930044e-07,logCPM_Welch_ttest,GSE132771,GSE159354
UBE2V2,6.723532158878716,141.8312526675231,3.305315204861219e-10,4.399429726282958e-07,logCPM_Welch_ttest,GSE132771,GSE159354
RPP30,5.390146570630584,139.90541817672676,3.5391053816814784e-10,4.399429726282958e-07,logCPM_Welch_ttest,GSE132771,GSE159354
PCMT1,6.917279058493915,135.40154117059586,4.1680416692553816e-10,4.7494834821165076e-07,logCPM_Welch_ttest,GSE132771,GSE159354
NUDCD2,5.559761982847235,131.76477109401682,4.775725220118023e-10,4.881279478413516e-07,logCPM_Welch_ttest,GSE132771,GSE159354
TMEM126A,5.8462045146354455,130.57287555001957,4.997653407765776e-10,4.881279478413516e-07,logCPM_Welch_ttest,GSE132771,GSE159354
POLR2F,7.101078280617135,127.76805043406259,5.570671195586867e-10,5.078223861896989e-07,logCPM_Welch_ttest,GSE132771,GSE159354
MRPL13,6.050933328552656,123.76844358895944,6.530561197491407e-10,5.497631090276747e-07,logCPM_Welch_ttest,GSE132771,GSE159354
DNAJC19,6.679255679505471,121.8474599741087,7.061681077974036e-10,5.497631090276747e-07,logCPM_Welch_ttest,GSE132771,GSE159354
NADK,4.718275719421996,120.61636867105715,7.429384355232181e-10,5.497631090276747e-07,logCPM_Welch_ttest,GSE132771,GSE159354
KATNA1,4.9566278231256815,119.94699580665721,7.638949152790565e-10,5.497631090276747e-07,logCPM_Welch_ttest,GSE132771,GSE159354
DAP3,5.592858394605703,117.78843501619036,8.364794543559195e-10,5.672102064079066e-07,logCPM_Welch_ttest,GSE132771,GSE159354
GYG1,6.418330833453933,116.83664003044215,8.71099483294284e-10,5.672102064079066e-07,logCPM_Welch_ttest,GSE132771,GSE159354
