gene,log2fc,statistic,pvalue,fdr,method,group1,group2
ADK,-6.6824597564780746,-204.0316068676685,5.366669389942898e-11,8.592826238471721e-07,logCPM_Welch_ttest,GSE159354,GSE173896
AC013394.1,-7.614152457659153,-185.66799909079415,8.599706003274341e-11,8.592826238471721e-07,logCPM_Welch_ttest,GSE159354,GSE173896
MTMR3,-6.147333983367777,-167.2979762345181,1.4477187102348336e-10,9.010265508694254e-07,logCPM_Welch_ttest,GSE159354,GSE173896
USP16,-5.840114217242351,-151.01652974010997,2.415335252366885e-10,9.010265508694254e-07,logCPM_Welch_ttest,GSE159354,GSE173896
VPS53,-6.355681779367342,-148.6247378967627,2.615999907263268e-10,9.010265508694254e-07,logCPM_Welch_ttest,GSE159354,GSE173896
PROSER1,-4.434978009449828,-147.6307390510417,2.7052438476864255e-10,9.010265508694254e-07,logCPM_Welch_ttest,GSE159354,GSE173896
PTCD3,-5.081538416306394,-134.03467091111736,4.3848942774700816e-10,1.2518246748708875e-06,logCPM_Welch_ttest,GSE159354,GSE173896
DYRK1A,-8.083036203567938,-123.72132609128582,6.5430025416901e-10,1.3633161895307255e-06,logCPM_Welch_ttest,GSE159354,GSE173896
PRKN,-8.315627325956145,-120.25555263229127,7.54147784412455e-10,1.3633161895307255e-06,logCPM_Welch_ttest,GSE159354,GSE173896
SMYD3,-8.490597087253326,-119.39844350632985,7.815993518384078e-10,1.3633161895307255e-06,logCPM_Welch_ttest,GSE159354,GSE173896
STX16,-5.2822721522636025,-117.95218299095414,8.306910889987456e-10,1.3633161895307255e-06,logCPM_Welch_ttest,GSE159354,GSE173896
ARFGEF2,-6.329316781409301,-116.04751894920277,9.011126833705341e-10,1.3633161895307255e-06,logCPM_Welch_ttest,GSE159354,GSE173896
PRKDC,-6.897773174937671,-114.93360984819458,9.456195402108853e-10,1.3633161895307255e-06,logCPM_Welch_ttest,GSE159354,GSE173896
PPP6R1,-4.098238450259706,-114.70480535664082,9.550854009923018e-10,1.3633161895307255e-06,logCPM_Welch_ttest,GSE159354,GSE173896
ANKRD44,-8.532729173511239,-103.34212262058823,1.6087233565421004e-09,1.840706106152825e-06,logCPM_Welch_ttest,GSE159354,GSE173896
CRADD,-7.610308854220384,-102.3658486612332,1.686881021797718e-09,1.840706106152825e-06,logCPM_Welch_ttest,GSE159354,GSE173896
NUBPL,-6.416597772247099,-99.93575480547946,1.902101007705972e-09,1.840706106152825e-06,logCPM_Welch_ttest,GSE159354,GSE173896
PDCD11,-3.9818715661835054,-98.18646404554417,2.0776061323269515e-09,1.840706106152825e-06,logCPM_Welch_ttest,GSE159354,GSE173896
RFX1,-5.112555685899767,-97.6694916264052,2.1331508231505988e-09,1.840706106152825e-06,logCPM_Welch_ttest,GSE159354,GSE173896
RNGTT,-6.5910539093719285,-97.34022365249034,2.169457748347748e-09,1.840706106152825e-06,logCPM_Welch_ttest,GSE159354,GSE173896
CYBC1,-4.905316990492973,-97.07434129593798,2.199317557226455e-09,1.840706106152825e-06,logCPM_Welch_ttest,GSE159354,GSE173896
TUT7,-6.278035986674571,-96.86025558959474,2.2237192985408923e-09,1.840706106152825e-06,logCPM_Welch_ttest,GSE159354,GSE173896
TEX261,-3.9516660840235507,-96.81313694326295,2.2291334768222413e-09,1.840706106152825e-06,logCPM_Welch_ttest,GSE159354,GSE173896
ASCC2,-4.758066918162549,-95.98622036653494,2.3267755707793605e-09,1.840706106152825e-06,logCPM_Welch_ttest,GSE159354,GSE173896
RAD51B,-7.8340575836676445,-95.78468915631503,2.3513449838346494e-09,1.840706106152825e-06,logCPM_Welch_ttest,GSE159354,GSE173896
HNRNPUL2,-4.666931993931654,-95.4340912614225,2.394833805042707e-09,1.840706106152825e-06,logCPM_Welch_ttest,GSE159354,GSE173896
GMPS,-5.39933947842101,-93.4180145326429,2.6645118169725514e-09,1.972133487051091e-06,logCPM_Welch_ttest,GSE159354,GSE173896
DENND1A,-7.074513633511722,-90.84567913060727,3.0635066647682056e-09,2.1654136480569736e-06,logCPM_Welch_ttest,GSE159354,GSE173896
EFTUD2,-4.746751456658608,-90.15991798561852,3.181735434829141e-09,2.1654136480569736e-06,logCPM_Welch_ttest,GSE159354,GSE173896
VPS13B,-7.993915073909608,-88.61514535629011,3.468739727398701e-09,2.1654136480569736e-06,logCPM_Welch_ttest,GSE159354,GSE173896
TIAM1,-6.546404316114715,-87.5573468874141,3.6832748141611924e-09,2.1654136480569736e-06,logCPM_Welch_ttest,GSE159354,GSE173896
ENTR1,-3.7321123752798013,-86.97055850126632,3.809145678972632e-09,2.1654136480569736e-06,logCPM_Welch_ttest,GSE159354,GSE173896
N4BP2,-4.564906535637875,-86.9522547642406,3.8131542832076474e-09,2.1654136480569736e-06,logCPM_Welch_ttest,GSE159354,GSE173896
MAGI2,-7.742275177002221,-86.94388173634663,3.814989702833111e-09,2.1654136480569736e-06,logCPM_Welch_ttest,GSE159354,GSE173896
CXXC1,-3.742952356088168,-86.36363435011829,3.944806055096066e-09,2.1654136480569736e-06,logCPM_Welch_ttest,GSE159354,GSE173896
CLK3,-4.559022642807604,-85.90075465180594,4.0521785482313715e-09,2.1654136480569736e-06,logCPM_Welch_ttest,GSE159354,GSE173896
EEFSEC,-5.364455506671813,-85.39797267947884,4.17280627511169e-09,2.1654136480569736e-06,logCPM_Welch_ttest,GSE159354,GSE173896
DNAAF5,-3.8835772085210536,-85.36572272816603,4.1806897274775146e-09,2.1654136480569736e-06,logCPM_Welch_ttest,GSE159354,GSE173896
CERS5,-5.375512858784273,-84.81599911143755,4.3178577932255475e-09,2.1654136480569736e-06,logCPM_Welch_ttest,GSE159354,GSE173896
HACE1,-5.925496393095841,-84.75153339724118,4.3342947318994665e-09,2.1654136480569736e-06,logCPM_Welch_ttest,GSE159354,GSE173896
BCAS3,-8.74587875051643,-83.75951599949428,4.596952771169557e-09,2.24062205314762e-06,logCPM_Welch_ttest,GSE159354,GSE173896
APBB1,-4.093619583871397,-83.2462173775149,4.740346576878597e-09,2.2555020474367117e-06,logCPM_Welch_ttest,GSE159354,GSE173896
PPP1R35,-4.346203985424935,-82.48151980785443,4.96405821613569e-09,2.2990678111468577e-06,logCPM_Welch_ttest,GSE159354,GSE173896
ENTPD1-AS1,-6.546291811841145,-82.1020797048887,5.079757920029531e-09,2.2990678111468577e-06,logCPM_Welch_ttest,GSE159354,GSE173896
KHNYN,-4.00930744215444,-81.79096556474458,5.177044210448789e-09,2.2990678111468577e-06,logCPM_Welch_ttest,GSE159354,GSE173896
ZNF407,-7.775791331447157,-81.29113258633228,5.3380680276422185e-09,2.319042423139176e-06,logCPM_Welch_ttest,GSE159354,GSE173896
KIF13B,-6.4526975484201605,-80.00331728983883,5.781455213730197e-09,2.4582255530039204e-06,logCPM_Welch_ttest,GSE159354,GSE173896
CUEDC1,-4.744149887823186,-79.17886004623861,6.0885757015191515e-09,2.528524834935926e-06,logCPM_Welch_ttest,GSE159354,GSE173896
ACOX3,-4.2893721891335845,-78.88752474297323,6.2017577696784675e-09,2.528524834935926e-06,logCPM_Welch_ttest,GSE159354,GSE173896
C1orf52,-5.378730863656792,-78.57404898088544,6.326373185888526e-09,2.528524834935926e-06,logCPM_Welch_ttest,GSE159354,GSE173896
ANKRD13A,-4.8801788891979765,-77.89426912179718,6.60708262499439e-09,2.5800897809436848e-06,logCPM_Welch_ttest,GSE159354,GSE173896
CAND2,-2.788078057431718,-77.64532671976609,6.7136043139047045e-09,2.5800897809436848e-06,logCPM_Welch_ttest,GSE159354,GSE173896
BSDC1,-5.321963982051208,-77.24655752310198,6.888563967819862e-09,2.5973785345832476e-06,logCPM_Welch_ttest,GSE159354,GSE173896
MMAA,-3.8516431483354823,-76.63423824272188,7.167994144951513e-09,2.6526887961613154e-06,logCPM_Welch_ttest,GSE159354,GSE173896
EXOC6B,-8.22028925875817,-76.21391136193765,7.367698693524052e-09,2.6770198307524483e-06,logCPM_Welch_ttest,GSE159354,GSE173896
BIRC6,-8.18041439736752,-75.60301321567323,7.66998645850966e-09,2.737089453336733e-06,logCPM_Welch_ttest,GSE159354,GSE173896
ADGRL2,-11.089066179658978,-75.26502889741411,7.843621656175964e-09,2.7499462311757977e-06,logCPM_Welch_ttest,GSE159354,GSE173896
SNIP1,-4.613632569687606,-74.31983208531233,8.354841083218464e-09,2.878674900121341e-06,logCPM_Welch_ttest,GSE159354,GSE173896
ZCCHC8,-5.113997426684024,-73.79986160134241,8.653108575944001e-09,2.911161421534065e-06,logCPM_Welch_ttest,GSE159354,GSE173896
SPATA20,-3.1311335479004385,-73.45837007518894,8.855956940227081e-09,2.911161421534065e-06,logCPM_Welch_ttest,GSE159354,GSE173896
AP4S1,-5.004798551378186,-73.40834143074191,8.886151256684247e-09,2.911161421534065e-06,logCPM_Welch_ttest,GSE159354,GSE173896
NDUFAF7,-4.654921494698648,-71.33907093901975,1.0250681562341562e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
PDE12,-4.3042507942216135,-71.0570298666072,1.0455564145490117e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
RFX3,-8.595750300098162,-71.02603611764336,1.0478377231497341e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
ZNRF2,-5.061962900770774,-70.69019294459605,1.072944620906139e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
GALNT10,-5.566125860727872,-70.46110298134906,1.0904855041113365e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
ATR,-6.059180237112591,-70.27601732512295,1.1049088151007995e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
IKZF5,-4.337666160070095,-70.18020205258465,1.1124653721073206e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
MACO1,-6.112710701439707,-69.62382113800822,1.157591032433288e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
AC093827.5,-3.736209209892928,-69.59023996292903,1.1603842673093688e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
COA5,-4.369501073607126,-69.40669278982331,1.1757951493475449e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
SLCO3A1,-8.215110518787943,-69.15039058220069,1.19772762058115e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
WWOX,-8.354803074370224,-68.95536242730275,1.2147461136824007e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
YLPM1,-6.362233835082432,-68.86022679515555,1.2231530389401021e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
CLTCL1,-2.943847312677379,-68.84234708961434,1.224740811985086e-08,3.263362718227994e-06,logCPM_Welch_ttest,GSE159354,GSE173896
AGAP1,-8.680673149773167,-68.27613416705069,1.2763258994083097e-08,3.2916521915637145e-06,logCPM_Welch_ttest,GSE159354,GSE173896
ERI1,-3.937532449154683,-68.25591409425144,1.2782157691370416e-08,3.2916521915637145e-06,logCPM_Welch_ttest,GSE159354,GSE173896
LPIN2,-5.944297286248239,-68.05345896259932,1.2973245646665016e-08,3.2916521915637145e-06,logCPM_Welch_ttest,GSE159354,GSE173896
WDR37,-6.03249182491887,-67.55701987930635,1.345651003351368e-08,3.2916521915637145e-06,logCPM_Welch_ttest,GSE159354,GSE173896
NEDD4,-7.761184197980616,-67.40222587520532,1.3611593769569295e-08,3.2916521915637145e-06,logCPM_Welch_ttest,GSE159354,GSE173896
COG5,-7.114840222404439,-67.2551110608105,1.3760975494525818e-08,3.2916521915637145e-06,logCPM_Welch_ttest,GSE159354,GSE173896
RABGAP1L,-8.419056375775938,-67.18446111339712,1.3833412896542444e-08,3.2916521915637145e-06,logCPM_Welch_ttest,GSE159354,GSE173896
