celltype,study1,study2,n_study1,n_study2,min_samples_per_study,status,genes_tested,significant_genes,up_in_study1,up_in_study2,method,fdr_cutoff,abs_log2fc_cutoff
Activated T cells,GSE132771,GSE159354,2,1,2,skipped_low_samples,0,0,0,0,,,
Activated T cells,GSE132771,GSE171524,2,5,2,tested,878,20,0,20,logCPM_Welch_ttest,0.05,0.5
Activated T cells,GSE132771,GSE173896,2,6,2,tested,13086,7538,42,7496,logCPM_Welch_ttest,0.05,0.5
Activated T cells,GSE132771,GSE227691,2,4,2,tested,8244,3312,16,3296,logCPM_Welch_ttest,0.05,0.5
Activated T cells,GSE159354,GSE171524,1,5,2,skipped_low_samples,0,0,0,0,,,
Activated T cells,GSE159354,GSE173896,1,6,2,skipped_low_samples,0,0,0,0,,,
Activated T cells,GSE159354,GSE227691,1,4,2,skipped_low_samples,0,0,0,0,,,
Activated T cells,GSE171524,GSE173896,5,6,2,tested,13110,5252,13,5239,logCPM_Welch_ttest,0.05,0.5
Activated T cells,GSE171524,GSE227691,5,4,2,tested,8370,2065,29,2036,logCPM_Welch_ttest,0.05,0.5
Activated T cells,GSE173896,GSE227691,6,4,2,tested,13657,10,9,1,logCPM_Welch_ttest,0.05,0.5
Alveolar macrophages,GSE132771,GSE159354,6,1,2,skipped_low_samples,0,0,0,0,,,
Alveolar macrophages,GSE132771,GSE171524,6,7,2,tested,17348,11515,2247,9268,logCPM_Welch_ttest,0.05,0.5
Alveolar macrophages,GSE132771,GSE173896,6,6,2,tested,12947,2812,903,1909,logCPM_Welch_ttest,0.05,0.5
Alveolar macrophages,GSE132771,GSE227691,6,4,2,tested,12046,4348,4307,41,logCPM_Welch_ttest,0.05,0.5
Alveolar macrophages,GSE159354,GSE171524,1,7,2,skipped_low_samples,0,0,0,0,,,
Alveolar macrophages,GSE159354,GSE173896,1,6,2,skipped_low_samples,0,0,0,0,,,
Alveolar macrophages,GSE159354,GSE227691,1,4,2,skipped_low_samples,0,0,0,0,,,
Alveolar macrophages,GSE171524,GSE173896,7,6,2,tested,16377,2999,2551,448,logCPM_Welch_ttest,0.05,0.5
Alveolar macrophages,GSE171524,GSE227691,7,4,2,tested,15901,11250,11068,182,logCPM_Welch_ttest,0.05,0.5
Alveolar macrophages,GSE173896,GSE227691,6,4,2,tested,8056,3075,2956,119,logCPM_Welch_ttest,0.05,0.5
Alveolar type I cells,GSE132771,GSE159354,6,4,2,tested,9446,383,380,3,logCPM_Welch_ttest,0.05,0.5
Alveolar type I cells,GSE132771,GSE171524,6,7,2,tested,15668,6833,2180,4653,logCPM_Welch_ttest,0.05,0.5
Alveolar type I cells,GSE132771,GSE173896,6,6,2,tested,14080,4818,1290,3528,logCPM_Welch_ttest,0.05,0.5
Alveolar type I cells,GSE132771,GSE227691,6,4,2,tested,9554,495,426,69,logCPM_Welch_ttest,0.05,0.5
Alveolar type I cells,GSE159354,GSE171524,4,7,2,tested,14727,5999,87,5912,logCPM_Welch_ttest,0.05,0.5
Alveolar type I cells,GSE159354,GSE173896,4,6,2,tested,13513,4949,58,4891,logCPM_Welch_ttest,0.05,0.5
Alveolar type I cells,GSE159354,GSE227691,4,4,2,tested,2479,0,0,0,logCPM_Welch_ttest,0.05,0.5
Alveolar type I cells,GSE171524,GSE173896,7,6,2,tested,16892,3380,1172,2208,logCPM_Welch_ttest,0.05,0.5
Alveolar type I cells,GSE171524,GSE227691,7,4,2,tested,14635,4387,4253,134,logCPM_Welch_ttest,0.05,0.5
Alveolar type I cells,GSE173896,GSE227691,6,4,2,tested,13519,3663,3654,9,logCPM_Welch_ttest,0.05,0.5
