gene,log2fc,statistic,pvalue,fdr,method,group1,group2
MT1X,-5.013163783717964,-12.447520051979156,1.4425821339312385e-35,1.0527964413430177e-31,PyDESeq2,GSE173896,GSE227691
RPS17,-3.843433801759061,-10.785914956493372,4.012304883331081e-27,1.4640900519275115e-23,PyDESeq2,GSE173896,GSE227691
LINC00486,-5.258329872568392,-10.52796899224617,6.420480124655601e-26,1.5618887983245525e-22,PyDESeq2,GSE173896,GSE227691
MT2A,-4.151315439082092,-8.448911122126036,2.9403219484596964e-17,5.364617394964716e-14,PyDESeq2,GSE173896,GSE227691
EIF1,-1.7485491994332187,-7.463460976187895,8.427884627964506e-14,1.2301340402976992e-10,PyDESeq2,GSE173896,GSE227691
HLA-A,-1.4652954324747351,-7.210706346235523,5.566237713980235e-13,6.764357478206127e-10,PyDESeq2,GSE173896,GSE227691
SLFNL1,-4.1995271118329285,-7.18981014563701,6.488147759309795e-13,6.764357478206127e-10,PyDESeq2,GSE173896,GSE227691
RPL36A,-2.5359111909655727,-7.0867950466916945,1.372534159979236e-12,1.2520942874410579e-09,PyDESeq2,GSE173896,GSE227691
SPDYE2,-3.259600325050221,-6.924428041461387,4.377404750307997e-12,3.549588874194196e-09,PyDESeq2,GSE173896,GSE227691
MT-ATP8,3.651542751041953,6.75046400101983,1.4737308394720245e-11,1.0755287666466834e-08,PyDESeq2,GSE173896,GSE227691
RPL7,-2.615499066864306,-6.6979344209699905,2.113860822284756e-11,1.3812259565102848e-08,PyDESeq2,GSE173896,GSE227691
RPL31,-2.358449035042023,-6.687009655551223,2.277768560504647e-11,1.3812259565102848e-08,PyDESeq2,GSE173896,GSE227691
LINC01116,-6.038364331647629,-6.675709354691871,2.4603915366721984e-11,1.3812259565102848e-08,PyDESeq2,GSE173896,GSE227691
MTRNR2L12,10.185333149619385,6.63981735277056,3.140720915639347e-11,1.5441424797814277e-08,PyDESeq2,GSE173896,GSE227691
IFITM1,-4.045185243105656,-6.638274458843336,3.173765031066239e-11,1.5441424797814277e-08,PyDESeq2,GSE173896,GSE227691
MT1F,-4.623106754405513,-6.509156630997451,7.557389102774994e-11,3.447114104503244e-08,PyDESeq2,GSE173896,GSE227691
AC004687.1,-2.4846248614300674,-6.379015960322921,1.7822946413914025e-10,7.651286054632033e-08,PyDESeq2,GSE173896,GSE227691
C1orf56,-2.467104357173761,-6.278527840552589,3.4179383193559996e-10,1.3857841030366715e-07,PyDESeq2,GSE173896,GSE227691
DUSP2,-2.1199388253702565,-6.259839904381894,3.853728917724827e-10,1.4802375600818836e-07,PyDESeq2,GSE173896,GSE227691
RPL17,-3.0532119076816446,-6.233825226085686,4.551809035924845e-10,1.6609551172089757e-07,PyDESeq2,GSE173896,GSE227691
FTH1,-1.8847179703250263,-6.17036581501341,6.813217536707507e-10,2.3677553134710184e-07,PyDESeq2,GSE173896,GSE227691
DCXR,-2.80400420625626,-6.106269009308846,1.0198705861794383e-09,3.3831888808807006e-07,PyDESeq2,GSE173896,GSE227691
CXCL8,-3.9948807309645558,-6.041883455727148,1.5232548241442512e-09,4.833353785480324e-07,PyDESeq2,GSE173896,GSE227691
CD7,-1.9775319093584744,-6.027206878635564,1.6681741856462146e-09,5.072639669519197e-07,PyDESeq2,GSE173896,GSE227691
NDUFA13,-2.238207754215099,-5.975793916257702,2.289723092635792e-09,6.684159652022405e-07,PyDESeq2,GSE173896,GSE227691
MT1E,-5.270413288236987,-5.95648560241273,2.577198053420656e-09,7.233996689947672e-07,PyDESeq2,GSE173896,GSE227691
SRSF2,-1.8820263236641972,-5.946765124939369,2.7349340146373367e-09,7.392425347712327e-07,PyDESeq2,GSE173896,GSE227691
MAF,1.9855842295803097,5.876891715039569,4.180414643191832e-09,1.0895952166433568e-06,PyDESeq2,GSE173896,GSE227691
HLA-C,-1.6849098015140571,-5.862556003495042,4.557958059588478e-09,1.1470337213405765e-06,PyDESeq2,GSE173896,GSE227691
AC018682.1,-2.7615845625142614,-5.800801672932581,6.59986227863519e-09,1.605526496982654e-06,PyDESeq2,GSE173896,GSE227691
ARHGAP26-AS1,-3.3821883949095257,-5.752150771025927,8.811515950915936e-09,2.074401400315629e-06,PyDESeq2,GSE173896,GSE227691
ATP1B3,-1.7982693887685617,-5.663360867608265,1.4843653319056462e-08,3.327155207859894e-06,PyDESeq2,GSE173896,GSE227691
HNRNPA1,-1.4841243409126155,-5.661053095968539,1.504468647018039e-08,3.327155207859894e-06,PyDESeq2,GSE173896,GSE227691
RPL27A,-1.8580588408421328,-5.631460022920456,1.786903987520238e-08,3.835536853212558e-06,PyDESeq2,GSE173896,GSE227691
CYBA,-1.4521568016551436,-5.59905909340349,2.1551832923044552e-08,4.4938650477822606e-06,PyDESeq2,GSE173896,GSE227691
B2M,-1.7734588601206136,-5.584549085388561,2.343073358100037e-08,4.7499303798372415e-06,PyDESeq2,GSE173896,GSE227691
RPS6,-1.5197274824948719,-5.527900163992892,3.2408637943029775e-08,6.294389945070791e-06,PyDESeq2,GSE173896,GSE227691
RELB,-1.7114514795383646,-5.525930979734561,3.277429678167855e-08,6.294389945070791e-06,PyDESeq2,GSE173896,GSE227691
VAMP2,-1.491719067515799,-5.503166631883392,3.730295410449848e-08,6.9804348475546135e-06,PyDESeq2,GSE173896,GSE227691
RPLP2,-1.731354910795668,-5.481653714648863,4.2136838489559715e-08,7.561056582404053e-06,PyDESeq2,GSE173896,GSE227691
RPL21,-1.9355828169920326,-5.480227842906918,4.2477845968562096e-08,7.561056582404053e-06,PyDESeq2,GSE173896,GSE227691
MTRNR2L8,6.75852815448124,5.464409772463809,4.644495402829741e-08,8.07036367853606e-06,PyDESeq2,GSE173896,GSE227691
GZMH,-2.2912331668254176,-5.447331902441151,5.1130998969015494e-08,8.678000708741282e-06,PyDESeq2,GSE173896,GSE227691
FAM177A1,-1.4496501463795293,-5.4382828014400735,5.379653812530898e-08,8.92288943723875e-06,PyDESeq2,GSE173896,GSE227691
SRSF6,-1.807801360653373,-5.4297769629906005,5.642452374453535e-08,9.1508038730582e-06,PyDESeq2,GSE173896,GSE227691
SLFN11,2.279038920472214,5.397667966840181,6.751265958910388e-08,1.071103021046261e-05,PyDESeq2,GSE173896,GSE227691
RAB5IF,-2.3388283047738545,-5.385528635371547,7.22320334920397e-08,1.1215944264359697e-05,PyDESeq2,GSE173896,GSE227691
EEF2,-1.5911013977370874,-5.3629659428698675,8.186644628735846e-08,1.2447110937607124e-05,PyDESeq2,GSE173896,GSE227691
RPL10,-1.638443423890896,-5.358570866852625,8.388283352180935e-08,1.2493406511064586e-05,PyDESeq2,GSE173896,GSE227691
RPL34,-2.0219326066793273,-5.275051785014571,1.3271860525094855e-07,1.937160762242845e-05,PyDESeq2,GSE173896,GSE227691
IKZF3,1.5301140468624932,5.26515277357538,1.4007282599424588e-07,2.0044146747176598e-05,PyDESeq2,GSE173896,GSE227691
CCDC97,-1.892489943335687,-5.234485218360513,1.654453104669681e-07,2.321961299592179e-05,PyDESeq2,GSE173896,GSE227691
AHNAK,1.563004643033382,5.224612370550675,1.7452031844621631e-07,2.4031118566424278e-05,PyDESeq2,GSE173896,GSE227691
BCL6,1.6939468918427028,5.169548479370693,2.3466025718297719e-07,3.1713899202247546e-05,PyDESeq2,GSE173896,GSE227691
PPP1R10,2.045707405663889,5.164823851511553,2.4066545544997516e-07,3.193411807043489e-05,PyDESeq2,GSE173896,GSE227691
CASK,1.1934158390986638,5.154684114980742,2.540588333806045e-07,3.310931010735093e-05,PyDESeq2,GSE173896,GSE227691
IL2RG,-1.7329415020239205,-5.149578446841805,2.610725651232934e-07,3.311678965355857e-05,PyDESeq2,GSE173896,GSE227691
PCNX1,1.7211466513172002,5.148061786799339,2.631918059614137e-07,3.311678965355857e-05,PyDESeq2,GSE173896,GSE227691
VCP,-1.287626373739117,-5.1115390232294375,3.1954479782172937e-07,3.95260666864912e-05,PyDESeq2,GSE173896,GSE227691
IL1B,-3.744471794897949,-5.10558270360491,3.2977671566637323e-07,4.0111841182219863e-05,PyDESeq2,GSE173896,GSE227691
RPS10,-1.775051857920616,-5.100999951593689,3.37863649290305e-07,4.042178545115813e-05,PyDESeq2,GSE173896,GSE227691
RPL41,-1.2872480780874755,-5.097127724428054,3.448456719134639e-07,4.05916728003945e-05,PyDESeq2,GSE173896,GSE227691
SRSF5,-1.3086872583533906,-5.090940972676362,3.5629093813475853e-07,4.127319470646774e-05,PyDESeq2,GSE173896,GSE227691
RPL3,-1.4280959547405347,-5.083733836393453,3.700864568123701e-07,4.220142127838558e-05,PyDESeq2,GSE173896,GSE227691
GZMM,-1.6627071545623384,-5.079104992681336,3.792171062986299e-07,4.257732987334463e-05,PyDESeq2,GSE173896,GSE227691
AL691403.1,3.112635423072964,5.074652259541565,3.882052781682314e-07,4.292609272835989e-05,PyDESeq2,GSE173896,GSE227691
FAR2,2.5127540746941546,5.064842616009511,4.0873789408902235e-07,4.452192762778634e-05,PyDESeq2,GSE173896,GSE227691
RPS20,-1.6111102632988032,-5.002773985180124,5.651118163670332e-07,6.0649794644803066e-05,PyDESeq2,GSE173896,GSE227691
AC005291.2,-4.829542630694868,-4.985949892005255,6.165812423222751e-07,6.521463632562266e-05,PyDESeq2,GSE173896,GSE227691
HOOK2,2.2119109913129913,4.957357492330595,7.145841998912787e-07,7.450050701152217e-05,PyDESeq2,GSE173896,GSE227691
NCK2,1.6565965551576485,4.953362504655053,7.294190478751901e-07,7.49760593153963e-05,PyDESeq2,GSE173896,GSE227691
COX6A1,-2.0450681717008523,-4.934130675576163,8.050852744472727e-07,8.160433795716938e-05,PyDESeq2,GSE173896,GSE227691
AC103591.3,-2.2366465599637793,-4.920894616521523,8.614951110697849e-07,8.612590850119576e-05,PyDESeq2,GSE173896,GSE227691
SLFN12L,1.0522196110989663,4.915637663291406,8.849393929213448e-07,8.703182125469072e-05,PyDESeq2,GSE173896,GSE227691
HLA-E,-1.0331774953156618,-4.913552519959375,8.944075903126615e-07,8.703182125469072e-05,PyDESeq2,GSE173896,GSE227691
TMSB10,-1.2375613348871501,-4.891178943191401,1.0023378559078494e-06,9.625081147915112e-05,PyDESeq2,GSE173896,GSE227691
TBL1XR1,1.409344406599732,4.826682918885148,1.388258852558986e-06,0.00013157809228539583,PyDESeq2,GSE173896,GSE227691
DOCK2,1.1450544270616196,4.788313203459123,1.6818901355101295e-06,0.00015599540850163814,PyDESeq2,GSE173896,GSE227691
AC114760.2,-2.350450849177074,-4.787510134896399,1.6886321282035368e-06,0.00015599540850163814,PyDESeq2,GSE173896,GSE227691
SNHG7,-1.8378736283995856,-4.732552696780805,2.217137182340138e-06,0.00020225833945897907,PyDESeq2,GSE173896,GSE227691
SCGB3A2,-3.041130358131146,-4.713553333828175,2.4343397067979346e-06,0.00021933100222483118,PyDESeq2,GSE173896,GSE227691
SLFN5,1.434113696255178,4.676743415612612,2.9146657560590015e-06,0.0002594052522892511,PyDESeq2,GSE173896,GSE227691
RPL13A,-1.3745614949943117,-4.651062494988295,3.302292283000707e-06,0.0002903630009799899,PyDESeq2,GSE173896,GSE227691
CXCL3,-3.586565768755386,-4.622787304592324,3.786178846842185e-06,0.00032894682409826504,PyDESeq2,GSE173896,GSE227691
PFN1,-1.7110121877698883,-4.614298847645616,3.94424559557465e-06,0.00033864828654710347,PyDESeq2,GSE173896,GSE227691
