gene,log2fc,statistic,pvalue,fdr,method,group1,group2
MT-ND1,2.6759060705451554,6.531324216686566,6.519070430143607e-11,7.659907755418738e-08,PyDESeq2,GSE173896,GSE227691
MT-ATP6,3.2029344732242824,6.227793843426646,4.730489565089191e-10,2.7791626194898996e-07,PyDESeq2,GSE173896,GSE227691
RBM47,4.105908938420355,6.1290495239787,8.840560741220948e-10,3.462552956978205e-07,PyDESeq2,GSE173896,GSE227691
PPARG,2.988086288515875,5.5599339956622735,2.698766947306262e-08,7.927627907712145e-06,PyDESeq2,GSE173896,GSE227691
FN1,3.838979817332321,5.177804527747372,2.2451228225457468e-07,5.276038632982505e-05,PyDESeq2,GSE173896,GSE227691
PLXDC2,3.2445722701896713,5.1191277666070345,3.069519661509045e-07,5.428526209858352e-05,PyDESeq2,GSE173896,GSE227691
TCF7L2,5.347798782525938,5.109272544408442,3.234015614383699e-07,5.428526209858352e-05,PyDESeq2,GSE173896,GSE227691
LRRFIP1,3.4090554878930925,4.884203649230605,1.0384770135413064e-06,0.00014876935308273732,PyDESeq2,GSE173896,GSE227691
FMNL2,4.825541468436689,4.865875921428676,1.1395099385060733e-06,0.00014876935308273732,PyDESeq2,GSE173896,GSE227691
JMJD1C,3.266059667611941,4.763335105829641,1.9041922262321782e-06,0.0002069981062303211,PyDESeq2,GSE173896,GSE227691
SVIL,4.4885953159912715,4.758034981954483,1.954866264401358e-06,0.0002069981062303211,PyDESeq2,GSE173896,GSE227691
RASAL2,4.120286920097226,4.742207124172475,2.1140232125649815e-06,0.0002069981062303211,PyDESeq2,GSE173896,GSE227691
MITF,4.449420357799398,4.689005446604357,2.7453608226444366e-06,0.0002481383820467087,PyDESeq2,GSE173896,GSE227691
TANC2,3.8362611309078787,4.581203233782862,4.623082945317584e-06,0.00038800874719629726,PyDESeq2,GSE173896,GSE227691
LRMDA,3.7699552720363076,4.469495694472591,7.840423731967867e-06,0.0006141665256708162,PyDESeq2,GSE173896,GSE227691
ATG7,3.323485163968139,4.451462860231507,8.52872851787975e-06,0.0006263285005317942,PyDESeq2,GSE173896,GSE227691
RASGEF1B,4.281713170588356,4.433811098169813,9.25817528539836e-06,0.0006399032917848868,PyDESeq2,GSE173896,GSE227691
ASAP1,4.9421487686320384,4.3311533265138396,1.4833034377009757e-05,0.0009682675218325812,PyDESeq2,GSE173896,GSE227691
MAML2,5.148785922431081,4.273697803907176,1.9225756853840844e-05,0.0011889612791191049,PyDESeq2,GSE173896,GSE227691
VIM,2.111096539229319,4.219229110829836,2.4513906449894976e-05,0.0014015657460681057,PyDESeq2,GSE173896,GSE227691
DENND4C,3.7534535793782764,4.214355377517514,2.5049260142493806e-05,0.0014015657460681057,PyDESeq2,GSE173896,GSE227691
LSAMP,2.7947300846187737,4.19592968311525,2.7175455549687555e-05,0.0014104449069929418,PyDESeq2,GSE173896,GSE227691
MT-CO2,1.9755849550380558,4.192343867261973,2.760870881773418e-05,0.0014104449069929418,PyDESeq2,GSE173896,GSE227691
MSR1,1.9350049090526815,4.0956717686497415,4.20945983046143e-05,0.0019746037080554954,PyDESeq2,GSE173896,GSE227691
TFRC,4.705652200088141,4.09433559537465,4.2338070455076025e-05,0.0019746037080554954,PyDESeq2,GSE173896,GSE227691
MT-CO3,2.161090990652792,4.0870284341135,4.369335864633437e-05,0.0019746037080554954,PyDESeq2,GSE173896,GSE227691
RUNX1,4.294822226748612,4.0765334600240575,4.571208023256766e-05,0.001989322010121,PyDESeq2,GSE173896,GSE227691
MOB3B,4.4027955473054226,4.057341693497727,4.9634438742374516e-05,0.0020482120774075446,PyDESeq2,GSE173896,GSE227691
TRIO,3.676691534455509,4.053061912095088,5.0551617229633016e-05,0.0020482120774075446,PyDESeq2,GSE173896,GSE227691
TMSB4X,-1.6448192782257511,-4.003266036159719,6.247398197035438e-05,0.0024387809232614727,PyDESeq2,GSE173896,GSE227691
EML4,3.9830217882500234,3.9962922131511434,6.434230520945161e-05,0.0024387809232614727,PyDESeq2,GSE173896,GSE227691
ZFAND3,2.7738431902909078,3.979790045805063,6.897615836326603e-05,0.0024840272150891116,PyDESeq2,GSE173896,GSE227691
