gene,log2fc,statistic,pvalue,fdr,method,group1,group2
TMSB4X,-1.3260147409771292,-6.497870975325792,8.146462287183343e-11,1.5940519134685033e-07,PyDESeq2,GSE173896,GSE227691
PHKG1,-4.030767587267855,-6.497121248314191,8.187147782594243e-11,1.5940519134685033e-07,PyDESeq2,GSE173896,GSE227691
LINC00486,-4.8801904242490295,-6.487313001413688,8.738068857678316e-11,1.5940519134685033e-07,PyDESeq2,GSE173896,GSE227691
SPDYE2,-4.6467851345619735,-6.480138415212702,9.163851184067279e-11,1.5940519134685033e-07,PyDESeq2,GSE173896,GSE227691
SCGB3A2,-4.534140380957771,-5.713261981343072,1.1083085331647414e-08,1.542322154752054e-05,PyDESeq2,GSE173896,GSE227691
RASL11B,-6.8598104368926665,-5.3601324244425,8.316097003229244e-08,9.643900491411514e-05,PyDESeq2,GSE173896,GSE227691
PLA2G4C,-6.062101291427187,-5.268610571336597,1.3746023315794934e-07,0.00013663547175900165,PyDESeq2,GSE173896,GSE227691
AP000462.1,-3.071546895877254,-5.224492522953514,1.7463338379943328e-07,0.0001518873855595571,PyDESeq2,GSE173896,GSE227691
AAAS,-3.690549664414385,-5.09847286131121,3.4240461048614015e-07,0.000264716808862507,PyDESeq2,GSE173896,GSE227691
BUD31,-2.41035376074852,-5.074781561172326,3.8794139901106194e-07,0.0002699296254318969,PyDESeq2,GSE173896,GSE227691
AC009630.1,-5.169406019438999,-4.982949352299709,6.262234616875862e-07,0.00039611480422020224,PyDESeq2,GSE173896,GSE227691
SCGB3A1,-4.50207955218983,-4.947833431024207,7.504408335795122e-07,0.0004351306100038539,PyDESeq2,GSE173896,GSE227691
LRRC14,-3.596891503739398,-4.784918667672187,1.710565853040247e-06,0.0009155474773426185,PyDESeq2,GSE173896,GSE227691
AC114760.2,-3.8662097710344865,-4.591831725976838,4.393725759507035e-06,0.0021836817024749964,PyDESeq2,GSE173896,GSE227691
RPL7,-1.883764720274761,-4.553457933694559,5.27712277766891e-06,0.0024478813524680186,PyDESeq2,GSE173896,GSE227691
ZSWIM4,-3.979194453720833,-4.504042118088091,6.667298357682596e-06,0.002899441373297219,PyDESeq2,GSE173896,GSE227691
CIRBP,-1.542471492310889,-4.387610404651646,1.1460282308224792e-05,0.004439954942401076,PyDESeq2,GSE173896,GSE227691
UBB,-1.8411465838243048,-4.387123787530334,1.1485942650649522e-05,0.004439954942401076,PyDESeq2,GSE173896,GSE227691
AC020916.1,-3.702763314785503,-4.313247683793362,1.608737170798004e-05,0.005891364860217112,PyDESeq2,GSE173896,GSE227691
EXOSC4,-3.3051934113390766,-4.246310320621639,2.173195909056928e-05,0.007560548567609053,PyDESeq2,GSE173896,GSE227691
MBNL1,1.4321433410403759,4.216712431631091,2.478897633067729e-05,0.007916457764903321,PyDESeq2,GSE173896,GSE227691
TIMP1,-4.412136333221661,-4.214524675004835,2.5030478704781987e-05,0.007916457764903321,PyDESeq2,GSE173896,GSE227691
DNAJA1,-1.4978929040932942,-4.169370859492082,3.054416268336591e-05,0.00870870761803817,PyDESeq2,GSE173896,GSE227691
TFAP2C,-3.585960843740853,-4.166359563473439,3.095024087744681e-05,0.00870870761803817,PyDESeq2,GSE173896,GSE227691
SRSF3,-1.5446487689166744,-4.1612067029367985,3.165703844134604e-05,0.00870870761803817,PyDESeq2,GSE173896,GSE227691
RASSF7,-1.6865885760715065,-4.154907759250954,3.2541879573008394e-05,0.00870870761803817,PyDESeq2,GSE173896,GSE227691
VASP,-2.192145173391783,-4.107765653222051,3.9950515025012874e-05,0.01029539568681628,PyDESeq2,GSE173896,GSE227691
HK1,-1.9476737421377273,-4.066211760027145,4.778352035810678e-05,0.011874204808989536,PyDESeq2,GSE173896,GSE227691
SQSTM1,-2.0609523788523205,-4.053573676447075,5.0441103938761745e-05,0.011939792757568044,PyDESeq2,GSE173896,GSE227691
FKBP2,-1.8654795273478404,-4.047979154902986,5.166174607237612e-05,0.011939792757568044,PyDESeq2,GSE173896,GSE227691
PSMD5,-2.166092732305691,-4.041124978663065,5.3195397453953634e-05,0.011939792757568044,PyDESeq2,GSE173896,GSE227691
ATP5PO,-1.9683188384150676,-3.9447210709002554,7.989291908856769e-05,0.01665715827429932,PyDESeq2,GSE173896,GSE227691
SRSF6,-1.9422441078799522,-3.937332948841722,8.239225138124867e-05,0.01665715827429932,PyDESeq2,GSE173896,GSE227691
TCFL5,-5.176146336969533,-3.937270162067232,8.241380484670012e-05,0.01665715827429932,PyDESeq2,GSE173896,GSE227691
PABPC1L,-3.0458959227085747,-3.9310942224175673,8.456012155740966e-05,0.01665715827429932,PyDESeq2,GSE173896,GSE227691
TMEM241,-2.5356601941499637,-3.9265234869957277,8.618248029243685e-05,0.01665715827429932,PyDESeq2,GSE173896,GSE227691
DMD,2.6604024643674142,3.904373178281644,9.446991501197767e-05,0.017765450504144343,PyDESeq2,GSE173896,GSE227691
MT1X,-4.899721725598292,-3.897406927725886,9.72281699474635e-05,0.017802989644590816,PyDESeq2,GSE173896,GSE227691
GGT7,-2.1209299135233315,-3.8844661410319232,0.00010255498287164787,0.018296860790280152,PyDESeq2,GSE173896,GSE227691
PET100,-1.853844536294115,-3.861786963968629,0.00011256069863871678,0.019579933528204783,PyDESeq2,GSE173896,GSE227691
AP002336.2,-2.3806656366513623,-3.840944126519276,0.00012256201159091198,0.0204645458173876,PyDESeq2,GSE173896,GSE227691
HSPB1,-2.0823291913555417,-3.8390158726568306,0.00012352844557779236,0.0204645458173876,PyDESeq2,GSE173896,GSE227691
LIPH,-1.410862548257769,-3.830943615461167,0.00012765275860870864,0.02065599754417197,PyDESeq2,GSE173896,GSE227691
AC025043.1,-3.589229376181925,-3.8114576084565206,0.00013814974980817888,0.021846499071938832,PyDESeq2,GSE173896,GSE227691
LZTR1,-2.787893346096119,-3.7457127307059186,0.00017988234063577116,0.027813807247637684,PyDESeq2,GSE173896,GSE227691
A2ML1-AS1,-2.8963731469180596,-3.7373634811828675,0.00018595999995288699,0.027867276906105475,PyDESeq2,GSE173896,GSE227691
SFTPC,-4.792278565169345,-3.7342996246484073,0.00018823828896047103,0.027867276906105475,PyDESeq2,GSE173896,GSE227691
MT1G,-8.940624193285988,-3.7038072771655433,0.00021238763780477077,0.029548300076918846,PyDESeq2,GSE173896,GSE227691
MIF,-2.1451654140186642,-3.6955410872385213,0.00021941899126761387,0.029548300076918846,PyDESeq2,GSE173896,GSE227691
CDKN2AIPNL,-3.1884838224957455,-3.6945238442304285,0.00022029922134422545,0.029548300076918846,PyDESeq2,GSE173896,GSE227691
EIF1,-1.5997555982384617,-3.6920867664052532,0.00022242155173168951,0.029548300076918846,PyDESeq2,GSE173896,GSE227691
MRPL55,-2.2810474450250258,-3.6904315102301877,0.00022387396157814337,0.029548300076918846,PyDESeq2,GSE173896,GSE227691
POLD4,-3.599497516168161,-3.689072270340355,0.00022507328313835855,0.029548300076918846,PyDESeq2,GSE173896,GSE227691
PXN,-1.6214424249372112,-3.638347864573808,0.0002743926401936908,0.03501480709122677,PyDESeq2,GSE173896,GSE227691
TMEM259,-1.678024606876812,-3.6361185407145564,0.00027677700345177817,0.03501480709122677,PyDESeq2,GSE173896,GSE227691
DRAP1,-2.112890847822087,-3.6173144325283304,0.00029767560193382967,0.03602209833232283,PyDESeq2,GSE173896,GSE227691
ALCAM,1.0868928367034472,3.6167022000693403,0.00029838025218374296,0.03602209833232283,PyDESeq2,GSE173896,GSE227691
RAB11A,-1.6832332001642456,-3.613196073190837,0.0003024458201410765,0.03602209833232283,PyDESeq2,GSE173896,GSE227691
RBM23,-1.7759176095325573,-3.610635637166288,0.00030544751388431263,0.03602209833232283,PyDESeq2,GSE173896,GSE227691
EFNA1,-1.1204755158807407,-3.5903878406399587,0.00033018628918745155,0.038290603336104796,PyDESeq2,GSE173896,GSE227691
RSRP1,-1.6105800549765261,-3.571575995101872,0.0003548395521008044,0.04022591822665359,PyDESeq2,GSE173896,GSE227691
SCGB1A1,-3.6475926278364104,-3.56893354083465,0.0003584373282627943,0.04022591822665359,PyDESeq2,GSE173896,GSE227691
SNRNP35,-2.2058507095252016,-3.5555972163507668,0.0003771214622965507,0.041650970391419045,PyDESeq2,GSE173896,GSE227691
NENF,-1.9031069201370152,-3.54197228331715,0.000397147201917209,0.04234702737962938,PyDESeq2,GSE173896,GSE227691
RNF207,-3.057374228108513,-3.541590457689073,0.00039772246092725674,0.04234702737962938,PyDESeq2,GSE173896,GSE227691
DOHH,-3.0135808182692765,-3.5385146629590407,0.0004023849326672564,0.04234702737962938,PyDESeq2,GSE173896,GSE227691
SRSF5,-1.3242232710055437,-3.535004537218959,0.00040776815671675316,0.04234702737962938,PyDESeq2,GSE173896,GSE227691
ARL16,-2.172890637596831,-3.5235863778819305,0.0004257482992398398,0.04356406861927655,PyDESeq2,GSE173896,GSE227691
LINC01089,-3.5456806816851696,-3.5002065710704153,0.0004648977463810165,0.04688055825100163,PyDESeq2,GSE173896,GSE227691
CC2D1A,-2.2723203716943874,-3.483519328960992,0.000494867385566437,0.04896560741137008,PyDESeq2,GSE173896,GSE227691
DPYSL2,2.193364068232856,3.4809444763420263,0.000499649055218062,0.04896560741137008,PyDESeq2,GSE173896,GSE227691
SDR39U1,-2.6252127404248196,-3.476729252886238,0.0005075700894722065,0.048973881249968425,PyDESeq2,GSE173896,GSE227691
COL8A1,1.8589833567024154,3.4734513611133684,0.0005138104816395078,0.048973881249968425,PyDESeq2,GSE173896,GSE227691
SIK1,-3.075542501244241,-3.466992245272499,0.0005263170738452678,0.049488029727234775,PyDESeq2,GSE173896,GSE227691
RPL36A,-2.250734122016287,-3.4613684939965434,0.000537436620659601,0.049859786753993385,PyDESeq2,GSE173896,GSE227691
FIBP,-2.7185863877793977,-3.4557768916298968,0.0005487092946461612,0.050235779896684075,PyDESeq2,GSE173896,GSE227691
VDAC3,-1.7846508672216355,-3.4513332810671415,0.0005578242707359988,0.05025086018212201,PyDESeq2,GSE173896,GSE227691
PPM1L,3.316213888830347,3.4486875750463275,0.0005633180647032937,0.05025086018212201,PyDESeq2,GSE173896,GSE227691
AC027277.1,-1.756077933746948,-3.439665297227581,0.0005824339931658865,0.051298426891749856,PyDESeq2,GSE173896,GSE227691
AC008758.6,-3.8331551377829913,-3.4337821492589344,0.0005952223678430056,0.05176946544314541,PyDESeq2,GSE173896,GSE227691
SH2D3A,-2.0140297171703914,-3.3990766731126487,0.0006761375886725111,0.05740758276494379,PyDESeq2,GSE173896,GSE227691
CRACR2B,-3.008373144689549,-3.3976002853205736,0.0006797966662884727,0.05740758276494379,PyDESeq2,GSE173896,GSE227691
DUSP2,-4.4135718094203975,-3.395593939079183,0.0006847987021400308,0.05740758276494379,PyDESeq2,GSE173896,GSE227691
CHKB,-2.8514422870423437,-3.3896192702285197,0.0006998975500706595,0.05797484706418629,PyDESeq2,GSE173896,GSE227691
LRRC75B,-2.7528973867232795,-3.3837259232847354,0.0007150934783626673,0.05853671085232281,PyDESeq2,GSE173896,GSE227691
HSPA1A,-2.6199530430081284,-3.3736275356946708,0.0007418467220936569,0.060020575492182156,PyDESeq2,GSE173896,GSE227691
EHMT2,-3.157015451210422,-3.346427554122347,0.0008186006710852328,0.06546923528058678,PyDESeq2,GSE173896,GSE227691
SPRTN,-2.9602288442109845,-3.335332115170873,0.0008519758051258321,0.06736417786438113,PyDESeq2,GSE173896,GSE227691
