gene,log2fc,statistic,pvalue,fdr,method,group1,group2
LINC00486,-6.289939679005571,-7.326104130225715,2.3693971490817e-13,2.730493274601751e-09,PyDESeq2,GSE173896,GSE227691
GABARAP,-3.6393926816606377,-7.080457672912685,1.4367914581047815e-12,8.27879238159975e-09,PyDESeq2,GSE173896,GSE227691
RPL31,-2.3359221974953983,-6.790710468193901,1.1158266177886694e-11,3.513496176812456e-08,PyDESeq2,GSE173896,GSE227691
TMSB4X,-1.514538634493403,-6.777877656351561,1.2195404987200473e-11,3.513496176812456e-08,PyDESeq2,GSE173896,GSE227691
EEF1G,-5.033364749907803,-6.389130159722833,1.6683201199590308e-10,3.8451442124815746e-07,PyDESeq2,GSE173896,GSE227691
RPS17,-3.285626929707593,-6.046194029420599,1.4830747648923682e-09,2.6231967619295197e-06,PyDESeq2,GSE173896,GSE227691
DUSP2,-3.9008779488371053,-6.034616836507898,1.5934031007902324e-09,2.6231967619295197e-06,PyDESeq2,GSE173896,GSE227691
CDK2AP1,-3.7920237286018845,-5.803885596983354,6.479549549508654e-09,9.333791126067216e-06,PyDESeq2,GSE173896,GSE227691
LINC01116,-5.031878938851322,-5.508670447552875,3.615540514032551e-08,4.6294987648567904e-05,PyDESeq2,GSE173896,GSE227691
HSPB1,-1.8938432236560365,-5.477445357959584,4.315101939795605e-08,4.844680148577388e-05,PyDESeq2,GSE173896,GSE227691
CYTIP,-3.746343363061804,-5.465179313892215,4.6243909783366246e-08,4.844680148577388e-05,PyDESeq2,GSE173896,GSE227691
MT1G,-4.58500914926361,-5.1644003226056086,2.412109714626439e-07,0.00023164293626129237,PyDESeq2,GSE173896,GSE227691
RPL17,-2.9561816820347766,-5.147551304550465,2.639088370732286e-07,0.00023394503372552972,PyDESeq2,GSE173896,GSE227691
PYHIN1,-4.498126859981705,-5.038428035356066,4.693708347550533e-07,0.0003701501044868713,PyDESeq2,GSE173896,GSE227691
RPL36A,-2.498999661734437,-5.033422761124847,4.817989905677776e-07,0.0003701501044868713,PyDESeq2,GSE173896,GSE227691
MIF,-2.1674942951539924,-4.917983738708918,8.74401741611087e-07,0.0006297878543953854,PyDESeq2,GSE173896,GSE227691
MTRNR2L12,7.699282496419537,4.850087344891301,1.2340711938819663e-06,0.000836555084605634,PyDESeq2,GSE173896,GSE227691
HMGN3,-1.2192802801406994,-4.651779961355396,3.290821184256672e-06,0.0021068568515207713,PyDESeq2,GSE173896,GSE227691
NDUFB1,-1.3408582961312163,-4.606520368693633,4.094629698063629e-06,0.002469117006398472,PyDESeq2,GSE173896,GSE227691
KLRB1,-4.214508873348427,-4.597048763476626,4.285173561955001e-06,0.002469117006398472,PyDESeq2,GSE173896,GSE227691
COX7B,-1.5666110073532304,-4.549620073334019,5.374286038874609e-06,0.002949203443428143,PyDESeq2,GSE173896,GSE227691
AL158071.3,-3.9115467405724913,-4.526723789766142,5.990515591731378e-06,0.003023143688740281,PyDESeq2,GSE173896,GSE227691
RPL7,-1.6903452133955765,-4.525205131613695,6.033695317687128e-06,0.003023143688740281,PyDESeq2,GSE173896,GSE227691
EGLN2,-3.3305495629698143,-4.502350019938474,6.720617923634179e-06,0.0032270167063316786,PyDESeq2,GSE173896,GSE227691
GATD3A,-4.389127764471534,-4.493500329314332,7.006191304695247e-06,0.0032295739438123207,PyDESeq2,GSE173896,GSE227691
TJP2,-3.689055721323981,-4.446803624369496,8.715744552201187e-06,0.0038630861622910187,PyDESeq2,GSE173896,GSE227691
LINGO1,-5.1308948504221235,-4.395714628418919,1.1040890830956264e-05,0.004712415775405185,PyDESeq2,GSE173896,GSE227691
MRPL38,-3.834042381016302,-4.360008941634652,1.300571294719612e-05,0.005352779857267432,PyDESeq2,GSE173896,GSE227691
OST4,-1.3788680002805278,-4.278886543592278,1.878305698118232e-05,0.007463998229349829,PyDESeq2,GSE173896,GSE227691
UQCRQ,-1.1576113127090453,-4.267560683494669,1.976220227911954e-05,0.007591320635485785,PyDESeq2,GSE173896,GSE227691
RAB37,-4.195438892490056,-4.2387369324579645,2.247808697623369e-05,0.008356047558519906,PyDESeq2,GSE173896,GSE227691
HAUS7,-4.195737548671208,-4.222396020735201,2.4171891929423463e-05,0.008704902581083624,PyDESeq2,GSE173896,GSE227691
NDUFA3,-1.5723246248647875,-4.2062088691944775,2.5969024116417015e-05,0.009068697997502716,PyDESeq2,GSE173896,GSE227691
TRBC1,-3.4693769704853445,-4.179184188169181,2.9255667597160587e-05,0.009463406581377707,PyDESeq2,GSE173896,GSE227691
ATP5MPL,-1.4770781831409037,-4.177011948657754,2.9536351567149877e-05,0.009463406581377707,PyDESeq2,GSE173896,GSE227691
LINC01871,-4.860356655334767,-4.176182177918197,2.964424373999278e-05,0.009463406581377707,PyDESeq2,GSE173896,GSE227691
ATP5MD,-1.276771818106369,-4.165695772198598,3.104044171539977e-05,0.009463406581377707,PyDESeq2,GSE173896,GSE227691
AP000462.1,-2.8337028000654922,-4.164487567552775,3.1205262937552316e-05,0.009463406581377707,PyDESeq2,GSE173896,GSE227691
GNG10,-3.63321570113314,-4.154088573146074,3.2658666153043295e-05,0.009650217147376178,PyDESeq2,GSE173896,GSE227691
AC103591.3,-3.324991475006096,-4.141720533106571,3.447102068793815e-05,0.00993110106019498,PyDESeq2,GSE173896,GSE227691
SNRPD2,-1.5654479960501129,-4.131534240176875,3.603500013336067e-05,0.010128471744801179,PyDESeq2,GSE173896,GSE227691
CRIP1,-3.4340879332248333,-4.123291401083252,3.7349670367231145e-05,0.010248038126475519,PyDESeq2,GSE173896,GSE227691
ARHGAP26-AS1,-3.6822996484146637,-4.0966284378042,4.192109453699946e-05,0.011234853335915855,PyDESeq2,GSE173896,GSE227691
NPC2,-0.8681725200858101,-4.052858261554161,5.059565848032922e-05,0.013180874714358708,PyDESeq2,GSE173896,GSE227691
CD52,-2.9177836079894623,-4.0478158779436,5.169778770341033e-05,0.013180874714358708,PyDESeq2,GSE173896,GSE227691
MTRNR2L8,6.362556663225174,4.043702395023475,5.26136963606821e-05,0.013180874714358708,PyDESeq2,GSE173896,GSE227691
RGPD8,-2.7443978332063317,-4.014916681300393,5.946679835104504e-05,0.014570308355175842,PyDESeq2,GSE173896,GSE227691
RPL13A,-1.5739227466964327,-4.010117475954852,6.068854573485252e-05,0.014570308355175842,PyDESeq2,GSE173896,GSE227691
ITGAL,-3.536779859271663,-4.002014206089282,6.280552670726151e-05,0.014770834485193502,PyDESeq2,GSE173896,GSE227691
POLD4,-2.958625267267336,-3.9844370746181275,6.764027717282128e-05,0.015589731082791849,PyDESeq2,GSE173896,GSE227691
ATP5PO,-1.5141188516445954,-3.971073012611133,7.15496454575929e-05,0.016167414004966678,PyDESeq2,GSE173896,GSE227691
SEC61B,-1.151549344794513,-3.9648688104316023,7.343632387241694e-05,0.016274619159725633,PyDESeq2,GSE173896,GSE227691
POLR2L,-1.2335505094269086,-3.9503993623090006,7.802089908158327e-05,0.016964393226720106,PyDESeq2,GSE173896,GSE227691
IRF7,-2.658645266447398,-3.9315767306065816,8.439055209598216e-05,0.017753440450424412,PyDESeq2,GSE173896,GSE227691
SCGB1A1,-3.312048241697735,-3.9256825900305654,8.648413739620361e-05,0.017753440450424412,PyDESeq2,GSE173896,GSE227691
KRTCAP2,-1.4393112997810955,-3.9229184116745603,8.748278304649695e-05,0.017753440450424412,PyDESeq2,GSE173896,GSE227691
CHCHD3,-1.7748459946283803,-3.922013547341939,8.78120535989406e-05,0.017753440450424412,PyDESeq2,GSE173896,GSE227691
MRPL52,-1.5502395630289982,-3.9013675468554854,9.565079323814517e-05,0.01900482312545491,PyDESeq2,GSE173896,GSE227691
RPL36AL,-1.0889909080189017,-3.8933429386931544,9.88722249569727e-05,0.01931192407464667,PyDESeq2,GSE173896,GSE227691
