gene,log2fc,statistic,pvalue,fdr,method,group1,group2
CXCL8,-10.341446601697768,-8.086777848346907,6.12638614820558e-16,3.5900622828484696e-12,PyDESeq2,GSE173896,GSE227691
ATF7IP2,-6.249399834804268,-7.056393145799666,1.7087992870307737e-12,5.006781911000167e-09,PyDESeq2,GSE173896,GSE227691
CXCL2,-8.753139519534916,-6.559108672782027,5.413034531652958e-11,1.0573460785162112e-07,PyDESeq2,GSE173896,GSE227691
NLRP3,-6.782058092627148,-6.289659604045153,3.1816284521996637e-10,4.6610856824725075e-07,PyDESeq2,GSE173896,GSE227691
HBEGF,-6.569344004881934,-6.1214969198453435,9.270031120014062e-10,1.086447647265648e-06,PyDESeq2,GSE173896,GSE227691
VIM,3.108824035694943,5.8390578740075885,5.2496832890716155e-09,5.1271906789932775e-06,PyDESeq2,GSE173896,GSE227691
SLC39A8,-4.325193287164332,-5.652571917358762,1.5806462775703407e-08,1.3232267409374566e-05,PyDESeq2,GSE173896,GSE227691
ERVK3-1,-5.061920592656768,-5.6180805965414,1.9309043134115082e-08,1.4143874095739298e-05,PyDESeq2,GSE173896,GSE227691
SMAD9,-6.310950745071822,-5.575177862985729,2.472770883062198e-08,1.4415054372938277e-05,PyDESeq2,GSE173896,GSE227691
RPL30,3.3122794890541902,5.571538439323003,2.5249963775896555e-08,1.4415054372938277e-05,PyDESeq2,GSE173896,GSE227691
CASC15,-5.619369066843981,-5.5594734471852165,2.7058975785379017e-08,1.4415054372938277e-05,PyDESeq2,GSE173896,GSE227691
LINC00535,-7.0323839462492765,-5.507726788397669,3.634969658482162e-08,1.7750768498921222e-05,PyDESeq2,GSE173896,GSE227691
ZNF804A,-7.5548662646413245,-5.330021533759452,9.820112216532434e-08,4.426604429913851e-05,PyDESeq2,GSE173896,GSE227691
C1orf56,-3.6829659818954106,-5.295114159830958,1.1894208135875545e-07,4.978575691159335e-05,PyDESeq2,GSE173896,GSE227691
ATP2C1,-3.599082131025699,-5.155707925883106,2.526744855314544e-07,9.442646808661344e-05,PyDESeq2,GSE173896,GSE227691
CXCL3,-11.57813165473506,-5.151929685640855,2.5781970808631654e-07,9.442646808661344e-05,PyDESeq2,GSE173896,GSE227691
MGAM,-6.348449950755708,-5.0428066523663535,4.5875273548719395e-07,0.00015036326063968056,PyDESeq2,GSE173896,GSE227691
NT5E,-6.13764028967122,-5.041512503762544,4.618666709068686e-07,0.00015036326063968056,PyDESeq2,GSE173896,GSE227691
MT-ATP6,2.493259976934086,4.962957689895413,6.942771063419757e-07,0.00019437757991655244,PyDESeq2,GSE173896,GSE227691
PIM3,-3.356392894765683,-4.962295508023896,6.966489634217237e-07,0.00019437757991655244,PyDESeq2,GSE173896,GSE227691
