gene,log2fc,statistic,pvalue,fdr,method,group1,group2
RPS17,-3.536575431654602,-10.337626192826837,4.761867908181701e-25,7.011850494797554e-21,PyDESeq2,GSE173896,GSE227691
IL1B,-5.505822900183453,-9.948649212827986,2.5562932180264262e-23,1.8820708817719562e-19,PyDESeq2,GSE173896,GSE227691
IL3,-8.462332310641312,-8.856207851230876,8.278245842666211e-19,4.0632390011086654e-15,PyDESeq2,GSE173896,GSE227691
IDO1,-7.449355872204828,-8.069765955190908,7.043305117667304e-16,2.5928166964412763e-12,PyDESeq2,GSE173896,GSE227691
CXCL2,-6.172447931920034,-7.98478471814254,1.4076775632339693e-15,4.145610423724039e-12,PyDESeq2,GSE173896,GSE227691
CSF2RA,-7.027762835953613,-7.812008868947969,5.628359920578104e-15,1.2873377974112337e-11,PyDESeq2,GSE173896,GSE227691
CRHBP,-7.654679008153756,-7.801454397473755,6.11977221180213e-15,1.2873377974112337e-11,PyDESeq2,GSE173896,GSE227691
ZNF385D,-5.382815443110974,-7.319777289287885,2.4838283019764993e-13,4.571796468325494e-10,PyDESeq2,GSE173896,GSE227691
PRSS57,-6.385379555143298,-6.980435892735079,2.9426561600843593e-12,4.814512439693577e-09,PyDESeq2,GSE173896,GSE227691
EEF1G,-4.814450052480901,-6.952836517491586,3.5801349724512623e-12,5.271748746934484e-09,PyDESeq2,GSE173896,GSE227691
PAPSS2,-5.804856839283023,-6.800077918194632,1.0456258227753278e-11,1.3997127491242457e-08,PyDESeq2,GSE173896,GSE227691
KYNU,-4.523486898316936,-6.6934073862514785,2.180330429699717e-11,2.6754471314440276e-08,PyDESeq2,GSE173896,GSE227691
KIAA1211,-5.640410418879317,-6.462733193014965,1.0282850634854506e-10,1.1519452533449373e-07,PyDESeq2,GSE173896,GSE227691
NKAIN2,-4.678691773943333,-6.453185985635586,1.0952280846743037e-10,1.1519452533449373e-07,PyDESeq2,GSE173896,GSE227691
HRH1,-5.017011868187938,-6.429686710226444,1.2786721014412262e-10,1.2116661972115814e-07,PyDESeq2,GSE173896,GSE227691
LINC00486,-4.096191878659317,-6.425244039287217,1.3165812669192056e-10,1.2116661972115814e-07,PyDESeq2,GSE173896,GSE227691
MPP1,-4.002037554570291,-6.288562381974975,3.2041931031579036e-10,2.7753966731764783e-07,PyDESeq2,GSE173896,GSE227691
RPL7,-2.047549065025371,-6.176332945921108,6.560755831671939e-10,5.367062756742739e-07,PyDESeq2,GSE173896,GSE227691
H2AFY,-2.079721327231734,-6.10786548867074,1.009723932615066e-09,7.825360477766762e-07,PyDESeq2,GSE173896,GSE227691
CASC15,-4.2888523201371855,-6.050152850787175,1.4470846942815604e-09,1.065416106164799e-06,PyDESeq2,GSE173896,GSE227691
RPL31,-1.9566003179607474,-6.036342460461667,1.576465089523981e-09,1.105402306820982e-06,PyDESeq2,GSE173896,GSE227691
ZNF804A,-5.85130580610914,-6.019859263760813,1.7456878530819785e-09,1.1684206198469153e-06,PyDESeq2,GSE173896,GSE227691
HNRNPA1,-1.5518904989675155,-6.008349493596711,1.874214868450952e-09,1.1999049538234899e-06,PyDESeq2,GSE173896,GSE227691
AL157895.1,-6.572363373022649,-5.919322945872743,3.232696398762574e-09,1.983393936324121e-06,PyDESeq2,GSE173896,GSE227691
BCL11A,-5.571128590233596,-5.900415955970241,3.6258628170251862e-09,2.1356331992278347e-06,PyDESeq2,GSE173896,GSE227691
AC092171.3,-6.950452184564329,-5.808788796920936,6.29264099721175e-09,3.5638130263055003e-06,PyDESeq2,GSE173896,GSE227691
NAV1,-3.7146148880727985,-5.781738561203901,7.393254323679669e-09,3.913969278313995e-06,PyDESeq2,GSE173896,GSE227691
COL24A1,-4.473297539136505,-5.780621370148915,7.442522227014727e-09,3.913969278313995e-06,PyDESeq2,GSE173896,GSE227691
CXCL3,-8.152209387594157,-5.735718340587933,9.709991203268008e-09,4.930331740280049e-06,PyDESeq2,GSE173896,GSE227691
PYCR1,-6.8726268069725345,-5.729264717319786,1.0086688497107751e-08,4.9508829373303875e-06,PyDESeq2,GSE173896,GSE227691
CD86,-5.006869924496373,-5.649529968076654,1.6088713721488255e-08,7.642139017706921e-06,PyDESeq2,GSE173896,GSE227691
CPVL,-3.9172212506927337,-5.62358357490034,1.8703621044149506e-08,8.606588121096921e-06,PyDESeq2,GSE173896,GSE227691
LRRTM4,-4.802596516423508,-5.5947873242296895,2.20892373354857e-08,9.856485447425058e-06,PyDESeq2,GSE173896,GSE227691
CD7,-1.8596411744615906,-5.496445472014007,3.875228455439672e-08,1.6783158531279167e-05,PyDESeq2,GSE173896,GSE227691
PLAUR,-3.3628246567876396,-5.48863906566071,4.050423148777629e-08,1.7040708818785882e-05,PyDESeq2,GSE173896,GSE227691
FCER1A,-5.926657301934733,-5.470333586080186,4.491893051177883e-08,1.8373090327387316e-05,PyDESeq2,GSE173896,GSE227691
SLC8A1,-3.719576119643426,-5.422957092728084,5.862106774941033e-08,2.3329600611082895e-05,PyDESeq2,GSE173896,GSE227691
THRB,-4.89958863413912,-5.412581384892678,6.212260436645491e-08,2.4072509192001276e-05,PyDESeq2,GSE173896,GSE227691
RPL17,-2.3594831539511874,-5.387512933781631,7.143933621491772e-08,2.69729288657606e-05,PyDESeq2,GSE173896,GSE227691
BEX1,-6.017726717457113,-5.382452354137505,7.347782975386714e-08,2.704902607814234e-05,PyDESeq2,GSE173896,GSE227691
L3MBTL4,-3.4560603767260574,-5.363999155936077,8.13992840414296e-08,2.923425506122075e-05,PyDESeq2,GSE173896,GSE227691
PLXDC2,-3.8146589995061437,-5.322792315772678,1.0218638915922763e-07,3.560693396863135e-05,PyDESeq2,GSE173896,GSE227691
AREG,-3.1171009483113834,-5.319628237799654,1.0397950157223415e-07,3.560693396863135e-05,PyDESeq2,GSE173896,GSE227691
EEF2,-1.4853989012493778,-5.241195905334157,1.595392249810312e-07,5.209677636933965e-05,PyDESeq2,GSE173896,GSE227691
MEF2C,-3.910976864125942,-5.2376335403612195,1.6264860860693354e-07,5.209677636933965e-05,PyDESeq2,GSE173896,GSE227691
XKR4,-4.901414338288496,-5.237521728410804,1.6274714519454152e-07,5.209677636933965e-05,PyDESeq2,GSE173896,GSE227691
RPL36A,-1.437365704498799,-5.198213797067747,2.012126266629619e-07,6.303948782153434e-05,PyDESeq2,GSE173896,GSE227691
AP003354.2,-4.908793905881237,-5.19422087107341,2.0557895946202042e-07,6.306562870996355e-05,PyDESeq2,GSE173896,GSE227691
MS4A4E,-6.252476390865365,-5.173271616377376,2.3003024394779295e-07,6.824889326882085e-05,PyDESeq2,GSE173896,GSE227691
MMP19,-5.4380385440077035,-5.171884380967778,2.3174496865473972e-07,6.824889326882085e-05,PyDESeq2,GSE173896,GSE227691
EGFL7,-4.593009716234056,-5.161117627822716,2.4547986757113493e-07,7.087629509774435e-05,PyDESeq2,GSE173896,GSE227691
DAPK1,-3.436872602923107,-5.1185602218470985,3.0787693239440005e-07,8.71824582597604e-05,PyDESeq2,GSE173896,GSE227691
EBI3,-5.1386469513205535,-5.113187050582634,3.16768347723872e-07,8.800780981573614e-05,PyDESeq2,GSE173896,GSE227691
TPT1,1.2643643526570154,5.021125609761635,5.136955105966895e-07,0.00014007715543585652,PyDESeq2,GSE173896,GSE227691
UBE2E2,-3.5036950034217402,-5.012028815107315,5.385913620006131e-07,0.0001441955964628914,PyDESeq2,GSE173896,GSE227691
AC087564.1,-5.496191356442432,-5.007934713418226,5.501718860182214e-07,0.00014430014699999403,PyDESeq2,GSE173896,GSE227691
ZNF521,-4.878604975891378,-5.005013481929246,5.585812141935253e-07,0.00014430014699999403,PyDESeq2,GSE173896,GSE227691
IL18,-3.8636182368320675,-4.997656884141981,5.803112211933076e-07,0.00014553637187843244,PyDESeq2,GSE173896,GSE227691
ZNF652,-1.3970808750030932,-4.9967208498371924,5.831338499713083e-07,0.00014553637187843244,PyDESeq2,GSE173896,GSE227691
FES,-3.448306271471198,-4.988436611531582,6.086987710065859e-07,0.00014760519140605508,PyDESeq2,GSE173896,GSE227691
AC112206.2,-4.569390520833976,-4.987558390401865,6.114714211048801e-07,0.00014760519140605508,PyDESeq2,GSE173896,GSE227691
SEMA3C,-4.9106026608214925,-4.97274286439301,6.601219378952998e-07,0.00015677896025013372,PyDESeq2,GSE173896,GSE227691
CKS1B,-2.747258908415321,-4.9688049800637835,6.736678042914155e-07,0.00015745648282843006,PyDESeq2,GSE173896,GSE227691
NFKBID,-2.3145185430769946,-4.944557034543595,7.631719644639065e-07,0.00017558917463642224,PyDESeq2,GSE173896,GSE227691
C1orf122,-2.2691157131975936,-4.940136863237528,7.806775507662888e-07,0.00017685349130820927,PyDESeq2,GSE173896,GSE227691
KLRF1,-2.8953898962024818,-4.932199118090668,8.130896757091445e-07,0.00018140523446692655,PyDESeq2,GSE173896,GSE227691
CLIC2,-4.466570598385866,-4.920388390323817,8.637264266817439e-07,0.00018786053509562895,PyDESeq2,GSE173896,GSE227691
EIF6,-2.0497917264070793,-4.9195262553020145,8.675393131750607e-07,0.00018786053509562895,PyDESeq2,GSE173896,GSE227691
DDAH2,-2.606613186150244,-4.906282859195283,9.281864061525026e-07,0.00019808035986370435,PyDESeq2,GSE173896,GSE227691
ERI3,-2.3719304757352866,-4.8943341124703545,9.863913833465264e-07,0.00020749447313968004,PyDESeq2,GSE173896,GSE227691
CHCHD3,-1.7202537268489315,-4.816334114295649,1.4621961427720463e-06,0.0003032512422861744,PyDESeq2,GSE173896,GSE227691
TUBB,-1.918817070145791,-4.806204849668045,1.5382229189901966e-06,0.0003145879511407034,PyDESeq2,GSE173896,GSE227691
FMNL2,-3.3383708916872092,-4.798915504774042,1.5952707242319993e-06,0.0003217857727988519,PyDESeq2,GSE173896,GSE227691
C1orf56,-2.6246083351919194,-4.793568937481818,1.6384012249008702e-06,0.0003260197031981799,PyDESeq2,GSE173896,GSE227691
NECTIN2,-4.117182785034296,-4.787948153048437,1.6849516257612367e-06,0.0003308121691911228,PyDESeq2,GSE173896,GSE227691
ANKRD44,1.3291350064077958,4.7839815544752495,1.718564619821411e-06,0.0003329718950903984,PyDESeq2,GSE173896,GSE227691
CD160,-3.4161790347687804,-4.76523844888497,1.8863044055037515e-06,0.0003607250957278278,PyDESeq2,GSE173896,GSE227691
CYYR1,-5.645049326963765,-4.760813137615553,1.92814513130057e-06,0.0003639991930564217,PyDESeq2,GSE173896,GSE227691
AC007991.3,-5.204713297620212,-4.705789279870274,2.5288562718260125e-06,0.0004713596025650384,PyDESeq2,GSE173896,GSE227691
LTA,-3.995235794082935,-4.694508243813376,2.672488338890816e-06,0.0004919048848770908,PyDESeq2,GSE173896,GSE227691
ZNF331,2.5345317376541323,4.688336763100166,2.754344926817979e-06,0.0005007127042888239,PyDESeq2,GSE173896,GSE227691
IGFBP7,-2.883350898250928,-4.681026673396797,2.8544179335723053e-06,0.0005125768789250268,PyDESeq2,GSE173896,GSE227691
GATA2,-7.395229729762634,-4.677670999829846,2.9015158497554406e-06,0.000514756878164444,PyDESeq2,GSE173896,GSE227691
IRF8,-3.220219394506437,-4.668361354958724,3.0361155647652563e-06,0.0005322238296567666,PyDESeq2,GSE173896,GSE227691
SOCS2,-2.6956660441131137,-4.632316465604751,3.615968519074541e-06,0.0006264133699220309,PyDESeq2,GSE173896,GSE227691
CTTNBP2,-5.040408077119847,-4.609373436506927,4.038843104589608e-06,0.0006915344734311858,PyDESeq2,GSE173896,GSE227691
ALDH1A1,-4.2237037922972,-4.606456490420511,4.095887134901971e-06,0.0006932406673727761,PyDESeq2,GSE173896,GSE227691
GRK3,-3.046839341233545,-4.5643053451442634,5.011509403591047e-06,0.00083857359054407,PyDESeq2,GSE173896,GSE227691
P2RX1,-3.843753493567556,-4.501241750868494,6.755761311765177e-06,0.001117736913660025,PyDESeq2,GSE173896,GSE227691
BST1,-4.849869353710711,-4.497519536796732,6.875084526045607e-06,0.0011248402182891285,PyDESeq2,GSE173896,GSE227691
SELENOK,-1.6988002180587227,-4.492413005660764,7.0420687794966944e-06,0.0011279430061443842,PyDESeq2,GSE173896,GSE227691
LINGO1,-4.8731344094942095,-4.492256417932817,7.047250021411432e-06,0.0011279430061443842,PyDESeq2,GSE173896,GSE227691
FABP5,-2.4182438991899597,-4.472720450593375,7.72307136858601e-06,0.0012228196333594517,PyDESeq2,GSE173896,GSE227691
ST3GAL6,-4.97521533024913,-4.443538750613724,8.849120950056419e-06,0.0013862053828678806,PyDESeq2,GSE173896,GSE227691
CENPW,-3.892622224127418,-4.421830330729042,9.786829727146027e-06,0.001516958607707634,PyDESeq2,GSE173896,GSE227691
