gene,log2fc,statistic,pvalue,fdr,method,group1,group2
MT1X,-6.120056441478553,-17.348098791695673,2.038808430638673e-67,3.604205543683046e-63,PyDESeq2,GSE173896,GSE227691
MTRNR2L12,9.616198702473634,17.29664591015395,4.985842256108636e-67,4.406985970174424e-63,PyDESeq2,GSE173896,GSE227691
EEF1G,-5.478100105941585,-16.93417751848986,2.5185398224787837e-64,1.4840915660593313e-60,PyDESeq2,GSE173896,GSE227691
GPR183,-4.792902755105447,-15.493555731411766,3.834816611984765e-54,1.694797201666667e-50,PyDESeq2,GSE173896,GSE227691
CAMK4,-4.959700152673102,-14.9073552234535,2.952163710004953e-50,1.0437670013093512e-46,PyDESeq2,GSE173896,GSE227691
RPS17,-4.648021152095311,-14.589240078411592,3.288401280714934e-48,9.688726306746434e-45,PyDESeq2,GSE173896,GSE227691
ICOS,-3.1440372081999173,-14.133991353357144,2.344693757380521e-45,5.92135660613898e-42,PyDESeq2,GSE173896,GSE227691
PDE4B,-3.8293796003484943,-13.24331999408962,4.931948839789364e-40,1.0898373948724549e-36,PyDESeq2,GSE173896,GSE227691
ERGIC3,-1.7797394088378011,-12.031688461811724,2.4215715484176087e-33,4.756504648102943e-30,PyDESeq2,GSE173896,GSE227691
MTRNR2L8,7.407369045805881,11.878382865696148,1.5330446269180666e-32,2.710116291465758e-29,PyDESeq2,GSE173896,GSE227691
JAML,-4.444202155081165,-11.698746492938612,1.293500710318677e-31,2.078773232455779e-28,PyDESeq2,GSE173896,GSE227691
RPL31,-2.8696829060576814,-11.631090204961781,2.8641598606862924e-31,4.2193848347676905e-28,PyDESeq2,GSE173896,GSE227691
TRAT1,-5.145743721173213,-11.616372022071477,3.4028162533705612e-31,4.627306594391137e-28,PyDESeq2,GSE173896,GSE227691
FXYD5,-1.9235669192735962,-11.437849069414051,2.705089042039568e-30,3.4157545775125344e-27,PyDESeq2,GSE173896,GSE227691
BOD1L1,1.4974909441459578,11.17905492366733,5.163693779681105e-29,6.085585242480171e-26,PyDESeq2,GSE173896,GSE227691
RPL7,-2.937371899867462,-11.153180823811901,6.909151644344792e-29,7.633748923045451e-26,PyDESeq2,GSE173896,GSE227691
PLP2,-2.9019700517884663,-11.056724939740644,2.033890034443095e-28,2.115006354640296e-25,PyDESeq2,GSE173896,GSE227691
SIT1,-5.436099579682227,-10.995147549331707,4.032534520825298e-28,3.9603969588416453e-25,PyDESeq2,GSE173896,GSE227691
TSHZ2,-4.369130915224064,-10.98003765807524,4.767250421410437e-28,4.435550155247038e-25,PyDESeq2,GSE173896,GSE227691
COTL1,-3.4116335961201147,-10.560930327881831,4.521580804376478e-26,3.996625272988369e-23,PyDESeq2,GSE173896,GSE227691
MT1F,-3.795018258481961,-10.543141527482875,5.464248178731336e-26,4.599856157314884e-23,PyDESeq2,GSE173896,GSE227691
FAAH2,-5.472966309037919,-10.367610002932818,3.4812259045365633e-25,2.7973232518362437e-22,PyDESeq2,GSE173896,GSE227691
DDX39B,2.0382247509402,10.271769573415906,9.445594669118629e-25,7.259966198290396e-22,PyDESeq2,GSE173896,GSE227691
