gene,log2fc,statistic,pvalue,fdr,method,group1,group2
MTRNR2L12,6.316720137199823,8.825774099342404,1.087052548838226e-18,7.834387719477094e-15,PyDESeq2,GSE173896,GSE227691
LINC00486,-5.788235774441924,-7.860313346434562,3.831737050000145e-15,1.3807664459675523e-11,PyDESeq2,GSE173896,GSE227691
RPS17,-2.838388975714088,-6.898017047196105,5.2733420005246435e-12,1.2668325265927037e-08,PyDESeq2,GSE173896,GSE227691
CRIP1,-2.3495811021063173,-6.560755646987484,5.353578668633311e-11,9.645810366210069e-08,PyDESeq2,GSE173896,GSE227691
PLCG2,4.144455732801577,6.094200546282655,1.099857076791487e-09,1.5853339904872493e-06,PyDESeq2,GSE173896,GSE227691
NDUFA13,-1.9214806146882508,-5.788209036795367,7.1140846337703985e-09,8.545201325930545e-06,PyDESeq2,GSE173896,GSE227691
MTRNR2L8,7.026705221908909,5.320511425425972,1.0347594994105659e-07,0.00010653588160359927,PyDESeq2,GSE173896,GSE227691
B2M,-1.4424202094352743,-5.257939362464067,1.456785347065298e-07,0.00013123814995374502,PyDESeq2,GSE173896,GSE227691
RPL17,-2.5674466517402053,-5.177484076264317,2.2489813273679908e-07,0.00018009342695934568,PyDESeq2,GSE173896,GSE227691
RPL31,-1.6066168192898869,-5.119843225214084,3.05789757344336e-07,0.00022038267811806296,PyDESeq2,GSE173896,GSE227691
RPL36A,-2.1847697235171535,-5.026958936777349,4.983190054923827e-07,0.0003264895520530547,PyDESeq2,GSE173896,GSE227691
RPL7,-1.5283016858151082,-4.862805445452142,1.1573358937673132e-06,0.0006950766488650856,PyDESeq2,GSE173896,GSE227691
SPDYE2,-4.011107441666971,-4.8087195724977745,1.5190011936648177e-06,0.0008421108925186415,PyDESeq2,GSE173896,GSE227691
GNLY,-3.8296931771749634,-4.781030010830928,1.7439932234318687e-06,0.0008977827972338199,PyDESeq2,GSE173896,GSE227691
MT-ND2,-1.4149243748417273,-4.737857532046053,2.1598956740367024e-06,0.0010377578748521675,PyDESeq2,GSE173896,GSE227691
MT-CO1,-1.00411926775383,-4.641589489705242,3.4573922374013867e-06,0.001557339115934487,PyDESeq2,GSE173896,GSE227691
MT-ATP8,2.6427288165094542,4.452760138674916,8.477343806292553e-06,0.0035938951065853193,PyDESeq2,GSE173896,GSE227691
GABARAP,-2.4112626838744515,-4.301387139683117,1.6973221777266807e-05,0.006473168358826537,PyDESeq2,GSE173896,GSE227691
MCF2L2,-2.0734509313404055,-4.300187309780408,1.706538071565203e-05,0.006473168358826537,PyDESeq2,GSE173896,GSE227691
CNKSR3,-2.59212957407502,-4.241344008745768,2.2218528553113478e-05,0.008006446764114442,PyDESeq2,GSE173896,GSE227691
KRTCAP2,-1.782746417705319,-4.098087186811145,4.165783791433801e-05,0.014296573230887335,PyDESeq2,GSE173896,GSE227691
AK1,-2.8992657662652412,-4.0459082282956045,5.2120650273132584e-05,0.01707425120538484,PyDESeq2,GSE173896,GSE227691
MRPS31,-1.1660126984199517,-4.003129077345657,6.251017435950362e-05,0.01958742724386707,PyDESeq2,GSE173896,GSE227691
YWHAB,2.1073504702795804,3.8256824447926094,0.00013041030945251216,0.03785496072392368,PyDESeq2,GSE173896,GSE227691
DUSP2,-4.383511616047652,-3.823982629616971,0.00013131317026475537,0.03785496072392368,PyDESeq2,GSE173896,GSE227691
CCL4L2,-4.744369679233045,-3.7425696419439456,0.0001821480291037531,0.049852164992396496,PyDESeq2,GSE173896,GSE227691
SRGN,-2.7339750750934315,-3.7362781909881186,0.00018676404256898923,0.049852164992396496,PyDESeq2,GSE173896,GSE227691
CALM1,1.0274182224702197,3.7118291275305766,0.00020576688348097517,0.05296292604454958,PyDESeq2,GSE173896,GSE227691
CDHR4,-1.0575736449652857,-3.688973767210566,0.00022516043105245888,0.05595624919293349,PyDESeq2,GSE173896,GSE227691
CCL3,-4.003979203296795,-3.6333990909692737,0.00027971186836142707,0.06719611450936015,PyDESeq2,GSE173896,GSE227691
TMSB4X,-1.5044866541680753,-3.524699456486445,0.0004239635060307364,0.0985646770310812,PyDESeq2,GSE173896,GSE227691
PAQR7,-2.1543100838274754,-3.416657449461538,0.0006339499310250189,0.14277741102804098,PyDESeq2,GSE173896,GSE227691
CYBRD1,-3.027651680227161,-3.4009665175437136,0.0006714805182415945,0.14664727560506582,PyDESeq2,GSE173896,GSE227691
MARCKS,1.155000788282334,3.37585945352219,0.0007358549903047925,0.1559796151507835,PyDESeq2,GSE173896,GSE227691
NDUFA7,-1.8340084374389942,-3.365412049012404,0.0007642942887889997,0.15737911255149487,PyDESeq2,GSE173896,GSE227691
CXCL8,-4.245941934043105,-3.341485263067459,0.0008333144008851284,0.16682491353275336,PyDESeq2,GSE173896,GSE227691
AGR3,-0.9919995050767846,-3.3127818065150083,0.0009237301388518472,0.17288746292456916,PyDESeq2,GSE173896,GSE227691
ITK,-4.167113780303441,-3.3114937353537948,0.0009279931774173403,0.17288746292456916,PyDESeq2,GSE173896,GSE227691
RHOU,1.7821778286809415,3.3092196219604304,0.000935564181220785,0.17288746292456916,PyDESeq2,GSE173896,GSE227691
LINC02231,2.51760365120132,3.2884910980348927,0.0010072596979506505,0.18148301607825848,PyDESeq2,GSE173896,GSE227691
IFITM3,-1.303520512134081,-3.280270372390552,0.0010370764850796354,0.18229781043826665,PyDESeq2,GSE173896,GSE227691
COX7A2,-1.0547192656518125,-3.245633605099286,0.0011718955999052661,0.20109170448850602,PyDESeq2,GSE173896,GSE227691
KAZN,-1.6483012767281826,-3.2013008015558033,0.0013680863174524258,0.22929762999720077,PyDESeq2,GSE173896,GSE227691
COL4A5,1.680520725355614,3.185832997222269,0.00144337889659141,0.2364189024485066,PyDESeq2,GSE173896,GSE227691
SNHG9,-2.056908856737284,-3.146319473326215,0.0016533929593554196,0.2545536248693895,PyDESeq2,GSE173896,GSE227691
IFI27,-1.5034655399001795,-3.1439949652530803,0.00166658307054399,0.2545536248693895,PyDESeq2,GSE173896,GSE227691
RIPOR2,1.200422166601185,3.1410110593533713,0.001683656745050148,0.2545536248693895,PyDESeq2,GSE173896,GSE227691
HSP90AB1,0.8745741559830791,3.1389790152117207,0.0016953758836867898,0.2545536248693895,PyDESeq2,GSE173896,GSE227691
TRABD,-2.550116973903802,-3.132166587138814,0.0017352138828860403,0.2552180908971366,PyDESeq2,GSE173896,GSE227691
SCGB3A1,-4.393170551176736,-3.1115359079671387,0.0018611683745234765,0.2682688095038139,PyDESeq2,GSE173896,GSE227691
UBXN11,-1.044480201361088,-3.091932196526184,0.0019885826518303163,0.2766285580858694,PyDESeq2,GSE173896,GSE227691
RNASE4,-2.844452607122055,-3.090836889267222,0.0019959324296469003,0.2766285580858694,PyDESeq2,GSE173896,GSE227691
CD74,-1.4825722749492094,-3.0668130053190525,0.002163541581000998,0.2804881829037639,PyDESeq2,GSE173896,GSE227691
IFI6,-1.7724070426782361,-3.065413414408256,0.0021736930608370775,0.2804881829037639,PyDESeq2,GSE173896,GSE227691
MIF,-1.2818545687806602,-3.0603356539735986,0.0022108906156899123,0.2804881829037639,PyDESeq2,GSE173896,GSE227691
TMEM238,2.2070836032395835,3.0544968983658167,0.0022543834560179144,0.2804881829037639,PyDESeq2,GSE173896,GSE227691
PRR29,-1.1860591154166829,-3.0541811190448267,0.0022567578895832606,0.2804881829037639,PyDESeq2,GSE173896,GSE227691
N4BP1,2.1657430120425842,3.0541099230013944,0.002257293549107577,0.2804881829037639,PyDESeq2,GSE173896,GSE227691
RPL13A,-0.876605429355539,-3.045724205957363,0.0023212064419955093,0.2835412682620616,PyDESeq2,GSE173896,GSE227691
CD53,-3.0387502791671053,-3.0134659013291016,0.0025828206442892595,0.3055341738722015,PyDESeq2,GSE173896,GSE227691
TXN,-0.8737484506305635,-3.012414659372145,0.0025917829902003587,0.3055341738722015,PyDESeq2,GSE173896,GSE227691
UQCRQ,-0.9815363469181397,-3.0034138060651827,0.0026696915992377186,0.3055341738722015,PyDESeq2,GSE173896,GSE227691
IFITM1,-5.499686633415183,-3.003284372499214,0.0026708273836476616,0.3055341738722015,PyDESeq2,GSE173896,GSE227691
UBA7,-3.0874512977263957,-2.9932664758854957,0.0027600864260180977,0.3108116073798817,PyDESeq2,GSE173896,GSE227691
FOSB,-1.650904303962282,-2.9846693061451757,0.002838850492372445,0.31219118425724124,PyDESeq2,GSE173896,GSE227691
SCGB3A2,-4.932245139564601,-2.982507871440949,0.002858972965308439,0.31219118425724124,PyDESeq2,GSE173896,GSE227691
DNAH5,0.8368626559349371,2.9668565272876855,0.0030086131648561464,0.3236279862554962,PyDESeq2,GSE173896,GSE227691
SMIM8,-1.3512453701007228,-2.9439624362084036,0.0032403932638374036,0.3387973120357887,PyDESeq2,GSE173896,GSE227691
ANGPTL1,-2.108328268064937,-2.9436511384125903,0.0032436540211557402,0.3387973120357887,PyDESeq2,GSE173896,GSE227691
RPLP2,-0.9039140916663687,-2.9190414510189147,0.003511095327839731,0.36149234325344204,PyDESeq2,GSE173896,GSE227691
CXCR4,-2.8396672972665367,-2.8998441548512397,0.0037334823666874614,0.37504821288029605,PyDESeq2,GSE173896,GSE227691
HSP90AA1,0.6792506732874466,2.8987245215334725,0.003746839368305996,0.37504821288029605,PyDESeq2,GSE173896,GSE227691
HLA-B,-0.9268352189030514,-2.894100564698688,0.0038024635759343344,0.37540212317477734,PyDESeq2,GSE173896,GSE227691
ECI2,1.288602714949512,2.885794760701273,0.0039042667068360237,0.3770514230210402,PyDESeq2,GSE173896,GSE227691
PET100,-1.1201872306332255,-2.8800528160625567,0.003976085567542033,0.3770514230210402,PyDESeq2,GSE173896,GSE227691
SPNS1,-1.9393832771947028,-2.8800499614089397,0.003976121569251985,0.3770514230210402,PyDESeq2,GSE173896,GSE227691
TCIM,-4.604205254874709,-2.871148796016816,0.004089829624077952,0.3794600340561271,PyDESeq2,GSE173896,GSE227691
MIR4458HG,-2.0590630698585657,-2.8655571999171836,0.004162760614361167,0.3794600340561271,PyDESeq2,GSE173896,GSE227691
ARHGAP18,0.9043318316891571,2.858880775072438,0.004251385363970428,0.3794600340561271,PyDESeq2,GSE173896,GSE227691
FABP5,-2.7710944547965832,-2.8584531191784808,0.00425712008571649,0.3794600340561271,PyDESeq2,GSE173896,GSE227691
RPS10,-1.0239464332532873,-2.8566325198005242,0.004281612298189178,0.3794600340561271,PyDESeq2,GSE173896,GSE227691
UBE2M,1.9555194267860252,2.853986936496442,0.0043174306636051644,0.3794600340561271,PyDESeq2,GSE173896,GSE227691
RPL7A,0.8078566852953734,2.8479100540062308,0.004400736036595981,0.3821217423584004,PyDESeq2,GSE173896,GSE227691
DEK,1.2020654280432421,2.8257867524647176,0.004716465157880475,0.4011157992528397,PyDESeq2,GSE173896,GSE227691
MALAT1,-0.8090560260713254,-2.824814777397199,0.004730795467807878,0.4011157992528397,PyDESeq2,GSE173896,GSE227691
PLTP,-2.1954810570269525,-2.814250460558003,0.004889111958530126,0.40754887250266414,PyDESeq2,GSE173896,GSE227691
TFPI,1.4557989667076559,2.812240796810683,0.0049197657704636855,0.40754887250266414,PyDESeq2,GSE173896,GSE227691
LENG8,-1.3393009567845453,-2.806879388427517,0.005002396771422266,0.4096849264959121,PyDESeq2,GSE173896,GSE227691
RAB25,2.1118406038388757,2.7972497133101157,0.005153968203713244,0.417355604990577,PyDESeq2,GSE173896,GSE227691
RPS27,-0.7588485434897209,-2.7926797577641835,0.005227341451303247,0.41859388710602785,PyDESeq2,GSE173896,GSE227691
ID3,-1.953538047908007,-2.7774510379012205,0.005478709372849766,0.4339017412102007,PyDESeq2,GSE173896,GSE227691
AL627171.2,3.2159049770513644,2.7679760297082026,0.005640560410053962,0.4399259595535501,PyDESeq2,GSE173896,GSE227691
KCTD12,1.0994738755429823,2.764639650511381,0.005698570886628441,0.4399259595535501,PyDESeq2,GSE173896,GSE227691
AC026979.2,-2.6583905508218195,-2.7623951210748388,0.005737899292081825,0.4399259595535501,PyDESeq2,GSE173896,GSE227691
AC004554.2,1.4305982865343527,2.7587977006028583,0.005801443654185817,0.44011583595491777,PyDESeq2,GSE173896,GSE227691
