gene,log2fc,statistic,pvalue,fdr,method,group1,group2
CCL3,-6.764881425296209,-4.1479395248321165,3.3548098354132616e-05,0.04354543166366413,PyDESeq2,GSE173896,GSE227691
GNAI2,2.7368725010357906,3.108253991679239,0.001881962530913362,0.7047521575912034,PyDESeq2,GSE173896,GSE227691
RPS17,-3.0705238385959697,-3.0339535872534884,0.0024137156073467266,0.7047521575912034,PyDESeq2,GSE173896,GSE227691
VIM,1.7998480408283846,2.943828548472784,0.0032417953341978127,0.7047521575912034,PyDESeq2,GSE173896,GSE227691
IL1B,-4.936552893190018,-2.9295746531396363,0.003394262695375751,0.7047521575912034,PyDESeq2,GSE173896,GSE227691
RPL17,-3.645862805698743,-2.914761726810417,0.0035596019722629697,0.7047521575912034,PyDESeq2,GSE173896,GSE227691
CXCL2,-4.304101920032638,-2.8942489900240758,0.0038006664893208194,0.7047521575912034,PyDESeq2,GSE173896,GSE227691
TPT1,1.4733259514404449,2.751391378870528,0.0059342696476230436,0.9628352503268388,PyDESeq2,GSE173896,GSE227691
APOC1,-3.0946554469293512,-2.6823710883738405,0.007310231991569613,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
GNAS,2.5352524554881226,2.5508791279917213,0.01074515842955018,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
CXCL8,-4.60063834341341,-2.5241555607802795,0.011597659500409028,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
NFKBIA,-2.1888618714167474,-2.513592058782826,0.011950858272894362,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
RPL36A,-2.1886139418925095,-2.4510821864955643,0.014242742913155101,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
NCF1,3.612698318840876,2.398787388083235,0.016449462692075832,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
SFTPC,3.514948130727921,2.374602763543552,0.01756784523401302,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
TXNIP,2.9106187403372137,2.373894737334605,0.017601567599820157,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
MARCKS,2.866741616474346,2.3455866093346796,0.018997164377357295,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
ACTG1,1.5298678777424026,2.3426275275004085,0.019148488738683248,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
ADIRF,5.077031525259173,2.286298023057463,0.022236829465358807,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
CCL4,-4.617274396124714,-2.286104398824187,0.022248151717488736,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
PRKG1,4.575667818261615,2.253833547127632,0.024206641498327505,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
KYNU,-2.802550347408987,-2.23471895476237,0.02543580541543575,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
EPAS1,4.2766393353506595,2.171450461785017,0.029897137955682548,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
NPC2,-1.554405630918482,-2.1577695257250578,0.030945755331922432,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
APOE,-2.875041318287163,-2.145588854067821,0.031905795477626474,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
RPS19,-0.9313565302828056,-2.1167561082813497,0.0342805522020743,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
HSPA1B,-2.855124719036872,-2.113414315821529,0.03456532171975182,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
SASH1,3.6826405462006226,2.107800387269285,0.0350482593511866,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
IL7R,3.7829186269552655,2.0785145224213655,0.03766199473170534,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
RPL13A,-1.0534991455803597,-2.0707120952374534,0.03838570923295717,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
TIMP3,4.849493133568738,2.0684655202961855,0.03859626962462435,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
TREM2,-2.8721839537963465,-2.0557573242044604,0.03980591340524519,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
RPL7,-1.2175840409697736,-2.0513448324531818,0.04023337740485864,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
BCL2A1,-2.594994652661825,-2.0393325122727974,0.041416852905869314,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
TEX14,-3.888822174521915,-2.0081202226393953,0.04463051780437345,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
RPL37,1.0180896033800637,2.003826607012554,0.045088637621823136,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
NUCKS1,3.483830043853247,2.00165096996722,0.045322283051586996,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
A2M,2.4832158957022417,1.997828550571801,0.04573525091170064,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
TACC1,2.8341254526034976,1.99672483060097,0.045855083210428325,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
KCTD12,2.697206698659968,1.9949523292706022,0.046048079358067026,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
RGS10,2.5748593340931154,1.9924428741526403,0.046322487149111545,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
SRGN,-1.0967570758168879,-1.978585317105985,0.04786271413040328,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
ASAH1,-2.2823348050141044,-1.9577400427495648,0.05026052403140962,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
GABARAP,-3.772956868471308,-1.9153281012945034,0.055450674004282954,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
PDK4,3.233078500481893,1.9089513070464528,0.05626837341857058,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
SFTPB,3.652990883452924,1.9063415209901236,0.05660591054282538,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
PCBP1,2.375113246387524,1.900811986769787,0.057326643452242705,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
CPM,3.0932462645985694,1.8999101608494275,0.057444910376393016,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
MRC1,2.106331469871608,1.8915646483404833,0.058549009788791906,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
HNRNPC,-2.509791934068571,-1.887040004113515,0.05915494521826788,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
TAGAP,-4.084776394830384,-1.8535045324302193,0.06381007711165235,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
DNAJB1,-3.2711674439625824,-1.850199617931042,0.06428478402097813,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
PTEN,2.650430431531167,1.8321777523316756,0.06692494232416546,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
MAFB,2.4837099000661658,1.8299720104692372,0.06725412429164924,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
EEF1A1,0.7708408333886163,1.8141806548616592,0.0696499174479873,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
SPP1,-6.218698459789998,-1.8061993049896627,0.07088721345965854,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
CCL3L1,-6.20490202381666,-1.8021565970730429,0.07152077121630443,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
RGS1,-2.237084286674467,-1.8002503187666214,0.07182112171698338,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
RPL27A,-0.9405543447086796,-1.7785329026095054,0.07531637301785388,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
CCL4L2,-6.0912565963649445,-1.76884887318537,0.07691909821301142,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
RPL21,-1.0192443449818676,-1.7650617178865933,0.07755339365504506,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
RHOA,1.1939923179964647,1.7567648810776924,0.07895789339666727,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
DUSP6,3.403199200438266,1.7532113183409295,0.07956574093653641,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
DDX5,1.5900720023446753,1.745849845935072,0.08083704683623755,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
NFKB1,-2.5596047778182665,-1.7406285903566332,0.08174870277766687,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
UQCRH,1.7838633597061002,1.7361560373682259,0.08253624822280117,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
PTBP3,2.416298271479974,1.7312530743461136,0.08340663693942395,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
DCTN2,2.482833574348632,1.7293556751796688,0.08374545785645103,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
ARPC5,1.5755909160078798,1.6984476203103622,0.08942331079415221,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
DEK,2.17835779479511,1.6866114080957766,0.0916780969054441,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
TPM1,3.434960658829612,1.6865258331490716,0.09169456367450055,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
MT-ATP8,3.2123026994168415,1.6824264774719935,0.09248617067996512,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
LPP,2.2762247814509466,1.6625336338744816,0.0964058253674942,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
MINOS1,-2.038861142419857,-1.650070983639771,0.09892841864435419,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
CD63,-1.2191313321317472,-1.6496398777324273,0.09901661370628104,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
SIRPA,2.701069531562941,1.6467329138496367,0.0996129558269662,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
EEF2,1.2994598905085408,1.64662656741527,0.09963482621501137,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
ATP6V1F,-1.784172727203699,-1.6451298145965922,0.09994304335978361,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
C5AR1,2.142547008244251,1.6429901898033352,0.10038496301461833,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
FCGR3A,1.6619524166423378,1.642409052312288,0.10050526017558857,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
FOS,-1.6064073315321332,-1.6420870345870515,0.10057196824510954,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
LY96,-2.4065227006882606,-1.6406113594112133,0.10087811547148384,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
RPL15,-0.7987998563118984,-1.6385373660379112,0.10130964593111116,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
TMEM123,2.5399112650607347,1.63735877431359,0.10155552685148682,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
PTMS,2.6594575746020945,1.6290051418920097,0.1033119304453501,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
LYZ,-1.7123471697996457,-1.6275437890091455,0.10362165638617522,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
CAV1,4.306547352149604,1.6255569624956014,0.1040439368855098,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
SH2B3,2.821050463171103,1.6203226584660921,0.10516298406231214,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
HP1BP3,2.9374149564555627,1.613407691009926,0.10665596332045649,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
SERPINB6,2.4015276561794945,1.613269461590673,0.10668597818461475,0.9996902630366555,PyDESeq2,GSE173896,GSE227691
