gene,log2fc,statistic,pvalue,fdr,method,group1,group2
RPL31,-2.4223022798853853,-8.651148807262476,5.0983570993331055e-18,5.6530583517405477e-14,PyDESeq2,GSE173896,GSE227691
RPS17,-3.4943301171234564,-8.54963394227431,1.2347949965681598e-17,6.845703460973877e-14,PyDESeq2,GSE173896,GSE227691
MTRNR2L12,8.740356950012918,8.298602501782666,1.0534319129542252e-16,3.8934843502788164e-13,PyDESeq2,GSE173896,GSE227691
TMSB10,-1.5396130540905557,-7.831070729496345,4.837324290349223e-15,1.3409062932848046e-11,PyDESeq2,GSE173896,GSE227691
TMSB4X,-2.20513112334077,-7.457381018093147,8.825920133265845e-14,1.9572360487530335e-10,PyDESeq2,GSE173896,GSE227691
MDK,-2.1104615146270276,-7.062772743346388,1.6321253443619791e-12,2.7000341163398664e-09,PyDESeq2,GSE173896,GSE227691
EEF1G,-4.672485929134382,-7.044874352938161,1.856289345731222e-12,2.7000341163398664e-09,PyDESeq2,GSE173896,GSE227691
MTRNR2L8,7.5698992225072965,7.0381509002927345,1.9480765630157765e-12,2.7000341163398664e-09,PyDESeq2,GSE173896,GSE227691
CFL1,-1.5364395477376478,-7.019600724027577,2.2250316579755297e-12,2.7412390026258526e-09,PyDESeq2,GSE173896,GSE227691
HSPB1,-2.442670744138106,-6.958432076292642,3.44080562299351e-12,3.5321904983611093e-09,PyDESeq2,GSE173896,GSE227691
B2M,-1.528790748776748,-6.9558608037964795,3.5041572404376083e-12,3.5321904983611093e-09,PyDESeq2,GSE173896,GSE227691
ATP5MPL,-1.8916922706031258,-6.8950989947945835,5.3827305724068546e-12,4.9736430489039335e-09,PyDESeq2,GSE173896,GSE227691
NDUFA13,-1.9846916587102301,-6.804489567970262,1.014081360864189e-11,8.649333945586252e-09,PyDESeq2,GSE173896,GSE227691
UQCRQ,-1.879088036268053,-6.780568723643684,1.197037184795844e-11,9.480534503583085e-09,PyDESeq2,GSE173896,GSE227691
PPP1R15A,-2.3630213883430313,-6.643108029920088,3.0713655062909405e-11,2.2703533822502634e-08,PyDESeq2,GSE173896,GSE227691
RPL17,-3.056318526210463,-6.588196518208538,4.4520113505273796e-11,3.085243865915474e-08,PyDESeq2,GSE173896,GSE227691
DUSP2,-3.184584176780268,-6.514011891598216,7.316970083151424e-11,4.730650706290966e-08,PyDESeq2,GSE173896,GSE227691
COX6A1,-1.455312481543488,-6.5067456475075645,7.679627769952866e-11,4.730650706290966e-08,PyDESeq2,GSE173896,GSE227691
PLCG2,3.451116817107452,6.354888559223987,2.085777767357102e-10,1.217215993918713e-07,PyDESeq2,GSE173896,GSE227691
AC020916.1,-3.4242162524995154,-6.301895196445525,2.9402796608721647e-10,1.630091043987528e-07,PyDESeq2,GSE173896,GSE227691
CDK2AP1,-4.36469122904454,-6.271239131001866,3.5818601468955334e-10,1.8912221575608416e-07,PyDESeq2,GSE173896,GSE227691
MALAT1,-1.6461875995479598,-6.1784446380572335,6.473618105677507e-10,3.2627035252614635e-07,PyDESeq2,GSE173896,GSE227691
ZFP36,-2.5958466735474306,-6.057746676856871,1.3804155775546567e-09,6.604921361367812e-07,PyDESeq2,GSE173896,GSE227691
CALM2,-1.4232951119010286,-6.052106761595016,1.4296366583047213e-09,6.604921361367812e-07,PyDESeq2,GSE173896,GSE227691
TXN,-1.4523417193681316,-6.04328865521512,1.5100413964218592e-09,6.697335601410229e-07,PyDESeq2,GSE173896,GSE227691
JUNB,-2.195315813880512,-6.030626161121859,1.6332560887098521e-09,6.965209042928785e-07,PyDESeq2,GSE173896,GSE227691
VMO1,-3.7957615617810236,-5.9881734933861575,2.1221063337802003e-09,8.714783344057357e-07,PyDESeq2,GSE173896,GSE227691
RPL36A,-2.531282556165168,-5.956644717408374,2.5746912405506124e-09,1.0195777312580426e-06,PyDESeq2,GSE173896,GSE227691
NDUFA7,-2.7239762084531334,-5.9359277677800995,2.921884293462258e-09,1.1171673464106731e-06,PyDESeq2,GSE173896,GSE227691
ZNF652,-1.5140533804961125,-5.901712149124225,3.5974843685295228e-09,1.3296302226085117e-06,PyDESeq2,GSE173896,GSE227691
CXCL2,-4.023641057485718,-5.883698722165511,4.0119786319489615e-09,1.392213617845833e-06,PyDESeq2,GSE173896,GSE227691
CHCHD2,-1.8599885446079303,-5.883453403350187,4.017932519035593e-09,1.392213617845833e-06,PyDESeq2,GSE173896,GSE227691
RPL7,-1.9674205128661053,-5.801946229737274,6.554958412472737e-09,2.2024660265908397e-06,PyDESeq2,GSE173896,GSE227691
SEC61G,-1.831751500716979,-5.7881007149573644,7.118672695092487e-09,2.3215247895054556e-06,PyDESeq2,GSE173896,GSE227691
COX7B,-1.5126000521364213,-5.756786686941431,8.573012959392383e-09,2.715930505535507e-06,PyDESeq2,GSE173896,GSE227691
DNAJB1,-1.9759384442852401,-5.705489204700067,1.1600941039264985e-08,3.564305898464221e-06,PyDESeq2,GSE173896,GSE227691
ACTB,-1.316399113921981,-5.6976574746819715,1.2146477240018796e-08,3.564305898464221e-06,PyDESeq2,GSE173896,GSE227691
H3F3B,-1.2518481886895743,-5.696693357520866,1.2215334067608262e-08,3.564305898464221e-06,PyDESeq2,GSE173896,GSE227691
CD74,-1.4964530178764153,-5.691035105355377,1.2627154122866022e-08,3.5899970490856017e-06,PyDESeq2,GSE173896,GSE227691
ATP5ME,-1.4127567085207173,-5.645433162886893,1.647658732441892e-08,4.5673100063289245e-06,PyDESeq2,GSE173896,GSE227691
ROMO1,-1.6707542337567434,-5.631948076460429,1.781853351002699e-08,4.818826818516568e-06,PyDESeq2,GSE173896,GSE227691
PI3,-5.710807578262083,-5.599009696410743,2.1557974095499446e-08,5.6861022451556136e-06,PyDESeq2,GSE173896,GSE227691
IFITM1,-3.6129389411915,-5.594328855209977,2.2147681513791397e-08,5.6861022451556136e-06,PyDESeq2,GSE173896,GSE227691
OST4,-1.3750143459263224,-5.591097384371903,2.2563897798236563e-08,5.6861022451556136e-06,PyDESeq2,GSE173896,GSE227691
CRIP1,-3.3540770260019177,-5.587037326120729,2.3097609400756686e-08,5.691250956346447e-06,PyDESeq2,GSE173896,GSE227691
PFN1,-1.7994267447481982,-5.53481615663808,3.1155497013353964e-08,7.509829367044972e-06,PyDESeq2,GSE173896,GSE227691
NDUFB9,-1.7670764707382836,-5.5136119289174355,3.5154328912676396e-08,8.293429765611828e-06,PyDESeq2,GSE173896,GSE227691
MYL6,-1.14219805941331,-5.46490804851711,4.631468194037435e-08,1.0698691528226475e-05,PyDESeq2,GSE173896,GSE227691
TACSTD2,-1.9407587619067685,-5.453090840700783,4.950176490953228e-08,1.1201542230957019e-05,PyDESeq2,GSE173896,GSE227691
POLR2K,-2.012854886196159,-5.439037338875048,5.356922849539734e-08,1.1879512111139313e-05,PyDESeq2,GSE173896,GSE227691
LGALS1,-2.1008817931101795,-5.37534209500326,7.6437414758782e-08,1.6618393232262252e-05,PyDESeq2,GSE173896,GSE227691
UQCRB,-1.507104174481262,-5.350870928932297,8.7531938355144e-08,1.866450254772763e-05,PyDESeq2,GSE173896,GSE227691
NFKBIZ,-1.4950146280473424,-5.304368898367745,1.1306346496009088e-07,2.3653730178820523e-05,PyDESeq2,GSE173896,GSE227691
HMGN3,-1.2297469203312765,-5.2812260039419545,1.283222794056186e-07,2.634884137128702e-05,PyDESeq2,GSE173896,GSE227691
COX6C,-1.5092723714629992,-5.2390288035512045,1.6142384520924567e-07,3.254304719418393e-05,PyDESeq2,GSE173896,GSE227691
CNTNAP2,5.151327242376516,5.22612164470596,1.7310249861290075e-07,3.427429472535435e-05,PyDESeq2,GSE173896,GSE227691
ICAM1,-2.2426800678139722,-5.20895452826557,1.8990764312693433e-07,3.6942034157744693e-05,PyDESeq2,GSE173896,GSE227691
CFB,-3.3528097579294944,-5.2050863286858045,1.939064410161963e-07,3.706956237909629e-05,PyDESeq2,GSE173896,GSE227691
GEM,-2.473405200852212,-5.188095045396332,2.124561681438827e-07,3.992735580304019e-05,PyDESeq2,GSE173896,GSE227691
TMEM238,3.772701848047388,5.184805222683589,2.1624073735210528e-07,3.996128826266906e-05,PyDESeq2,GSE173896,GSE227691
SMIM22,-1.41758674581062,-5.178204973841999,2.2403101057145698e-07,4.0722226970759266e-05,PyDESeq2,GSE173896,GSE227691
CHCHD3,-1.6456180975773371,-5.14941220843589,2.6130404457504653e-07,4.6731278165292195e-05,PyDESeq2,GSE173896,GSE227691
TPI1,-1.4193505126459771,-5.14580007912833,2.6638300193106043e-07,4.688340833986664e-05,PyDESeq2,GSE173896,GSE227691
LY6E,-1.4301131496800836,-5.141616186278452,2.7238512477001914e-07,4.719072286640581e-05,PyDESeq2,GSE173896,GSE227691
NDUFA4,-1.3430118930303772,-5.112072901919773,3.186428036615292e-07,5.435556010767747e-05,PyDESeq2,GSE173896,GSE227691
MIF,-2.2135986412450817,-5.105603188148762,3.297409906856372e-07,5.539648643518705e-05,PyDESeq2,GSE173896,GSE227691
