gene,log2fc,statistic,pvalue,fdr,method,group1,group2
MT1X,-7.452413219417961,-11.422027514588489,3.245722652937146e-30,2.711152131998398e-26,PyDESeq2,GSE173896,GSE227691
MT2A,-5.395223630889907,-10.163749340407904,2.8779164375607975e-24,1.201961800147267e-20,PyDESeq2,GSE173896,GSE227691
LINC00486,-5.811749356346608,-9.58453524054842,9.287483616443264e-22,2.5859450216050196e-18,PyDESeq2,GSE173896,GSE227691
GABARAP,-4.450661111076185,-9.542237694080521,1.3978304926108658e-21,2.9190195261946403e-18,PyDESeq2,GSE173896,GSE227691
RPS17,-3.5752055924719484,-9.223939900755619,2.8637958228125994e-20,4.784257301590728e-17,PyDESeq2,GSE173896,GSE227691
EEF1G,-5.453299196528206,-8.915463300440235,4.857808817912409e-19,6.762879509337059e-16,PyDESeq2,GSE173896,GSE227691
TAX1BP3,-3.359686296621866,-8.7061737298645,3.143049700455493e-18,3.750556306843533e-15,PyDESeq2,GSE173896,GSE227691
MCL1,-2.035345727550698,-8.283079335834751,1.2003040017769553e-16,1.2532674158553634e-13,PyDESeq2,GSE173896,GSE227691
LINC00854,-3.2594088320168457,-8.153184572180505,3.544639901068269e-16,3.28981967706925e-13,PyDESeq2,GSE173896,GSE227691
TXN,-3.1546141491692214,-7.6907682327922,1.462541612630989e-14,1.2216610090306649e-11,PyDESeq2,GSE173896,GSE227691
PFN1,-2.0460582906382374,-7.598053816073611,3.0061732357661025e-14,2.2827786398503868e-11,PyDESeq2,GSE173896,GSE227691
SPDYE2,-3.050962815540534,-7.473443461860379,7.812301354491882e-14,5.438012767839224e-11,PyDESeq2,GSE173896,GSE227691
RPL17,-2.8324976032827784,-7.387797459556728,1.4928090155531628e-13,9.591872082242745e-11,PyDESeq2,GSE173896,GSE227691
IGFLR1,-3.682898457703666,-7.3240804554004395,2.4054234902992413e-13,1.435178743890683e-10,PyDESeq2,GSE173896,GSE227691
LGALS1,-1.8026009320169525,-7.213068764474615,5.470477103628038e-13,3.0463263497736665e-10,PyDESeq2,GSE173896,GSE227691
MTRNR2L12,8.879427880659234,7.11323630071605,1.1335295551872028e-12,5.917732734049191e-10,PyDESeq2,GSE173896,GSE227691
GUK1,-1.8816076897968372,-7.006255869060192,2.4478009158492533e-12,1.202734179416989e-09,PyDESeq2,GSE173896,GSE227691
NKG7,-3.6037421108909173,-6.927667297664554,4.278364545735231e-12,1.9853988361403546e-09,PyDESeq2,GSE173896,GSE227691
STAT4,-2.5983799251427557,-6.91356776466138,4.726137515329718e-12,2.0777592981867968e-09,PyDESeq2,GSE173896,GSE227691
PSMA2,-1.9959479821850719,-6.769164306827364,1.2952837748319036e-11,5.1559903323019706e-09,PyDESeq2,GSE173896,GSE227691
POMP,-1.957274827400898,-6.769056363464017,1.296250412765969e-11,5.1559903323019706e-09,PyDESeq2,GSE173896,GSE227691
