gene,log2fc,statistic,pvalue,fdr,method,group1,group2
MT-CO1,-2.9726072024428105,-2.2782212035100335,0.022713401587394173,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
TMSB4X,-2.7741737035092977,-2.0573946397018825,0.03964828034774353,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
RPS12,2.806293451082354,1.7934048396747602,0.07290821429381109,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
HPGD,4.977127276734237,1.7749497711414552,0.07590618117159048,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
RPL37,2.6159202415180918,1.623024259127655,0.1045842191025498,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
RPS21,4.524654498344955,1.619147526739342,0.10541552500474873,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
RPS20,-2.796938712593924,-1.5787126211609952,0.11440198855370914,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
B2M,-1.6868583467245544,-1.5284060851855241,0.126411744913127,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
PFN1,-2.650657033618613,-1.519485783321428,0.12864026385632074,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
RPL7,-2.1648875125493348,-1.4922268510398984,0.1356396855052177,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
TPT1,2.0110294594107954,1.4091009349770045,0.1588053244399873,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
RPL30,2.201142086334794,1.3800351929931618,0.16757580929114746,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
HSPA1A,6.586546868933543,1.3725987705909695,0.1698771143155713,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
HSPA1B,4.126640142171669,1.313900050769003,0.18887984163390092,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
EEF1A1,1.7368386220029048,1.2867869413995896,0.19816855972802716,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
RPL21,-1.746721725525292,-1.2626840547265994,0.20670274668198552,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
RPL7A,2.6183021711914027,1.246030181537652,0.21275331495545136,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
RPL28,2.0758357735492274,1.1989685849034815,0.2305401612260538,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
RPL22,2.490347769384337,1.1909720352149884,0.23366456329305696,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
LAPTM5,3.4533489017432863,1.1539599511344563,0.24851658849963987,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
RPS27A,1.6030369420520894,1.1481284498965634,0.2509155410419326,0.9886837016248319,PyDESeq2,GSE173896,GSE227691
