gene,log2fc,statistic,pvalue,fdr,method,group1,group2
A2M,6.209530544864629,7.7803732504181795,7.231088297412162e-15,1.3594445999134864e-11,PyDESeq2,GSE173896,GSE227691
CFD,-1.8127723263134292,-7.43363843498639,1.0565051083179792e-13,9.931148018189004e-11,PyDESeq2,GSE173896,GSE227691
PRKG1,4.124062175203391,6.948343292074135,3.696007460858625e-12,2.316164675471405e-09,PyDESeq2,GSE173896,GSE227691
FN1,4.495144108430591,6.635436598442773,3.235434183757894e-11,1.52065406636621e-08,PyDESeq2,GSE173896,GSE227691
MACF1,4.644029305813374,6.592754401664977,4.3174047615273336e-11,1.6233441903342773e-08,PyDESeq2,GSE173896,GSE227691
RGCC,5.068805391409874,6.020096780611727,1.743128152819842e-09,5.461801545502171e-07,PyDESeq2,GSE173896,GSE227691
ROBO2,5.296018521056165,5.832256920708873,5.468263348173719e-09,1.4686192992237988e-06,PyDESeq2,GSE173896,GSE227691
ZBTB20,3.354932824551494,5.7492573740862225,8.963628124032201e-09,2.106452609147567e-06,PyDESeq2,GSE173896,GSE227691
SLIT2,4.258535853735444,5.718061084840591,1.0774641232920303e-08,2.25070283532113e-06,PyDESeq2,GSE173896,GSE227691
TAX1BP3,-2.988026352623182,-5.681903071887515,1.3320415025820262e-08,2.5042380248542094e-06,PyDESeq2,GSE173896,GSE227691
LIMCH1,5.687351050033098,5.644386443378073,1.6577135155624973e-08,2.8331830993249956e-06,PyDESeq2,GSE173896,GSE227691
SFRP4,-2.96291311024693,-5.576321059754381,2.45658355815529e-08,3.848647574443288e-06,PyDESeq2,GSE173896,GSE227691
SCN7A,3.35479050404966,5.37113618687643,7.824208981154626e-08,1.1315009911208228e-05,PyDESeq2,GSE173896,GSE227691
LSAMP,3.0082815970858814,5.332859785788261,9.667796229988347e-08,1.2982469223127208e-05,PyDESeq2,GSE173896,GSE227691
CELF2,2.6186440532814244,5.180808973355893,2.2092565322781895e-07,2.6305705026320395e-05,PyDESeq2,GSE173896,GSE227691
DST,3.8439897026480048,5.178332177793639,2.2387834064953528e-07,2.6305705026320395e-05,PyDESeq2,GSE173896,GSE227691
TSKU,-2.871638845592818,-5.068155010230071,4.0169022716713127e-07,4.389666834583684e-05,PyDESeq2,GSE173896,GSE227691
PLXDC2,2.5567411850221586,5.059531770120283,4.2028725011971444e-07,4.389666834583684e-05,PyDESeq2,GSE173896,GSE227691
MYH10,4.747729066515235,5.048986832308751,4.441593474187914e-07,4.3948398586701466e-05,PyDESeq2,GSE173896,GSE227691
ARHGAP6,4.561473796912945,4.8579607753205725,1.1860089678913124e-06,0.0001103946418193885,PyDESeq2,GSE173896,GSE227691
CCBE1,3.776280598297823,4.8442417084587674,1.2709613496209324e-06,0.0001103946418193885,PyDESeq2,GSE173896,GSE227691
PLEKHH2,3.5654476163897537,4.841003312125337,1.2918521915034825e-06,0.0001103946418193885,PyDESeq2,GSE173896,GSE227691
GPC3,3.8731544306083245,4.6807516220592,2.858250597669081e-06,0.00023363091841816836,PyDESeq2,GSE173896,GSE227691
