gene,log2fc,statistic,pvalue,fdr,method,group1,group2
OLR1,-4.7000820673721275,-4.950453414347954,7.404077943647222e-07,0.0045172279534191695,PyDESeq2,GSE173896,GSE227691
VCAN,-6.46340556507492,-4.203766797992035,2.6250939944083685e-05,0.08007849229942728,PyDESeq2,GSE173896,GSE227691
SCAMP2,-5.434919378067167,-3.755174790187713,0.0001732205485495666,0.3069598366545,PyDESeq2,GSE173896,GSE227691
HSPA6,-5.611122030196201,-3.6830961774380517,0.00023041817438596162,0.3069598366545,PyDESeq2,GSE173896,GSE227691
HSPA1A,-5.488447025884106,-3.6322717100018167,0.00028093708204395435,0.3069598366545,PyDESeq2,GSE173896,GSE227691
SERPINB9,-5.095112923669732,-3.586988686235302,0.00033451883196048516,0.3069598366545,PyDESeq2,GSE173896,GSE227691
ABAT,-4.445704388101488,-3.573537144310267,0.0003521912566106376,0.3069598366545,PyDESeq2,GSE173896,GSE227691
UBC,-3.1189036735433504,-3.40871707236173,0.0006526913406180301,0.4550543518339203,PyDESeq2,GSE173896,GSE227691
COQ10B,-2.9267780164654242,-3.3436918449242423,0.0008267151145207799,0.4550543518339203,PyDESeq2,GSE173896,GSE227691
FARS2,-4.674947450803568,-3.3235079736057345,0.0008889288147648049,0.4550543518339203,PyDESeq2,GSE173896,GSE227691
ZFAND2A,-4.471429786426518,-3.3068213542901006,0.0009436104880484096,0.4550543518339203,PyDESeq2,GSE173896,GSE227691
YBX3,-4.293327566283215,-3.2758451823820587,0.001053462917474835,0.4550543518339203,PyDESeq2,GSE173896,GSE227691
AKAP8L,-4.248774880636019,-3.246429422977566,0.0011686241968313106,0.4550543518339203,PyDESeq2,GSE173896,GSE227691
COMMD10,-4.748786457208758,-3.216394185327033,0.001298123946635386,0.4550543518339203,PyDESeq2,GSE173896,GSE227691
CCT4,-4.8544959562129435,-3.2026211609986186,0.001361830001284479,0.4550543518339203,PyDESeq2,GSE173896,GSE227691
TRBC2,-4.7314050621021995,-3.2026190847162157,0.00136183981867238,0.4550543518339203,PyDESeq2,GSE173896,GSE227691
TANGO6,-4.819494113288473,-3.2009466238107698,0.0013697690366845743,0.4550543518339203,PyDESeq2,GSE173896,GSE227691
MLH1,-4.444436549455205,-3.1960521503685206,0.0013932192754044696,0.4550543518339203,PyDESeq2,GSE173896,GSE227691
HMOX1,-4.889446235434233,-3.191135075897052,0.0014171500876650526,0.4550543518339203,PyDESeq2,GSE173896,GSE227691
HSPE1,-3.9034395075741464,-3.0954341283606035,0.0019652501965926206,0.5814946787933796,PyDESeq2,GSE173896,GSE227691
ACER3,-3.3823669065503954,-3.0900038800184952,0.002001538805877884,0.5814946787933796,PyDESeq2,GSE173896,GSE227691
CXCL3,-4.966269143310203,-3.045267208486291,0.0023247366772926248,0.644691748552832,PyDESeq2,GSE173896,GSE227691
ACIN1,-3.7958320477815195,-3.018641565558745,0.0025391074237333983,0.6735258431390201,PyDESeq2,GSE173896,GSE227691
NAMPT,2.149388082092903,2.966667587831052,0.003010462445522245,0.7652846408388008,PyDESeq2,GSE173896,GSE227691
ASNA1,-4.963998176854366,-2.9532118171769732,0.00314486091150338,0.7674718568432848,PyDESeq2,GSE173896,GSE227691
NEAT1,1.9000368780233792,2.9376408473191766,0.003307199076756118,0.7760469833572722,PyDESeq2,GSE173896,GSE227691
MT-CO1,-2.5929002299754194,-2.89124139551112,0.0038372325286443773,0.8595615876940855,PyDESeq2,GSE173896,GSE227691
CD74,-2.9840893357046356,-2.8825358930214766,0.003944881897301163,0.8595615876940855,PyDESeq2,GSE173896,GSE227691
PTGES3,-4.237871700485247,-2.8505702732737777,0.004364090566525039,0.9181143636679056,PyDESeq2,GSE173896,GSE227691
HDAC9,-4.362448363199608,-2.832030540054289,0.004625343071074424,0.9406406025541687,PyDESeq2,GSE173896,GSE227691
SRGN,2.8743551275742822,2.806075559904458,0.005014893125058318,0.9753076383263632,PyDESeq2,GSE173896,GSE227691
HSPA8,-2.9755729230809638,-2.7996673459964434,0.005115529327396103,0.9753076383263632,PyDESeq2,GSE173896,GSE227691
ARHGAP15,2.5934481978465387,2.7793713523503305,0.005446422216258214,0.9809412717395956,PyDESeq2,GSE173896,GSE227691
MUC20-OT1,-4.251919890716211,-2.7751478428471823,0.005517661891368925,0.9809412717395956,PyDESeq2,GSE173896,GSE227691
AC020656.1,-4.672867767295915,-2.7687355544456707,0.005627429029812464,0.9809412717395956,PyDESeq2,GSE173896,GSE227691
RPL22L1,-4.329334563625065,-2.748525326037725,0.005986400996088133,0.9998655206784676,PyDESeq2,GSE173896,GSE227691
PPM1L,-3.6745925948380282,-2.7203127021004305,0.006522020795506158,0.9998655206784676,PyDESeq2,GSE173896,GSE227691
PARVG,-3.470001466709209,-2.690703557948561,0.007130152135326623,0.9998655206784676,PyDESeq2,GSE173896,GSE227691
SLC30A9,-3.7328236144480953,-2.6563098661993108,0.007900098607222747,0.9998655206784676,PyDESeq2,GSE173896,GSE227691
CDR2,-3.669716497671028,-2.6556263410853362,0.007916127435688836,0.9998655206784676,PyDESeq2,GSE173896,GSE227691
SLC16A7,-5.044469040682693,-2.6426955283846705,0.008224896016991801,0.9998655206784676,PyDESeq2,GSE173896,GSE227691
PELI1,3.9955228670365934,2.5870431522541595,0.009680346815785735,0.9998655206784676,PyDESeq2,GSE173896,GSE227691
ATG4C,-4.501108965361438,-2.580430386982083,0.00986772488444092,0.9998655206784676,PyDESeq2,GSE173896,GSE227691
AC103591.3,-4.190732218044108,-2.549132305962489,0.010799132200281893,0.9998655206784676,PyDESeq2,GSE173896,GSE227691
