gene,log2fc,statistic,pvalue,fdr,method,group1,group2
EEF1G,-5.860611152905541,-16.23872550935597,2.6844349311442825e-59,4.349053031946852e-55,PyDESeq2,GSE173896,GSE227691
MTRNR2L12,9.180326839959662,14.63008331384745,1.8056590148032734e-48,1.4626740849413916e-44,PyDESeq2,GSE173896,GSE227691
C18orf32,-2.32815066776415,-14.009558679481211,1.362490025630485e-44,7.357900301746496e-41,PyDESeq2,GSE173896,GSE227691
ARHGAP26-AS1,-3.2070347117424913,-13.530133877505522,1.038343712907624e-41,4.205551623204104e-38,PyDESeq2,GSE173896,GSE227691
GABARAP,-3.8072177590737817,-13.492792479857599,1.7244324535191393e-41,5.587506035892714e-38,PyDESeq2,GSE173896,GSE227691
KRTCAP2,-1.8697959107118343,-13.409507890137807,5.319059686083384e-41,1.4362347662372815e-37,PyDESeq2,GSE173896,GSE227691
POLD4,-3.2489765661366676,-12.206892409954735,2.8559025083039116e-34,6.609782362433096e-31,PyDESeq2,GSE173896,GSE227691
TMA7,-1.3519497767559243,-12.076708863291973,1.4022060600411174e-33,2.839642547340768e-30,PyDESeq2,GSE173896,GSE227691
RPL7,-2.2763894253940418,-11.696274420901457,1.3317284855772802e-31,2.397259243870835e-28,PyDESeq2,GSE173896,GSE227691
MTRNR2L8,8.110839194972986,11.564939965565419,6.203466964050866e-31,1.0050236828458806e-27,PyDESeq2,GSE173896,GSE227691
RPS17,-3.83640454493678,-11.501119834709435,1.3021492422110071e-30,1.917829079369139e-27,PyDESeq2,GSE173896,GSE227691
MT1X,-5.611995092512119,-11.390831122663588,4.645374227676353e-30,6.271642321882049e-27,PyDESeq2,GSE173896,GSE227691
MTFP1,-3.359583802954087,-11.22759622024977,2.984887027464224e-29,3.719858056303684e-26,PyDESeq2,GSE173896,GSE227691
AC008050.1,-4.856130166119729,-11.111949117922345,1.0973768218105824e-28,1.2699001350109461e-25,PyDESeq2,GSE173896,GSE227691
NDUFA7,-2.6532779386494325,-11.030635773114458,2.7193578604790683e-28,2.9370877798414256e-25,PyDESeq2,GSE173896,GSE227691
HNRNPA1,-1.6989511792952088,-10.911013642558764,1.0211135764761976e-27,1.0339413157806798e-24,PyDESeq2,GSE173896,GSE227691
CDK2AP1,-4.156671639316676,-10.656360797637081,1.628454221058964e-26,1.5519168726691925e-23,PyDESeq2,GSE173896,GSE227691
RHOC,-1.458814567638197,-10.604955561124049,2.82598304868551e-26,2.5435417428752193e-23,PyDESeq2,GSE173896,GSE227691
PSMA2,-1.7888407925843015,-10.509348183778783,7.823237329740623e-26,6.670750946269887e-23,PyDESeq2,GSE173896,GSE227691
LINC00486,-5.3641490437843675,-10.468095720447463,1.2105363873508043e-25,9.80595000573519e-23,PyDESeq2,GSE173896,GSE227691
RPL21,-1.8735865537290852,-10.280429560729742,8.634191626678328e-25,6.661073263991218e-22,PyDESeq2,GSE173896,GSE227691
TIMM17B,-1.643409897036002,-10.236587084161577,1.359476324666694e-24,1.0011307243602322e-21,PyDESeq2,GSE173896,GSE227691
RPS27,-1.526826279655946,-10.09208360920019,5.988467341611996e-24,4.134969190226634e-21,PyDESeq2,GSE173896,GSE227691
NDUFA13,-1.7568552173288585,-10.08986288356224,6.1255021643996796e-24,4.134969190226634e-21,PyDESeq2,GSE173896,GSE227691
HMGN3,-1.5549758546551118,-10.075510154697445,7.089193541473067e-24,4.5940809826162064e-21,PyDESeq2,GSE173896,GSE227691
