gene,log2fc,statistic,pvalue,fdr,method,group1,group2
LINC00486,-5.6826444361692605,-6.803003939928006,1.0245984502673857e-11,4.360691004337994e-08,PyDESeq2,GSE173896,GSE227691
RPS17,-3.201978581600957,-6.329428169099823,2.4607141160309716e-10,5.236399638913908e-07,PyDESeq2,GSE173896,GSE227691
PDIA4,-2.364659458677396,-4.965806625897912,6.841610116537128e-07,0.0009266258868669297,PyDESeq2,GSE173896,GSE227691
IGHGP,5.492142683426784,4.918771862229443,8.708889914162872e-07,0.0009266258868669297,PyDESeq2,GSE173896,GSE227691
PFN1,-2.1817030475431376,-4.4113690780062225,1.027190560652713e-05,0.006333522720562318,PyDESeq2,GSE173896,GSE227691
CLECL1,-2.590558619500245,-4.384863950159734,1.1605829074644673e-05,0.006333522720562318,PyDESeq2,GSE173896,GSE227691
TPT1,1.8233253572551358,4.371357769607779,1.2347627347944063e-05,0.006333522720562318,PyDESeq2,GSE173896,GSE227691
GNLY,-4.071627065184481,-4.3573676878366685,1.3163602578412983e-05,0.006333522720562318,PyDESeq2,GSE173896,GSE227691
EEF1G,-4.585382255926079,-4.321194374505569,1.5518689090880456e-05,0.006333522720562318,PyDESeq2,GSE173896,GSE227691
CARD11,-4.264320544174486,-4.319806921632765,1.5616577416840196e-05,0.006333522720562318,PyDESeq2,GSE173896,GSE227691
WARS,-2.3659839489150296,-4.304241420229905,1.6755886851490145e-05,0.006333522720562318,PyDESeq2,GSE173896,GSE227691
COL18A1,-3.972001197965648,-4.290119790387587,1.7857676843690746e-05,0.006333522720562318,PyDESeq2,GSE173896,GSE227691
ARHGEF6,-3.4844926540850114,-4.139594992067104,3.479195140589144e-05,0.011390349629497996,PyDESeq2,GSE173896,GSE227691
CLEC2D,-3.6297220675013793,-4.087461457341311,4.36119102377478e-05,0.013258020712275331,PyDESeq2,GSE173896,GSE227691
AC018682.1,-3.7341159716218355,-4.053727738427151,5.0407879792715873e-05,0.01430239575985325,PyDESeq2,GSE173896,GSE227691
RUVBL1,-2.782950771433405,-3.9912394821565673,6.572886525821151e-05,0.01748387815868426,PyDESeq2,GSE173896,GSE227691
USP37,-3.124846830800407,-3.963870713568297,7.374420109061286e-05,0.01753388179828576,PyDESeq2,GSE173896,GSE227691
ADAM19,-2.7643559602931616,-3.9625403952844387,7.415645497395293e-05,0.01753388179828576,PyDESeq2,GSE173896,GSE227691
RPL17,-2.5472075985750764,-3.939328698009004,8.170991942527841e-05,0.018303021951262363,PyDESeq2,GSE173896,GSE227691
STAP1,-3.864537314736715,-3.9235025860113635,8.727082819612208e-05,0.01857123224013478,PyDESeq2,GSE173896,GSE227691
MMP24,-3.935126533536679,-3.868878992193308,0.00010933688507888617,0.021236556950389215,PyDESeq2,GSE173896,GSE227691
TP63,-4.17700157994357,-3.8679027273345774,0.00010977543536385402,0.021236556950389215,PyDESeq2,GSE173896,GSE227691
IGKV4-1,5.075256062385512,3.8425390538162008,0.00012176803054114319,0.02253237991230893,PyDESeq2,GSE173896,GSE227691
CORO1A,-2.1539055864988885,-3.81058771460596,0.00013863681047251278,0.02458492772379227,PyDESeq2,GSE173896,GSE227691
AL157871.4,-3.5743720827407985,-3.7299942393316288,0.00019148414847730582,0.03259826143677654,PyDESeq2,GSE173896,GSE227691
NBPF15,-3.7973924683351252,-3.7161671575479427,0.00020226779259255962,0.033109681741305144,PyDESeq2,GSE173896,GSE227691
CCNG1,-2.563538137263088,-3.6457732021424043,0.0002665890197542056,0.04202232844718144,PyDESeq2,GSE173896,GSE227691
AC114760.2,-2.986265110564956,-3.620044847102586,0.0002945519588618018,0.044771897746993874,PyDESeq2,GSE173896,GSE227691
AGK,-3.306354056970612,-3.608641660294144,0.0003078044238033431,0.0451729526795527,PyDESeq2,GSE173896,GSE227691
AL139022.1,-3.859529396351843,-3.5945458688857665,0.0003249578937341212,0.046100693191080656,PyDESeq2,GSE173896,GSE227691
RPL7,-1.4408779293548724,-3.56854800963498,0.000358965082524183,0.048842837329774354,PyDESeq2,GSE173896,GSE227691
SEL1L3,-2.2058165712017397,-3.561535025535218,0.0003686929111951244,0.048842837329774354,PyDESeq2,GSE173896,GSE227691
N4BP2L2,-1.9486857206332477,-3.5529511681425983,0.0003809351708448194,0.048842837329774354,PyDESeq2,GSE173896,GSE227691
FGFBP2,-3.914206926448026,-3.5409391803395907,0.0003987054730560865,0.048842837329774354,PyDESeq2,GSE173896,GSE227691
APOBEC3B,-3.9608797247048506,-3.5389853982575854,0.0004016680701461707,0.048842837329774354,PyDESeq2,GSE173896,GSE227691
GNAS,1.81046526715603,3.526804346883847,0.0004206074509587406,0.04972514753556667,PyDESeq2,GSE173896,GSE227691
HLA-A,-1.3310550862870776,-3.4868136720677403,0.0004888117884596545,0.0562265668022781,PyDESeq2,GSE173896,GSE227691
FOSL2,-2.440928080848269,-3.4646251247008237,0.0005309710681662367,0.059468759634618513,PyDESeq2,GSE173896,GSE227691
RPL30,1.497683096429886,3.4532333444184347,0.0005539096331230514,0.060447164065941195,PyDESeq2,GSE173896,GSE227691
SCGB1A1,-3.150654754188837,-3.4219910206754767,0.0006216436655354314,0.0661428860129699,PyDESeq2,GSE173896,GSE227691
FKBP1A,-2.0934672902091465,-3.390706865008008,0.0006971262119912564,0.07086785085268495,PyDESeq2,GSE173896,GSE227691
SPDYE2,-3.625865103925993,-3.389832349077685,0.000699353791309391,0.07086785085268495,PyDESeq2,GSE173896,GSE227691
MTRNR2L12,5.637016385124663,3.317345266577157,0.0009087723734453448,0.08994733072984623,PyDESeq2,GSE173896,GSE227691
RPL7A,1.0722045944144183,3.3055557567516822,0.0009478824260115849,0.09168608193421149,PyDESeq2,GSE173896,GSE227691
SFT2D1,-1.8662143049689826,-3.2664787159559534,0.001088939933332621,0.09944607692555109,PyDESeq2,GSE173896,GSE227691
HGSNAT,-2.293389983303048,-3.2653064062270483,0.001093457228044528,0.09944607692555109,PyDESeq2,GSE173896,GSE227691
DNAJB11,-1.8251635561563082,-3.2640787904294046,0.0010982062066496477,0.09944607692555109,PyDESeq2,GSE173896,GSE227691
RPL31,-1.8329212891859086,-3.2271581798377267,0.0012502632304853775,0.10616780589004719,PyDESeq2,GSE173896,GSE227691
QTRT1,-2.3509087261842185,-3.2270790037313373,0.0012506092486568477,0.10616780589004719,PyDESeq2,GSE173896,GSE227691
ORMDL1,-2.06255231763486,-3.224496639148058,0.0012619433782269285,0.10616780589004719,PyDESeq2,GSE173896,GSE227691
ANGPTL1,-2.244591459610829,-3.2199916138288,0.001281943468091069,0.10616780589004719,PyDESeq2,GSE173896,GSE227691
JUND,2.0356719766477607,3.214062165098915,0.0013087133611926424,0.10616780589004719,PyDESeq2,GSE173896,GSE227691
PSMB8-AS1,-2.642009693720406,-3.2111370855600807,0.0013221084850029373,0.10616780589004719,PyDESeq2,GSE173896,GSE227691
CBWD5,-2.4813159629139,-3.200066810716762,0.0013739573446000994,0.10828819367811153,PyDESeq2,GSE173896,GSE227691
POLR2A,3.4218478048783716,3.1699985685117404,0.0015243968860997232,0.11796060267709857,PyDESeq2,GSE173896,GSE227691
ACADSB,-3.4851030818284463,-3.1425299913156866,0.0016749455307670787,0.12544539364370347,PyDESeq2,GSE173896,GSE227691
ITFG2,-2.1746910371139245,-3.141635195257234,0.0016800722362995998,0.12544539364370347,PyDESeq2,GSE173896,GSE227691
EEF1B2,1.2870926161638325,3.1132956914574144,0.0018501055562906992,0.1357594697857451,PyDESeq2,GSE173896,GSE227691
RFTN1,-3.317015196149507,-3.089833555452631,0.0020026869141927437,0.14203489208965686,PyDESeq2,GSE173896,GSE227691
ATAD2B,-2.835965664557143,-3.0895832725131376,0.0020043750952702484,0.14203489208965686,PyDESeq2,GSE173896,GSE227691
ZNF652,-1.6821250698096653,-3.084967428280232,0.0020357444589917924,0.14203489208965686,PyDESeq2,GSE173896,GSE227691
MAP3K9,-2.8345833065409947,-3.079754005541838,0.002071716296993296,0.14221329935489466,PyDESeq2,GSE173896,GSE227691
TMC8,-3.125232260891749,-3.0666532061823863,0.0021646984304479087,0.14623740507914762,PyDESeq2,GSE173896,GSE227691
TOR1B,-3.596231634938164,-3.0086215862095536,0.002624357680887811,0.16775618267246611,PyDESeq2,GSE173896,GSE227691
ALS2,-2.9017520689996967,-3.007775979443926,0.002631670533004988,0.16775618267246611,PyDESeq2,GSE173896,GSE227691
THEMIS2,-1.5611970576647247,-3.0038811608942706,0.0026655942165855293,0.16775618267246611,PyDESeq2,GSE173896,GSE227691
EML6,-2.34711129322504,-3.0025742529670794,0.0026770665707270963,0.16775618267246611,PyDESeq2,GSE173896,GSE227691
LSM5,-1.6689353904290414,-3.0010346814150073,0.0026906391815586248,0.16775618267246611,PyDESeq2,GSE173896,GSE227691
AP1G2,-2.627422929118157,-2.9947989941830784,0.002746257520214719,0.16775618267246611,PyDESeq2,GSE173896,GSE227691
MANEA-DT,-3.1309713136798316,-2.990714766959274,0.0027832533471102224,0.16775618267246611,PyDESeq2,GSE173896,GSE227691
SCGB3A1,-3.2131104365529346,-2.9858770194021096,0.002827663349285705,0.16775618267246611,PyDESeq2,GSE173896,GSE227691
LRPPRC,-2.079847670803756,-2.9840363156508216,0.002844730060635748,0.16775618267246611,PyDESeq2,GSE173896,GSE227691
RNF213,-2.7198435785157775,-2.9805410257650378,0.002877396930237318,0.16775618267246611,PyDESeq2,GSE173896,GSE227691
HMGN3,-1.650028699215165,-2.975676025020465,0.0029234352165217587,0.1681370308313055,PyDESeq2,GSE173896,GSE227691
GABARAP,-2.555963889722369,-2.966560668366192,0.00301150939936404,0.17089312004924473,PyDESeq2,GSE173896,GSE227691
RNF149,-1.7817194502526266,-2.9559442897991497,0.003117133887993376,0.17142806172660838,PyDESeq2,GSE173896,GSE227691
GADD45B,1.8631101826971252,2.955284996343371,0.0031238034124954623,0.17142806172660838,PyDESeq2,GSE173896,GSE227691
UBE2J1,-1.7183161584766202,-2.950796650519634,0.0031695551411030404,0.17142806172660838,PyDESeq2,GSE173896,GSE227691
PLD3,-1.6882671216967253,-2.9485050177712644,0.003193149558750534,0.17142806172660838,PyDESeq2,GSE173896,GSE227691
PPA2,-1.8483314481654922,-2.9456918955879856,0.003222331987342263,0.17142806172660838,PyDESeq2,GSE173896,GSE227691
C18orf32,-2.468584675517442,-2.929600158088985,0.003393984146018657,0.17833082130191855,PyDESeq2,GSE173896,GSE227691
RPL36A,-1.4147173254567764,-2.924133473559819,0.003454166006320708,0.17927964052318213,PyDESeq2,GSE173896,GSE227691
NOMO1,-2.7071467046195594,-2.913725071767493,0.003571442831429234,0.18313326133208216,PyDESeq2,GSE173896,GSE227691
CIZ1,-2.603189687083708,-2.909382222347883,0.0036214380895501427,0.1834861965372072,PyDESeq2,GSE173896,GSE227691
CSE1L,-2.7476990015114695,-2.9027750554819036,0.003698722007731798,0.18513456921904678,PyDESeq2,GSE173896,GSE227691
CISD2,-1.5707894095307604,-2.8973236885192923,0.0037636121887302393,0.18513456921904678,PyDESeq2,GSE173896,GSE227691
PPIB,-1.2149773008668066,-2.895589516352344,0.0037844707523630333,0.18513456921904678,PyDESeq2,GSE173896,GSE227691
CC2D1A,-2.7688342317558123,-2.89021561515185,0.003849776776874125,0.18618920411791223,PyDESeq2,GSE173896,GSE227691
AC118549.1,-1.9960912099234114,-2.875875690294007,0.0040290835313716265,0.19267167988222073,PyDESeq2,GSE173896,GSE227691
AC017002.5,-3.7735096128187013,-2.8598413419543527,0.004238530018639014,0.19643628897753748,PyDESeq2,GSE173896,GSE227691
PIM2,-1.5807774423122358,-2.8574618338713043,0.004270439875236409,0.19643628897753748,PyDESeq2,GSE173896,GSE227691
ERLEC1,2.2989180066475345,2.856381836648306,0.004284994685741065,0.19643628897753748,PyDESeq2,GSE173896,GSE227691
PHKG1,-2.4331270492819654,-2.8545854905215653,0.0043093031857525796,0.19643628897753748,PyDESeq2,GSE173896,GSE227691
ST8SIA4,-2.558166181000467,-2.8524339003008756,0.004338583450161777,0.19643628897753748,PyDESeq2,GSE173896,GSE227691
GLRX3,-2.183263272360385,-2.8396696406036344,0.00451602758725785,0.20231803590915165,PyDESeq2,GSE173896,GSE227691
MYO9B,-2.069668142525852,-2.8333509873231297,0.004606277836931564,0.2029187237200219,PyDESeq2,GSE173896,GSE227691
EMP3,-1.3077912025224834,-2.83206861415691,0.004624792340423432,0.2029187237200219,PyDESeq2,GSE173896,GSE227691
AC007384.1,3.016287820960887,2.8248359493454687,0.004730482899862629,0.2054381145083199,PyDESeq2,GSE173896,GSE227691
LSM8,-1.6716192515465844,-2.819043401291816,0.004816700485716195,0.2066202559781482,PyDESeq2,GSE173896,GSE227691
PPP4C,-1.848251433475586,-2.816513567005347,0.0048547992476068655,0.2066202559781482,PyDESeq2,GSE173896,GSE227691
CD99,-1.5193756337551074,-2.8122841458241195,0.004919102728840718,0.20728417043510985,PyDESeq2,GSE173896,GSE227691
ACSS1,-2.0571110629196343,-2.798931649204004,0.005127198937433756,0.21393488899723595,PyDESeq2,GSE173896,GSE227691
CD74,-1.412386850992005,-2.7943064820584604,0.005201115979928214,0.21491213214149982,PyDESeq2,GSE173896,GSE227691
TMEM9B,-2.0930338618414845,-2.786649196115004,0.00532560964443941,0.2179403331416743,PyDESeq2,GSE173896,GSE227691
CALM2,-1.43919540390961,-2.7827612325670255,0.005389845536851346,0.21846840576037455,PyDESeq2,GSE173896,GSE227691
PIGU,-2.6470530255160343,-2.779167869718951,0.005449835311329932,0.21881602910396408,PyDESeq2,GSE173896,GSE227691
NDUFA7,-2.559482328135037,-2.773036019843869,0.005553597320971809,0.22067758754131903,PyDESeq2,GSE173896,GSE227691
ANXA2,-1.2696145544118875,-2.7703329800393153,0.0055999011876086595,0.22067758754131903,PyDESeq2,GSE173896,GSE227691
CD47,-1.5474750596268392,-2.7629848559256476,0.0057275423835538315,0.2236368842605973,PyDESeq2,GSE173896,GSE227691
ENAM,-2.2405703702619735,-2.7563802831216386,0.0058445003099459,0.22612903017390681,PyDESeq2,GSE173896,GSE227691
POMP,-1.4257765388722519,-2.7503931940305812,0.005952379266082192,0.22822816357158385,PyDESeq2,GSE173896,GSE227691
PISD,-2.519354105892347,-2.744103079260883,0.006067648190873046,0.23057063125317573,PyDESeq2,GSE173896,GSE227691
CHST2,-2.2114437103932083,-2.7345352009810187,0.006246841566577461,0.2318221340843262,PyDESeq2,GSE173896,GSE227691
ZFR,-1.989721353034976,-2.7336652328192943,0.00626336886508471,0.2318221340843262,PyDESeq2,GSE173896,GSE227691
SESN1,2.5586992665176607,2.733632528511938,0.006263990935079303,0.2318221340843262,PyDESeq2,GSE173896,GSE227691
AC025159.1,-2.8396640177881527,-2.729994153347847,0.006333544879116668,0.23237557763379776,PyDESeq2,GSE173896,GSE227691
ISG20,-1.3639797497952828,-2.7266261416176403,0.0063985490490525146,0.23275405771596155,PyDESeq2,GSE173896,GSE227691
RANBP9,-2.5667900307166946,-2.721714939638177,0.0064944136248225445,0.23423918972241314,PyDESeq2,GSE173896,GSE227691
UBE2G1,-1.672738819715847,-2.710799954952472,0.006712110782887167,0.24005666799972927,PyDESeq2,GSE173896,GSE227691
TRBC2,-2.8726391889821974,-2.7069773638811934,0.006789888687174179,0.24081471877177754,PyDESeq2,GSE173896,GSE227691
CDV3,2.525128263487704,2.6996988683030665,0.0069402263056750554,0.24187543295212136,PyDESeq2,GSE173896,GSE227691
PIK3R5,-2.70550037589569,-2.698196637850893,0.006971624676345998,0.24187543295212136,PyDESeq2,GSE173896,GSE227691
SLC1A5,-1.4725391204988174,-2.6973064426187516,0.006990290942930199,0.24187543295212136,PyDESeq2,GSE173896,GSE227691
TMUB1,-1.9860885659489806,-2.6904998779565155,0.0071345061135077385,0.2448746614442656,PyDESeq2,GSE173896,GSE227691
CROCC,2.505335673758706,2.684653213168268,0.007260509693950805,0.24720583405963703,PyDESeq2,GSE173896,GSE227691
PSME2,-1.363044969504058,-2.676828990971803,0.00743225586030163,0.2505303635399029,PyDESeq2,GSE173896,GSE227691
ATP13A1,-2.1235791260326677,-2.67486734069019,0.00747588255863902,0.2505303635399029,PyDESeq2,GSE173896,GSE227691
ODC1,2.868510845997935,2.667820028107734,0.007634514142992763,0.25384759525450934,PyDESeq2,GSE173896,GSE227691
TNFAIP3,2.130738656384221,2.6640377837194373,0.007720889005287399,0.2546394992859011,PyDESeq2,GSE173896,GSE227691
RASGRP1,-2.4002922198721395,-2.6615580742327722,0.007777992224428371,0.2546394992859011,PyDESeq2,GSE173896,GSE227691
IGHV3-15,5.066534674822642,2.6536262729147997,0.007963196961657338,0.2549062705192415,PyDESeq2,GSE173896,GSE227691
KDM5D,-2.6293319259176235,-2.6499720870079817,0.008049842122833911,0.2549062705192415,PyDESeq2,GSE173896,GSE227691
ABHD15-AS1,-3.2248102815529345,-2.6489446840694177,0.00807435463093428,0.2549062705192415,PyDESeq2,GSE173896,GSE227691
TBRG1,-1.7794157722660986,-2.6429079269712417,0.008219738409500557,0.2549062705192415,PyDESeq2,GSE173896,GSE227691
RPL37,1.1796769220224814,2.642604934433446,0.008227096762067738,0.2549062705192415,PyDESeq2,GSE173896,GSE227691
FMNL1,-1.7388724919467498,-2.641895237926296,0.008244355238977959,0.2549062705192415,PyDESeq2,GSE173896,GSE227691
HNRNPA1,-1.3588343280015995,-2.641516879014606,0.008253569445500802,0.2549062705192415,PyDESeq2,GSE173896,GSE227691
IRF7,-2.011837592592434,-2.641036234609935,0.008265287906873902,0.2549062705192415,PyDESeq2,GSE173896,GSE227691
NTAN1,-1.749423149981313,-2.634190199599164,0.008433822911698809,0.25823273605892183,PyDESeq2,GSE173896,GSE227691
RBM47,-1.2344702329730317,-2.630696530316211,0.00852100862346285,0.25903866215327065,PyDESeq2,GSE173896,GSE227691
C6orf106,-1.9049969393067188,-2.6276603520702553,0.008597431044954066,0.2595082732434362,PyDESeq2,GSE173896,GSE227691
ATP5MF,-1.3579945375016478,-2.6186844224863814,0.008826956396065568,0.26198888438696605,PyDESeq2,GSE173896,GSE227691
TMEM182,-3.2654090821004536,-2.6169939910678313,0.008870790289488183,0.26198888438696605,PyDESeq2,GSE173896,GSE227691
SUB1,-1.2794659682158716,-2.615215558515775,0.008917115901704657,0.26198888438696605,PyDESeq2,GSE173896,GSE227691
MON2,-1.9596435115338258,-2.614881446899105,0.008925843100589774,0.26198888438696605,PyDESeq2,GSE173896,GSE227691
ARHGAP30,-1.9377549550252646,-2.6101519091489975,0.009050202422132022,0.26381959937393074,PyDESeq2,GSE173896,GSE227691
SCGB3A2,-2.709936935082173,-2.603892890341868,0.009217155687378204,0.26685860275837847,PyDESeq2,GSE173896,GSE227691
MAP4K1,-2.2850839973902617,-2.596117362392468,0.009428385450777073,0.2711297870169407,PyDESeq2,GSE173896,GSE227691
ARL4C,-2.3757232206938,-2.5879223624539773,0.009655674067525084,0.2747531977239753,PyDESeq2,GSE173896,GSE227691
TXNDC5,-1.9877452768206973,-2.5863478147860013,0.00969989943579328,0.2747531977239753,PyDESeq2,GSE173896,GSE227691
ANKIB1,-1.7638592659505106,-2.5846405122029954,0.009748057532030138,0.2747531977239753,PyDESeq2,GSE173896,GSE227691
TOX2,-2.2657938466796104,-2.5812087795981444,0.00984550194698312,0.2750729734472193,PyDESeq2,GSE173896,GSE227691
ANKRD27,-2.8218444682908084,-2.5775252185279736,0.009951062001791132,0.2750729734472193,PyDESeq2,GSE173896,GSE227691
ELL2,-1.6490146993171115,-2.575436470608709,0.010011366276073574,0.2750729734472193,PyDESeq2,GSE173896,GSE227691
