gene,log2fc,statistic,pvalue,fdr,method,group1,group2
LIFR,5.638880429906895,6.663283002223607,2.677773105912742e-11,4.6600431913015144e-07,PyDESeq2,GSE173896,GSE227691
HLA-B,3.149438841262141,6.580733082123774,4.681343303331674e-11,4.6600431913015144e-07,PyDESeq2,GSE173896,GSE227691
PTPRB,3.779368200120941,6.42026947885285,1.3603332044832713e-10,7.081662586482599e-07,PyDESeq2,GSE173896,GSE227691
ADGRL2,6.052172596251524,6.413430892365916,1.4228062858973526e-10,7.081662586482599e-07,PyDESeq2,GSE173896,GSE227691
ADGRF5,4.784428198045158,6.261640184454085,3.8094913652427507e-10,1.5168632718123585e-06,PyDESeq2,GSE173896,GSE227691
TGFBR3,4.704576813873827,6.229300969193786,4.685209533595017e-10,1.5546306100723864e-06,PyDESeq2,GSE173896,GSE227691
PTPRM,3.5349061571017293,6.137805231431101,8.366935388545623e-10,2.073194860635715e-06,PyDESeq2,GSE173896,GSE227691
A2M,4.645794959986808,6.136753577545273,8.422487752848988e-10,2.073194860635715e-06,PyDESeq2,GSE173896,GSE227691
RPL31,-1.9352034086946437,-6.098718099940474,1.0692243873738445e-09,2.073194860635715e-06,PyDESeq2,GSE173896,GSE227691
HLA-E,2.743547421370937,6.090425845458886,1.1261073662263061e-09,2.073194860635715e-06,PyDESeq2,GSE173896,GSE227691
EEF1G,-5.74681699505833,-6.087696278252917,1.1454690575615482e-09,2.073194860635715e-06,PyDESeq2,GSE173896,GSE227691
FOXC2,-6.013333723564248,-6.05349437389804,1.4173702500590678e-09,2.351535359035498e-06,PyDESeq2,GSE173896,GSE227691
BMPR2,4.371225415288547,5.905710294124892,3.5113055483408587e-09,5.299814350691721e-06,PyDESeq2,GSE173896,GSE227691
S100P,-6.107502681646035,-5.892531929449225,3.8032257699211936e-09,5.299814350691721e-06,PyDESeq2,GSE173896,GSE227691
EPAS1,4.396501352878356,5.884481869908549,3.993029045174334e-09,5.299814350691721e-06,PyDESeq2,GSE173896,GSE227691
NFIB,3.655079633792416,5.819400168494886,5.905918539003616e-09,7.348808262063937e-06,PyDESeq2,GSE173896,GSE227691
RAB3IL1,-4.951840119103126,-5.7642963914337075,8.199920297077278e-09,9.60307136438303e-06,PyDESeq2,GSE173896,GSE227691
DOCK4,3.6071018792534995,5.731376485172325,9.961887712233124e-09,1.1018401247936072e-05,PyDESeq2,GSE173896,GSE227691
JUN,3.709372335619729,5.699770442109939,1.1996886483870812e-08,1.2423596755594382e-05,PyDESeq2,GSE173896,GSE227691
TMEM100,5.455410968542628,5.693030851201131,1.2480382495950959e-08,1.2423596755594382e-05,PyDESeq2,GSE173896,GSE227691
NPPC,-8.439246533374662,-5.67745522456691,1.3671329618611732e-08,1.2722531039863981e-05,PyDESeq2,GSE173896,GSE227691
LRMDA,4.047949944466746,5.672671676789665,1.405875146300706e-08,1.2722531039863981e-05,PyDESeq2,GSE173896,GSE227691
PTPRG,4.821002259309841,5.63025986510607,1.7993830525141575e-08,1.3983242534101175e-05,PyDESeq2,GSE173896,GSE227691
MMP17,-6.626226760843217,-5.629717974466921,1.8050452444085462e-08,1.3983242534101175e-05,PyDESeq2,GSE173896,GSE227691
NAV3,4.37044173678999,5.626536637671623,1.8386374923751186e-08,1.3983242534101175e-05,PyDESeq2,GSE173896,GSE227691
SNCG,-2.7812725094234456,-5.62197886691721,1.8878236338864958e-08,1.3983242534101175e-05,PyDESeq2,GSE173896,GSE227691
STXBP6,4.006777222517302,5.611890999171145,2.001274902476113e-08,1.3983242534101175e-05,PyDESeq2,GSE173896,GSE227691
AFF1,4.95154720137,5.609837796538042,2.0251633729135696e-08,1.3983242534101175e-05,PyDESeq2,GSE173896,GSE227691
SAMD12,4.804875454494526,5.60884292538459,2.0368377793406704e-08,1.3983242534101175e-05,PyDESeq2,GSE173896,GSE227691
