study,sample_id,celltype,n_cells
GSE173896,GSM5282543,Activated T cells,2
GSE173896,GSM5282544,Activated T cells,288
GSE173896,GSM5282545,Activated T cells,313
GSE173896,GSM5282546,Activated T cells,69
GSE173896,GSM5282547,Activated T cells,154
GSE173896,GSM5282548,Activated T cells,197
GSE227691,GSM7105661,Activated T cells,444
GSE227691,GSM7105662,Activated T cells,142
GSE227691,GSM7105663,Activated T cells,246
GSE227691,GSM7105664,Activated T cells,107
GSE173896,GSM5282543,Alveolar macrophages,2
GSE173896,GSM5282544,Alveolar macrophages,8
GSE173896,GSM5282545,Alveolar macrophages,19
GSE173896,GSM5282546,Alveolar macrophages,8
GSE173896,GSM5282547,Alveolar macrophages,2
GSE173896,GSM5282548,Alveolar macrophages,12
GSE227691,GSM7105661,Alveolar macrophages,2
GSE227691,GSM7105662,Alveolar macrophages,3
GSE227691,GSM7105663,Alveolar macrophages,4
GSE227691,GSM7105664,Alveolar macrophages,6
GSE173896,GSM5282543,Alveolar type I cells,15
GSE173896,GSM5282544,Alveolar type I cells,73
GSE173896,GSM5282545,Alveolar type I cells,146
GSE173896,GSM5282546,Alveolar type I cells,65
GSE173896,GSM5282547,Alveolar type I cells,115
GSE173896,GSM5282548,Alveolar type I cells,39
GSE227691,GSM7105661,Alveolar type I cells,21
GSE227691,GSM7105662,Alveolar type I cells,2
GSE227691,GSM7105663,Alveolar type I cells,2
GSE227691,GSM7105664,Alveolar type I cells,10
GSE173896,GSM5282543,Alveolar type II cells,52
GSE173896,GSM5282544,Alveolar type II cells,25
GSE173896,GSM5282545,Alveolar type II cells,323
GSE173896,GSM5282546,Alveolar type II cells,105
GSE173896,GSM5282547,Alveolar type II cells,259
GSE173896,GSM5282548,Alveolar type II cells,112
GSE227691,GSM7105661,Alveolar type II cells,6
GSE227691,GSM7105662,Alveolar type II cells,12
GSE227691,GSM7105663,Alveolar type II cells,23
GSE227691,GSM7105664,Alveolar type II cells,68
GSE173896,GSM5282543,Basophils,9
GSE173896,GSM5282544,Basophils,184
GSE173896,GSM5282545,Basophils,181
GSE173896,GSM5282546,Basophils,218
GSE173896,GSM5282547,Basophils,94
GSE173896,GSM5282548,Basophils,111
GSE227691,GSM7105661,Basophils,1
GSE227691,GSM7105664,Basophils,2
GSE173896,GSM5282543,CD4+ memory T cells,86
GSE173896,GSM5282544,CD4+ memory T cells,2237
GSE173896,GSM5282545,CD4+ memory T cells,1938
GSE173896,GSM5282546,CD4+ memory T cells,776
GSE173896,GSM5282547,CD4+ memory T cells,738
GSE173896,GSM5282548,CD4+ memory T cells,976
GSE227691,GSM7105661,CD4+ memory T cells,9
GSE227691,GSM7105662,CD4+ memory T cells,3
GSE227691,GSM7105663,CD4+ memory T cells,12
GSE227691,GSM7105664,CD4+ memory T cells,15
GSE173896,GSM5282543,CD8+ effector T cells,38
GSE173896,GSM5282544,CD8+ effector T cells,239
GSE173896,GSM5282545,CD8+ effector T cells,531
GSE173896,GSM5282546,CD8+ effector T cells,806
GSE173896,GSM5282547,CD8+ effector T cells,787
GSE173896,GSM5282548,CD8+ effector T cells,631
GSE227691,GSM7105661,CD8+ effector T cells,4506
GSE227691,GSM7105662,CD8+ effector T cells,833
GSE227691,GSM7105663,CD8+ effector T cells,1543
GSE227691,GSM7105664,CD8+ effector T cells,3784
GSE173896,GSM5282544,Ciliated cells,14
GSE173896,GSM5282545,Ciliated cells,39
GSE173896,GSM5282546,Ciliated cells,20
GSE173896,GSM5282547,Ciliated cells,12
GSE173896,GSM5282548,Ciliated cells,57
GSE227691,GSM7105661,Ciliated cells,16
GSE227691,GSM7105662,Ciliated cells,69
GSE227691,GSM7105663,Ciliated cells,2
GSE227691,GSM7105664,Ciliated cells,91
GSE173896,GSM5282544,Classical monocytes,1
GSE173896,GSM5282545,Classical monocytes,8
GSE173896,GSM5282546,Classical monocytes,3
GSE173896,GSM5282547,Classical monocytes,1
GSE173896,GSM5282548,Classical monocytes,2
GSE227691,GSM7105661,Classical monocytes,3
GSE227691,GSM7105662,Classical monocytes,2
GSE227691,GSM7105663,Classical monocytes,6
GSE227691,GSM7105664,Classical monocytes,5
GSE173896,GSM5282543,Club cells,23
GSE173896,GSM5282544,Club cells,120
GSE173896,GSM5282545,Club cells,118
GSE173896,GSM5282546,Club cells,26
GSE173896,GSM5282547,Club cells,292
GSE173896,GSM5282548,Club cells,396
GSE227691,GSM7105661,Club cells,49
GSE227691,GSM7105662,Club cells,96
GSE227691,GSM7105663,Club cells,39
GSE227691,GSM7105664,Club cells,155
GSE173896,GSM5282543,Endothelial tip cells,1
